degree interval,stability,morality,cycle length,generation count,seed
2-3,0.5,0.8495,2,26,19561831
2-3,0.5,0.669,2,18,19561832
2-3,0.5,0.902,2,13,19561833
2-3,1.0,0.891,1,21,19561834
2-3,1.0,0.797,1,17,19561835
2-3,0.5,0.83,2,24,19561836
2-3,0.5,0.754,2,30,19561837
2-3,1.0,0.864,1,14,19561838
2-3,1.0,0.912,1,17,19561839
2-3,1.0,0.914,1,18,19561840
2-3,0.5,0.9245,2,14,19561841
2-3,1.0,0.83,1,20,19561842
2-3,0.5,0.878,2,17,19561843
2-3,1.0,0.898,1,14,19561844
2-3,0.5,0.8925,2,17,19561845
2-3,1.0,0.802,1,20,19561846
2-3,1.0,0.849,1,18,19561847
2-3,0.1667,0.801,6,24,19561848
2-3,1.0,0.852,1,15,19561849
2-3,0.5,0.681,2,23,19561850
2-3,1.0,0.881,1,24,19561851
2-3,0.5,0.766,2,18,19561852
2-3,0.5,0.888,2,16,19561853
2-3,1.0,0.892,1,13,19561854
2-3,1.0,0.866,1,24,19561855
2-3,0.1667,0.746,6,27,19561856
2-3,1.0,0.821,1,18,19561857
2-3,0.5,0.7635,2,18,19561858
2-3,1.0,0.889,1,17,19561859
2-3,1.0,0.869,1,14,19561860
2-3,0.5,0.77,2,18,19561861
2-3,0.5,0.7995,2,21,19561862
2-3,1.0,0.919,1,17,19561863
2-3,0.5,0.851,2,28,19561864
2-3,0.5,0.85,2,15,19561865
2-3,1.0,0.896,1,24,19561866
2-3,0.5,0.8495,2,19,19561867
2-3,0.5,0.865,2,16,19561868
2-3,0.5,0.834,2,13,19561869
2-3,0.5,0.859,2,18,19561870
2-3,1.0,0.848,1,27,19561871
2-3,0.5,0.866,2,20,19561872
2-3,1.0,0.867,1,11,19561873
2-3,1.0,0.866,1,12,19561874
2-3,0.5,0.819,2,24,19561875
2-3,1.0,0.851,1,14,19561876
2-3,1.0,0.848,1,19,19561877
2-3,1.0,0.837,1,15,19561878
2-3,1.0,0.867,1,21,19561879
2-3,0.5,0.878,2,15,19561880
2-3,0.5,0.816,2,14,19561881
2-3,0.5,0.7765,2,19,19561882
2-3,0.5,0.879,2,12,19561883
2-3,1.0,0.917,1,15,19561884
2-3,0.5,0.874,2,30,19561885
2-3,1.0,0.872,1,20,19561886
2-3,0.5,0.847,2,18,19561887
2-3,1.0,0.898,1,18,19561888
2-3,1.0,0.929,1,18,19561889
2-3,1.0,0.919,1,17,19561890
2-3,0.5,0.776,2,18,19561891
2-3,1.0,0.864,1,15,19561892
2-3,1.0,0.806,1,18,19561893
2-3,1.0,0.885,1,17,19561894
2-3,1.0,0.841,1,29,19561895
2-3,1.0,0.873,1,18,19561896
