mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.0,1,2,19561831
0.0,1.0,0.0,1,2,19561832
0.0,1.0,0.0,1,2,19561833
0.0,1.0,0.0,1,2,19561834
0.0,1.0,0.0,1,2,19561835
0.0,1.0,0.0,1,2,19561836
0.0,1.0,0.0,1,2,19561837
0.0,1.0,0.0,1,2,19561838
0.0,1.0,0.0,1,2,19561839
0.0,1.0,0.0,1,2,19561840
0.001,0.001,0.996,0,1000,19561831
0.001,0.001,0.992,0,1000,19561832
0.001,0.001,0.977,0,1000,19561833
0.001,0.001,0.998,0,1000,19561834
0.001,0.001,0.993,0,1000,19561835
0.001,0.001,0.997,0,1000,19561836
0.001,0.001,0.998,0,1000,19561837
0.001,0.001,0.998,0,1000,19561838
0.001,0.001,0.996,0,1000,19561839
0.001,0.001,0.994,0,1000,19561840
0.01,0.001,0.6768,0,1000,19561831
0.01,0.001,0.976,0,1000,19561832
0.01,0.001,0.9426,0,1000,19561833
0.01,0.001,0.861,0,1000,19561834
0.01,0.001,0.9181,0,1000,19561835
0.01,0.001,0.8591,0,1000,19561836
0.01,0.001,0.9753,0,1000,19561837
0.01,0.001,0.8599,0,1000,19561838
0.01,0.001,0.7574,0,1000,19561839
0.01,0.001,0.8028,0,1000,19561840
0.1,0.001,0.0499,0,1000,19561831
0.1,0.001,0.0499,0,1000,19561832
0.1,0.001,0.0502,0,1000,19561833
0.1,0.001,0.0499,0,1000,19561834
0.1,0.001,0.0499,0,1000,19561835
0.1,0.001,0.0499,0,1000,19561836
0.1,0.001,0.0502,0,1000,19561837
0.1,0.001,0.0501,0,1000,19561838
0.1,0.001,0.0498,0,1000,19561839
0.1,0.001,0.0497,0,1000,19561840
