edge probability,stability,morality,cycle length,generation count,seed
0.004,1.0,0.846,1,10,19561831
0.004,0.5,0.745,2,14,19561832
0.004,1.0,0.831,1,8,19561833
0.004,1.0,0.701,1,15,19561834
0.004,0.0833,0.5337,12,26,19561835
0.004,1.0,0.79,1,8,19561836
0.004,1.0,0.809,1,10,19561837
0.004,1.0,0.706,1,13,19561838
0.004,1.0,0.816,1,8,19561839
0.004,1.0,0.846,1,10,19561840
0.004,1.0,0.844,1,9,19561841
0.004,0.5,0.5925,2,14,19561842
0.004,1.0,0.78,1,13,19561843
0.004,1.0,0.708,1,13,19561844
0.004,1.0,0.893,1,8,19561845
0.004,1.0,0.794,1,11,19561846
0.004,1.0,0.854,1,8,19561847
0.004,1.0,0.757,1,12,19561848
0.004,1.0,0.845,1,12,19561849
0.004,1.0,0.786,1,10,19561850
0.004,1.0,0.92,1,8,19561851
0.004,1.0,0.728,1,10,19561852
0.004,1.0,0.669,1,11,19561853
0.004,1.0,0.618,1,10,19561854
0.004,1.0,0.838,1,9,19561855
0.004,1.0,0.89,1,9,19561856
0.004,1.0,0.796,1,10,19561857
0.004,1.0,0.843,1,8,19561858
0.004,1.0,0.706,1,11,19561859
0.004,1.0,0.672,1,12,19561860
0.004,1.0,0.75,1,10,19561861
0.004,1.0,0.867,1,8,19561862
0.004,1.0,0.826,1,10,19561863
0.004,1.0,0.782,1,7,19561864
0.004,1.0,0.854,1,11,19561865
0.004,1.0,0.834,1,12,19561866
0.004,1.0,0.778,1,10,19561867
0.004,1.0,0.88,1,9,19561868
0.004,1.0,0.897,1,8,19561869
0.004,1.0,0.745,1,10,19561870
0.004,1.0,0.778,1,14,19561871
0.004,1.0,0.864,1,8,19561872
0.004,1.0,0.685,1,18,19561873
0.004,1.0,0.686,1,15,19561874
0.004,1.0,0.721,1,10,19561875
0.004,1.0,0.78,1,7,19561876
0.004,1.0,0.781,1,15,19561877
0.004,1.0,0.903,1,7,19561878
0.004,1.0,0.709,1,10,19561879
0.004,1.0,0.763,1,12,19561880
0.004,1.0,0.726,1,9,19561881
0.004,1.0,0.805,1,11,19561882
0.004,1.0,0.648,1,15,19561883
0.004,1.0,0.841,1,11,19561884
0.004,1.0,0.567,1,10,19561885
0.004,1.0,0.821,1,9,19561886
0.004,1.0,0.906,1,12,19561887
0.004,1.0,0.886,1,9,19561888
0.004,1.0,0.67,1,11,19561889
0.004,1.0,0.832,1,11,19561890
0.004,1.0,0.738,1,9,19561891
0.004,1.0,0.708,1,10,19561892
0.004,1.0,0.836,1,7,19561893
0.004,1.0,0.784,1,11,19561894
0.004,1.0,0.933,1,11,19561895
0.004,1.0,0.819,1,8,19561896
0.004,1.0,0.8,1,18,19561897
