learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,0.945,1,9,19561831
IBest,1.0,0.908,1,7,19561832
IBest,1.0,0.965,1,7,19561833
IBest,1.0,0.951,1,7,19561834
IBest,1.0,0.929,1,13,19561835
IBest,1.0,0.959,1,9,19561836
IBest,1.0,0.916,1,7,19561837
IBest,1.0,1.0,1,10,19561838
IBest,1.0,0.9,1,8,19561839
IBest,1.0,0.981,1,8,19561840
IBest,1.0,0.992,1,8,19561841
IBest,1.0,0.886,1,7,19561842
IBest,1.0,0.965,1,7,19561843
IBest,1.0,0.949,1,10,19561844
IBest,1.0,0.93,1,11,19561845
IBest,1.0,0.958,1,12,19561846
IBest,1.0,0.921,1,10,19561847
IBest,1.0,0.956,1,6,19561848
IBest,1.0,0.941,1,8,19561849
IBest,1.0,0.97,1,7,19561850
IBest,1.0,0.98,1,7,19561851
IBest,1.0,0.964,1,11,19561852
IBest,1.0,0.938,1,10,19561853
IBest,1.0,0.961,1,8,19561854
IBest,1.0,0.923,1,9,19561855
IBest,1.0,0.976,1,9,19561856
IBest,1.0,0.861,1,10,19561857
IBest,1.0,0.938,1,8,19561858
IBest,1.0,0.951,1,8,19561859
IBest,1.0,0.813,1,11,19561860
IBest,1.0,0.997,1,7,19561861
IBest,1.0,0.916,1,10,19561862
IBest,1.0,0.922,1,9,19561863
IBest,1.0,0.95,1,7,19561864
IBest,1.0,0.961,1,9,19561865
IBest,1.0,0.956,1,6,19561866
IBest,1.0,0.99,1,6,19561867
IBest,1.0,1.0,1,8,19561868
IBest,1.0,0.941,1,8,19561869
IBest,1.0,0.905,1,7,19561870
IBest,1.0,0.934,1,12,19561871
IBest,1.0,0.925,1,8,19561872
IBest,1.0,0.949,1,10,19561873
IBest,1.0,0.986,1,8,19561874
IBest,1.0,0.941,1,7,19561875
IBest,1.0,0.955,1,6,19561876
IBest,1.0,0.957,1,6,19561877
IBest,1.0,0.896,1,10,19561878
IBest,1.0,0.957,1,7,19561879
IBest,1.0,0.902,1,7,19561880
IBest,1.0,0.946,1,8,19561881
IBest,1.0,0.983,1,9,19561882
IBest,1.0,0.925,1,8,19561883
IBest,1.0,0.935,1,6,19561884
IBest,1.0,0.919,1,6,19561885
IBest,1.0,0.963,1,9,19561886
IBest,1.0,0.952,1,8,19561887
IBest,1.0,0.949,1,7,19561888
IBest,1.0,0.996,1,6,19561889
IBest,1.0,0.948,1,6,19561890
IBest,1.0,0.957,1,12,19561891
IBest,1.0,0.924,1,7,19561892
IBest,1.0,0.959,1,11,19561893
IBest,1.0,0.948,1,8,19561894
IBest,1.0,0.938,1,8,19561895
IBest,1.0,0.931,1,10,19561896
IBest,1.0,0.973,1,8,19561897
IBest,1.0,0.933,1,7,19561898
IBest,1.0,0.956,1,8,19561899
IBest,1.0,0.957,1,6,19561900
IBest,1.0,0.962,1,6,19561901
