mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.9679,0,1000,19561831
0,0.001,0.9534,0,1000,19561832
0,0.001,0.9729,0,1000,19561833
0,0.001,0.9508,0,1000,19561834
0,0.001,0.9462,0,1000,19561835
0,0.001,0.9673,0,1000,19561836
0,0.001,0.971,0,1000,19561837
0,0.001,0.9753,0,1000,19561838
0,0.001,0.9429,0,1000,19561839
0,0.001,0.9822,0,1000,19561840
0,0.001,0.9759,0,1000,19561841
0,0.001,0.9492,0,1000,19561842
0,0.001,0.958,0,1000,19561843
0,0.001,0.9757,0,1000,19561844
0,0.001,0.951,0,1000,19561845
0,0.001,0.9746,0,1000,19561846
0,0.001,0.9621,0,1000,19561847
0,0.001,0.974,0,1000,19561848
0,0.001,0.9632,0,1000,19561849
0,0.001,0.9727,0,1000,19561850
0,0.001,0.9677,0,1000,19561851
0,0.001,0.9746,0,1000,19561852
0,0.001,0.9535,0,1000,19561853
0,0.001,0.9692,0,1000,19561854
0,0.001,0.9632,0,1000,19561855
0,0.001,0.9788,0,1000,19561856
0,0.001,0.938,0,1000,19561857
0,0.001,0.966,0,1000,19561858
0,0.001,0.9594,0,1000,19561859
0,0.001,0.9521,0,1000,19561860
0,0.001,0.9812,0,1000,19561861
0,0.001,0.967,0,1000,19561862
0,0.001,0.9561,0,1000,19561863
0,0.001,0.9612,0,1000,19561864
0,0.001,0.9697,0,1000,19561865
0,0.001,0.9619,0,1000,19561866
0,0.001,0.9772,0,1000,19561867
0,0.001,0.9772,0,1000,19561868
0,0.001,0.9679,0,1000,19561869
0,0.001,0.9484,0,1000,19561870
0,0.001,0.9516,0,1000,19561871
0,0.001,0.9531,0,1000,19561872
0,0.001,0.9712,0,1000,19561873
0,0.001,0.9691,0,1000,19561874
0,0.001,0.9619,0,1000,19561875
0,0.001,0.9449,0,1000,19561876
0,0.001,0.9708,0,1000,19561877
0,0.001,0.9477,0,1000,19561878
0,0.001,0.9568,0,1000,19561879
0,0.001,0.9673,0,1000,19561880
0,0.001,0.9758,0,1000,19561881
0,0.001,0.9801,0,1000,19561882
0,0.001,0.9562,0,1000,19561883
0,0.001,0.9511,0,1000,19561884
0,0.001,0.9668,0,1000,19561885
0,0.001,0.9705,0,1000,19561886
0,0.001,0.9653,0,1000,19561887
0,0.001,0.9733,0,1000,19561888
0,0.001,0.9828,0,1000,19561889
0,0.001,0.9621,0,1000,19561890
0,0.001,0.9831,0,1000,19561891
0,0.001,0.9534,0,1000,19561892
0,0.001,0.9728,0,1000,19561893
0,0.001,0.9769,0,1000,19561894
0,0.001,0.9738,0,1000,19561895
0,0.001,0.9666,0,1000,19561896
0,0.001,0.9725,0,1000,19561897
0,0.001,0.9567,0,1000,19561898
0,0.001,0.9715,0,1000,19561899
0,0.001,0.9684,0,1000,19561900
0,0.001,0.9706,0,1000,19561901
0,0.001,0.9646,0,1000,19561902
0,0.001,0.9773,0,1000,19561903
0,0.001,0.9874,0,1000,19561904
0,0.001,0.9432,0,1000,19561905
0,0.001,0.9718,0,1000,19561906
0,0.001,0.9599,0,1000,19561907
0,0.001,0.9739,0,1000,19561908
0,0.001,0.9757,0,1000,19561909
0,0.001,0.9606,0,1000,19561910
0,0.001,0.9797,0,1000,19561911
0,0.001,0.9431,0,1000,19561912
0,0.001,0.9654,0,1000,19561913
0,0.001,0.955,0,1000,19561914
0,0.001,0.9828,0,1000,19561915
0,0.001,0.9674,0,1000,19561916
0,0.001,0.9684,0,1000,19561917
0,0.001,0.9679,0,1000,19561918
0,0.001,0.9793,0,1000,19561919
0,0.001,0.974,0,1000,19561920
0,0.001,0.9738,0,1000,19561921
0,0.001,0.9806,0,1000,19561922
0,0.001,0.9521,0,1000,19561923
0,0.001,0.963,0,1000,19561924
0,0.001,0.9797,0,1000,19561925
0,0.001,0.9706,0,1000,19561926
0,0.001,0.9679,0,1000,19561927
0,0.001,0.9638,0,1000,19561928
0,0.001,0.966,0,1000,19561929
0,0.001,0.9642,0,1000,19561930
1,0.001,0.8526,0,1000,19561831
1,0.001,0.8466,0,1000,19561832
1,0.001,0.8458,0,1000,19561833
1,0.001,0.8373,0,1000,19561834
1,0.001,0.8228,0,1000,19561835
1,0.001,0.8579,0,1000,19561836
1,0.001,0.8453,0,1000,19561837
1,0.001,0.8731,0,1000,19561838
1,0.001,0.8417,0,1000,19561839
1,0.001,0.8712,0,1000,19561840
1,0.001,0.8687,0,1000,19561841
1,0.001,0.8207,0,1000,19561842
1,0.001,0.8425,0,1000,19561843
1,0.001,0.8571,0,1000,19561844
1,0.001,0.8465,0,1000,19561845
1,0.001,0.8544,0,1000,19561846
1,0.001,0.8559,0,1000,19561847
1,0.001,0.8506,0,1000,19561848
1,0.001,0.8431,0,1000,19561849
1,0.001,0.8517,0,1000,19561850
1,0.001,0.8529,0,1000,19561851
1,0.001,0.8645,0,1000,19561852
1,0.001,0.833,0,1000,19561853
1,0.001,0.8564,0,1000,19561854
1,0.001,0.85,0,1000,19561855
1,0.001,0.8658,0,1000,19561856
1,0.001,0.8315,0,1000,19561857
1,0.001,0.857,0,1000,19561858
1,0.001,0.846,0,1000,19561859
1,0.001,0.8507,0,1000,19561860
1,0.001,0.8659,0,1000,19561861
1,0.001,0.8471,0,1000,19561862
1,0.001,0.8346,0,1000,19561863
1,0.001,0.8552,0,1000,19561864
1,0.001,0.8464,0,1000,19561865
1,0.001,0.8455,0,1000,19561866
1,0.001,0.8543,0,1000,19561867
1,0.001,0.8689,0,1000,19561868
1,0.001,0.8553,0,1000,19561869
1,0.001,0.8214,0,1000,19561870
1,0.001,0.8445,0,1000,19561871
1,0.001,0.8424,0,1000,19561872
1,0.001,0.8609,0,1000,19561873
1,0.001,0.8616,0,1000,19561874
1,0.001,0.853,0,1000,19561875
1,0.001,0.8281,0,1000,19561876
1,0.001,0.8581,0,1000,19561877
1,0.001,0.8477,0,1000,19561878
1,0.001,0.843,0,1000,19561879
1,0.001,0.8387,0,1000,19561880
1,0.001,0.8638,0,1000,19561881
1,0.001,0.8647,0,1000,19561882
1,0.001,0.8436,0,1000,19561883
1,0.001,0.8516,0,1000,19561884
1,0.001,0.847,0,1000,19561885
1,0.001,0.8561,0,1000,19561886
1,0.001,0.8445,0,1000,19561887
