mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.945,1,9,19561831
0.0,1.0,0.908,1,7,19561832
0.0,1.0,0.965,1,7,19561833
0.0,1.0,0.951,1,7,19561834
0.0,1.0,0.929,1,13,19561835
0.0,1.0,0.959,1,9,19561836
0.0,1.0,0.916,1,7,19561837
0.0,1.0,1.0,1,10,19561838
0.0,1.0,0.9,1,8,19561839
0.0,1.0,0.981,1,8,19561840
0.0,1.0,0.992,1,8,19561841
0.0,1.0,0.886,1,7,19561842
0.0,1.0,0.965,1,7,19561843
0.0,1.0,0.949,1,10,19561844
0.0,1.0,0.93,1,11,19561845
0.0,1.0,0.958,1,12,19561846
0.0,1.0,0.921,1,10,19561847
0.0,1.0,0.956,1,6,19561848
0.0,1.0,0.941,1,8,19561849
0.0,1.0,0.97,1,7,19561850
0.0,1.0,0.98,1,7,19561851
0.0,1.0,0.964,1,11,19561852
0.0,1.0,0.938,1,10,19561853
0.0,1.0,0.961,1,8,19561854
0.0,1.0,0.923,1,9,19561855
0.0,1.0,0.976,1,9,19561856
0.0,1.0,0.861,1,10,19561857
0.0,1.0,0.938,1,8,19561858
0.0,1.0,0.951,1,8,19561859
0.0,1.0,0.813,1,11,19561860
0.0,1.0,0.997,1,7,19561861
0.0,1.0,0.916,1,10,19561862
0.0,1.0,0.922,1,9,19561863
0.0,1.0,0.95,1,7,19561864
0.0,1.0,0.961,1,9,19561865
0.0,1.0,0.956,1,6,19561866
0.0,1.0,0.99,1,6,19561867
0.0,1.0,1.0,1,8,19561868
0.0,1.0,0.941,1,8,19561869
0.0,1.0,0.905,1,7,19561870
0.0,1.0,0.934,1,12,19561871
0.0,1.0,0.925,1,8,19561872
0.0,1.0,0.949,1,10,19561873
0.0,1.0,0.986,1,8,19561874
0.0,1.0,0.941,1,7,19561875
0.0,1.0,0.955,1,6,19561876
0.0,1.0,0.957,1,6,19561877
0.0,1.0,0.896,1,10,19561878
0.0,1.0,0.957,1,7,19561879
0.0,1.0,0.902,1,7,19561880
0.0,1.0,0.946,1,8,19561881
0.0,1.0,0.983,1,9,19561882
0.0,1.0,0.925,1,8,19561883
0.0,1.0,0.935,1,6,19561884
0.0,1.0,0.919,1,6,19561885
0.0,1.0,0.963,1,9,19561886
