learning rule,stability,morality,cycle length,generation count,seed
IBest,1.0,1.0,1,29,19561831
IBest,1.0,1.0,1,18,19561832
IBest,1.0,1.0,1,14,19561833
IBest,1.0,1.0,1,20,19561834
IBest,1.0,1.0,1,18,19561835
IBest,1.0,1.0,1,18,19561836
IBest,1.0,1.0,1,16,19561837
IBest,1.0,1.0,1,44,19561838
IBest,1.0,1.0,1,11,19561839
IBest,1.0,1.0,1,11,19561840
IBest,1.0,1.0,1,23,19561841
IBest,1.0,1.0,1,17,19561842
IBest,1.0,1.0,1,15,19561843
IBest,1.0,1.0,1,14,19561844
IBest,1.0,1.0,1,18,19561845
IBest,1.0,1.0,1,28,19561846
IBest,1.0,1.0,1,16,19561847
IBest,1.0,1.0,1,17,19561848
IBest,1.0,1.0,1,21,19561849
IBest,1.0,1.0,1,15,19561850
IBest,1.0,1.0,1,29,19561851
IBest,1.0,1.0,1,15,19561852
IBest,1.0,1.0,1,20,19561853
IBest,1.0,1.0,1,22,19561854
IBest,1.0,1.0,1,27,19561855
IBest,1.0,1.0,1,18,19561856
IBest,1.0,1.0,1,21,19561857
IBest,1.0,1.0,1,18,19561858
IBest,1.0,1.0,1,19,19561859
IBest,1.0,1.0,1,17,19561860
IBest,1.0,1.0,1,8,19561861
IBest,1.0,1.0,1,21,19561862
IBest,1.0,1.0,1,20,19561863
IBest,1.0,1.0,1,20,19561864
IBest,1.0,1.0,1,36,19561865
IBest,1.0,1.0,1,24,19561866
IBest,1.0,1.0,1,16,19561867
IBest,1.0,1.0,1,26,19561868
IBest,1.0,1.0,1,13,19561869
IBest,1.0,1.0,1,15,19561870
IBest,1.0,1.0,1,17,19561871
IBest,1.0,1.0,1,20,19561872
IBest,1.0,1.0,1,13,19561873
IBest,1.0,1.0,1,18,19561874
IBest,1.0,1.0,1,16,19561875
IBest,1.0,1.0,1,22,19561876
IBest,1.0,1.0,1,14,19561877
IBest,1.0,1.0,1,26,19561878
IBest,1.0,1.0,1,16,19561879
IBest,1.0,1.0,1,23,19561880
IBest,1.0,1.0,1,21,19561881
IBest,1.0,1.0,1,14,19561882
IBest,1.0,1.0,1,18,19561883
IBest,1.0,1.0,1,25,19561884
IBest,1.0,1.0,1,10,19561885
IBest,1.0,1.0,1,30,19561886
IBest,1.0,1.0,1,35,19561887
IBest,1.0,1.0,1,7,19561888
IBest,1.0,1.0,1,18,19561889
IBest,1.0,1.0,1,16,19561890
IBest,1.0,1.0,1,14,19561891
IBest,1.0,1.0,1,13,19561892
IBest,1.0,1.0,1,32,19561893
IBest,1.0,1.0,1,24,19561894
IBest,1.0,1.0,1,23,19561895
IBest,1.0,1.0,1,27,19561896
IBest,1.0,1.0,1,24,19561897
IBest,1.0,1.0,1,17,19561898
IBest,1.0,1.0,1,16,19561899
IBest,1.0,1.0,1,14,19561900
IBest,1.0,1.0,1,19,19561901
IBest,1.0,1.0,1,43,19561902
IBest,1.0,1.0,1,19,19561903
IBest,1.0,1.0,1,13,19561904
IBest,1.0,1.0,1,17,19561905
IBest,1.0,1.0,1,21,19561906
IBest,1.0,1.0,1,17,19561907
IBest,1.0,1.0,1,26,19561908
IBest,1.0,1.0,1,17,19561909
IBest,1.0,1.0,1,16,19561910
IBest,1.0,1.0,1,16,19561911
IBest,1.0,1.0,1,21,19561912
IBest,1.0,1.0,1,29,19561913
IBest,1.0,1.0,1,31,19561914
IBest,1.0,1.0,1,13,19561915
IBest,1.0,1.0,1,16,19561916
IBest,1.0,1.0,1,17,19561917
IBest,1.0,1.0,1,25,19561918
IBest,1.0,1.0,1,24,19561919
IBest,1.0,1.0,1,20,19561920
IBest,1.0,1.0,1,18,19561921
IBest,1.0,1.0,1,22,19561922
IBest,1.0,1.0,1,18,19561923
IBest,1.0,1.0,1,19,19561924
IBest,1.0,1.0,1,16,19561925
IBest,1.0,1.0,1,23,19561926
IBest,1.0,1.0,1,13,19561927
IBest,1.0,1.0,1,21,19561928
IBest,1.0,1.0,1,13,19561929
IBest,1.0,1.0,1,12,19561930
IProb,0.001,0.9956,0,1000,19561831
IProb,0.001,0.9983,0,1000,19561832
IProb,0.001,0.9985,0,1000,19561833
IProb,0.001,0.9975,0,1000,19561834
IProb,0.001,0.9978,0,1000,19561835
IProb,0.001,0.9979,0,1000,19561836
IProb,0.001,0.9981,0,1000,19561837
IProb,0.001,0.9954,0,1000,19561838
IProb,0.001,0.9989,0,1000,19561839
IProb,0.001,0.9985,0,1000,19561840
IProb,0.001,0.9974,0,1000,19561841
IProb,0.001,0.9978,0,1000,19561842
IProb,0.001,0.9979,0,1000,19561843
IProb,0.001,0.9976,0,1000,19561844
IProb,0.001,0.9981,0,1000,19561845
IProb,0.001,0.9965,0,1000,19561846
IProb,0.001,0.9979,0,1000,19561847
IProb,0.001,0.9983,0,1000,19561848
IProb,0.001,0.9977,0,1000,19561849
IProb,0.001,0.9978,0,1000,19561850
IProb,0.001,0.9964,0,1000,19561851
IProb,0.001,0.9977,0,1000,19561852
IProb,0.001,0.9987,0,1000,19561853
IProb,0.001,0.9971,0,1000,19561854
IProb,0.001,0.9966,0,1000,19561855
IProb,0.001,0.998,0,1000,19561856
IProb,0.001,0.9973,0,1000,19561857
IProb,0.001,0.9975,0,1000,19561858
IProb,0.001,0.9979,0,1000,19561859
IProb,0.001,0.9987,0,1000,19561860
IProb,0.001,0.9994,0,1000,19561861
IProb,0.001,0.9981,0,1000,19561862
IProb,0.001,0.9979,0,1000,19561863
