beta,stability,morality,cycle length,generation count,seed
0.03,0.5,0.912,2,14,19561831
0.03,1.0,0.925,1,19,19561832
0.03,0.5,0.911,2,12,19561833
0.03,0.5,0.8075,2,28,19561834
0.03,0.5,0.916,2,21,19561835
0.03,0.5,0.858,2,26,19561836
0.03,1.0,0.93,1,11,19561837
0.03,0.5,0.906,2,15,19561838
0.03,1.0,0.892,1,17,19561839
0.03,0.5,0.85,2,16,19561840
0.03,0.5,0.873,2,32,19561841
0.03,0.5,0.77,2,42,19561842
0.03,0.5,0.892,2,21,19561843
0.03,0.5,0.849,2,29,19561844
0.03,1.0,0.942,1,14,19561845
0.03,0.5,0.818,2,15,19561846
0.03,0.5,0.928,2,18,19561847
0.03,1.0,0.915,1,11,19561848
0.03,0.5,0.784,2,41,19561849
0.03,1.0,0.953,1,17,19561850
0.03,0.5,0.8475,2,23,19561851
0.03,1.0,0.912,1,23,19561852
0.03,0.5,0.79,2,23,19561853
0.03,0.5,0.8145,2,22,19561854
0.03,0.5,0.861,2,16,19561855
0.03,0.5,0.879,2,16,19561856
0.03,1.0,0.861,1,22,19561857
0.03,0.5,0.886,2,15,19561858
0.03,0.5,0.862,2,21,19561859
0.03,0.5,0.839,2,27,19561860
0.03,1.0,0.893,1,21,19561861
0.03,0.5,0.842,2,28,19561862
0.03,0.5,0.807,2,17,19561863
0.03,0.5,0.526,2,27,19561864
0.03,0.5,0.827,2,22,19561865
0.03,0.5,0.7905,2,34,19561866
0.03,0.5,0.7745,2,24,19561867
0.03,1.0,0.916,1,30,19561868
0.03,0.5,0.856,2,25,19561869
0.03,0.5,0.87,2,23,19561870
0.03,0.5,0.881,2,19,19561871
0.03,0.5,0.9135,2,22,19561872
0.03,0.5,0.7395,2,32,19561873
0.03,0.5,0.832,2,34,19561874
0.03,0.25,0.9187,4,33,19561875
0.03,0.5,0.872,2,33,19561876
0.03,0.5,0.9305,2,15,19561877
0.03,0.5,0.805,2,21,19561878
0.03,0.5,0.915,2,15,19561879
0.03,0.5,0.821,2,24,19561880
0.03,0.5,0.857,2,20,19561881
0.03,0.5,0.846,2,22,19561882
0.03,0.5,0.846,2,27,19561883
0.03,0.5,0.8665,2,26,19561884
0.03,1.0,0.934,1,17,19561885
0.03,1.0,0.913,1,33,19561886
0.03,1.0,0.945,1,13,19561887
0.03,0.5,0.854,2,16,19561888
0.03,0.5,0.785,2,32,19561889
0.03,0.5,0.876,2,22,19561890
0.03,0.5,0.839,2,20,19561891
0.03,0.5,0.88,2,23,19561892
0.03,0.5,0.903,2,16,19561893
0.03,0.5,0.841,2,25,19561894
0.03,1.0,0.939,1,21,19561895
0.03,0.5,0.877,2,14,19561896
0.03,1.0,0.926,1,15,19561897
0.03,1.0,0.932,1,19,19561898
0.03,1.0,0.937,1,20,19561899
0.03,0.5,0.8355,2,33,19561900
0.03,0.5,0.857,2,22,19561901
0.03,1.0,0.948,1,19,19561902
0.03,0.5,0.941,2,13,19561903
0.03,0.5,0.6785,2,30,19561904
0.03,0.5,0.833,2,21,19561905
0.03,1.0,0.905,1,20,19561906
0.03,0.5,0.904,2,33,19561907
0.03,1.0,0.891,1,20,19561908
0.03,1.0,0.949,1,17,19561909
0.03,0.5,0.808,2,32,19561910
