initial moral mean,stability,morality,cycle length,generation count,seed
0.25,0.1667,0.767,6,19,19561831
0.25,0.25,0.4615,4,22,19561832
0.25,0.25,0.441,4,23,19561833
0.25,0.5,0.713,2,18,19561834
0.25,0.0833,0.1392,12,33,19561835
0.25,0.5,0.637,2,19,19561836
0.25,0.0833,0.5665,12,27,19561837
0.25,0.0833,0.5453,12,37,19561838
0.25,0.25,0.624,4,29,19561839
0.25,0.5,0.722,2,22,19561840
0.25,0.25,0.464,4,24,19561841
0.25,0.5,0.5565,2,16,19561842
0.25,0.5,0.4665,2,19,19561843
0.25,0.0417,0.2389,24,47,19561844
0.25,0.5,0.696,2,13,19561845
0.25,0.5,0.779,2,15,19561846
0.25,0.5,0.666,2,25,19561847
0.25,0.25,0.6045,4,19,19561848
0.25,0.25,0.571,4,19,19561849
0.25,0.25,0.545,4,16,19561850
0.25,0.0833,0.537,12,27,19561851
0.25,0.5,0.6295,2,17,19561852
0.25,0.003,0.0285,336,354,19561853
0.25,0.1667,0.4685,6,27,19561854
0.25,0.5,0.711,2,17,19561855
0.25,0.5,0.699,2,17,19561856
0.25,0.5,0.6945,2,17,19561857
0.25,0.0833,0.338,12,34,19561858
0.25,0.1667,0.437,6,24,19561859
0.25,0.5,0.442,2,22,19561860
0.25,1.0,0.666,1,18,19561861
0.25,0.125,0.4461,8,31,19561862
0.25,0.25,0.25,4,33,19561863
0.25,0.0833,0.6978,12,34,19561864
0.25,0.1667,0.6145,6,25,19561865
0.25,0.5,0.571,2,21,19561866
0.25,0.5,0.6125,2,20,19561867
0.25,0.5,0.381,2,22,19561868
0.25,0.5,0.6155,2,17,19561869
0.25,0.5,0.587,2,19,19561870
0.25,0.5,0.658,2,21,19561871
0.25,0.0833,0.4415,12,32,19561872
0.25,0.5,0.817,2,15,19561873
0.25,0.25,0.5765,4,21,19561874
0.25,0.25,0.4305,4,38,19561875
0.25,0.25,0.513,4,26,19561876
0.25,0.25,0.2705,4,23,19561877
0.25,0.5,0.609,2,23,19561878
0.25,0.25,0.269,4,27,19561879
0.25,0.25,0.7335,4,21,19561880
0.25,0.5,0.512,2,20,19561881
0.25,0.25,0.511,4,17,19561882
0.25,0.125,0.3675,8,27,19561883
0.25,0.5,0.7015,2,18,19561884
0.25,0.25,0.5132,4,30,19561885
0.25,0.1667,0.574,6,26,19561886
0.25,0.25,0.6375,4,19,19561887
0.25,0.25,0.5032,4,22,19561888
0.25,0.25,0.186,4,22,19561889
0.25,0.25,0.3195,4,26,19561890
0.25,0.25,0.4355,4,19,19561891
0.25,0.25,0.754,4,18,19561892
0.25,0.5,0.791,2,14,19561893
0.25,0.5,0.7505,2,15,19561894
0.25,0.0833,0.265,12,35,19561895
0.25,0.5,0.7565,2,14,19561896
0.25,0.0833,0.2175,12,35,19561897
0.25,0.0833,0.433,12,29,19561898
0.25,0.0833,0.187,12,32,19561899
0.25,0.5,0.711,2,21,19561900
0.25,0.25,0.5705,4,20,19561901
0.25,0.5,0.752,2,14,19561902
0.25,0.5,0.624,2,17,19561903
0.25,0.5,0.668,2,15,19561904
0.25,0.0833,0.5577,12,30,19561905
0.25,0.5,0.689,2,20,19561906
0.25,0.5,0.633,2,16,19561907
0.25,0.5,0.6715,2,14,19561908
0.25,0.0833,0.5798,12,31,19561909
0.25,0.5,0.564,2,21,19561910
0.25,0.25,0.445,4,21,19561911
0.25,0.25,0.1507,4,22,19561912
0.25,0.25,0.382,4,19,19561913
0.25,0.0417,0.1336,24,79,19561914
0.25,0.5,0.786,2,15,19561915
0.25,0.5,0.6975,2,20,19561916
0.25,0.5,0.6105,2,24,19561917
0.25,0.5,0.5725,2,18,19561918
0.25,0.5,0.6755,2,32,19561919
0.25,0.25,0.601,4,21,19561920
0.25,0.5,0.6335,2,16,19561921
0.25,0.25,0.5182,4,22,19561922
0.25,0.0833,0.482,12,25,19561923
0.25,0.0833,0.091,12,35,19561924
0.25,0.5,0.8015,2,15,19561925
0.25,0.5,0.599,2,23,19561926
0.25,0.5,0.84,2,11,19561927
0.25,0.125,0.3085,8,21,19561928
0.25,0.5,0.665,2,15,19561929
0.25,0.25,0.478,4,21,19561930
0.5,0.5,0.8455,2,11,19561831
0.5,0.1667,0.751,6,21,19561832
0.5,0.5,0.697,2,18,19561833
0.5,1.0,0.857,1,15,19561834
0.5,0.5,0.5315,2,19,19561835
0.5,1.0,0.785,1,17,19561836
0.5,0.25,0.7432,4,22,19561837
0.5,0.5,0.679,2,17,19561838
0.5,0.5,0.8115,2,16,19561839
0.5,0.5,0.7275,2,14,19561840
0.5,0.25,0.6935,4,22,19561841
0.5,0.5,0.781,2,12,19561842
0.5,0.5,0.6605,2,16,19561843
0.5,0.5,0.5605,2,20,19561844
0.5,0.5,0.8425,2,12,19561845
0.5,1.0,0.875,1,10,19561846
0.5,1.0,0.85,1,13,19561847
0.5,0.5,0.69,2,12,19561848
0.5,0.5,0.8465,2,12,19561849
0.5,1.0,0.845,1,9,19561850
0.5,0.5,0.718,2,22,19561851
0.5,0.5,0.782,2,13,19561852
0.5,0.25,0.4828,4,19,19561853
0.5,0.1667,0.7675,6,29,19561854
0.5,0.5,0.746,2,13,19561855
0.5,1.0,0.904,1,10,19561856
0.5,1.0,0.749,1,12,19561857
0.5,0.5,0.6235,2,17,19561858
0.5,0.5,0.728,2,17,19561859
0.5,0.5,0.5285,2,18,19561860
0.5,0.5,0.7705,2,16,19561861
0.5,0.25,0.714,4,16,19561862
0.5,0.5,0.808,2,15,19561863
