learning distance,stability,morality,cycle length,generation count,seed
1,1.0,0.861,1,9,19561831
1,0.5,0.7085,2,16,19561832
1,0.5,0.728,2,17,19561833
1,1.0,0.848,1,10,19561834
1,0.0833,0.4622,12,28,19561835
1,0.5,0.7835,2,14,19561836
1,0.5,0.736,2,17,19561837
1,0.5,0.7745,2,20,19561838
1,1.0,0.788,1,9,19561839
1,1.0,0.829,1,18,19561840
1,0.25,0.6138,4,18,19561841
1,0.25,0.7105,4,19,19561842
1,0.5,0.639,2,15,19561843
1,0.25,0.473,4,23,19561844
1,1.0,0.852,1,11,19561845
1,0.25,0.839,4,16,19561846
1,0.5,0.778,2,19,19561847
1,0.5,0.825,2,15,19561848
1,1.0,0.81,1,12,19561849
1,0.5,0.798,2,13,19561850
1,0.5,0.72,2,16,19561851
1,0.5,0.7395,2,17,19561852
1,0.25,0.691,4,21,19561853
1,0.25,0.6805,4,24,19561854
1,1.0,0.822,1,12,19561855
1,0.5,0.8585,2,12,19561856
1,1.0,0.821,1,13,19561857
1,0.0833,0.6705,12,33,19561858
1,0.25,0.6515,4,20,19561859
1,0.5,0.708,2,21,19561860
1,1.0,0.848,1,10,19561861
1,0.5,0.751,2,20,19561862
1,0.5,0.745,2,12,19561863
1,0.5,0.814,2,12,19561864
1,0.5,0.794,2,15,19561865
1,0.5,0.874,2,15,19561866
1,1.0,0.833,1,14,19561867
1,0.5,0.7385,2,18,19561868
1,0.5,0.712,2,13,19561869
1,0.3333,0.7483,3,22,19561870
1,0.5,0.682,2,19,19561871
1,0.5,0.686,2,16,19561872
1,1.0,0.864,1,10,19561873
1,0.5,0.709,2,17,19561874
1,0.5,0.629,2,17,19561875
1,0.5,0.6845,2,16,19561876
1,0.5,0.691,2,14,19561877
1,0.5,0.707,2,16,19561878
1,0.5,0.6425,2,19,19561879
1,1.0,0.882,1,10,19561880
1,0.1667,0.6915,6,23,19561881
1,1.0,0.788,1,9,19561882
1,0.5,0.641,2,16,19561883
1,0.5,0.78,2,14,19561884
1,0.5,0.787,2,20,19561885
1,0.5,0.703,2,12,19561886
1,0.5,0.858,2,13,19561887
1,0.5,0.681,2,17,19561888
1,0.5,0.634,2,19,19561889
1,0.25,0.6637,4,17,19561890
1,0.5,0.572,2,16,19561891
1,0.5,0.8,2,15,19561892
1,1.0,0.83,1,13,19561893
1,0.5,0.828,2,17,19561894
1,0.5,0.6445,2,19,19561895
1,0.5,0.802,2,13,19561896
1,0.0833,0.6613,12,31,19561897
1,0.5,0.701,2,14,19561898
1,0.5,0.7175,2,15,19561899
1,1.0,0.829,1,10,19561900
1,1.0,0.802,1,12,19561901
1,1.0,0.821,1,11,19561902
1,1.0,0.876,1,13,19561903
1,1.0,0.841,1,10,19561904
1,0.5,0.768,2,13,19561905
1,0.5,0.794,2,15,19561906
1,1.0,0.833,1,11,19561907
1,0.5,0.795,2,13,19561908
1,0.5,0.77,2,14,19561909
1,0.5,0.753,2,11,19561910
1,0.5,0.816,2,20,19561911
1,0.0833,0.4658,12,31,19561912
1,0.5,0.787,2,12,19561913
1,0.5,0.8045,2,20,19561914
1,1.0,0.875,1,13,19561915
1,0.5,0.762,2,19,19561916
1,0.5,0.808,2,19,19561917
1,0.5,0.801,2,13,19561918
1,0.5,0.696,2,16,19561919
1,0.5,0.7955,2,15,19561920
1,1.0,0.833,1,15,19561921
1,0.5,0.805,2,14,19561922
1,0.5,0.7175,2,14,19561923
1,0.5,0.59,2,26,19561924
1,1.0,0.833,1,10,19561925
1,0.5,0.752,2,14,19561926
1,1.0,0.908,1,10,19561927
1,0.5,0.7105,2,14,19561928
1,0.5,0.7915,2,12,19561929
1,0.5,0.6995,2,13,19561930
2,1.0,0.994,1,7,19561831
2,1.0,1.0,1,7,19561832
2,1.0,0.996,1,8,19561833
2,1.0,0.966,1,6,19561834
2,1.0,0.957,1,10,19561835
2,1.0,0.972,1,6,19561836
2,1.0,0.995,1,8,19561837
2,1.0,0.928,1,9,19561838
2,1.0,0.956,1,7,19561839
2,1.0,0.963,1,8,19561840
2,1.0,0.972,1,9,19561841
2,1.0,0.983,1,7,19561842
2,1.0,0.881,1,8,19561843
2,1.0,0.966,1,8,19561844
2,1.0,0.951,1,6,19561845
2,1.0,0.998,1,5,19561846
2,1.0,0.984,1,9,19561847
2,1.0,0.93,1,5,19561848
2,1.0,0.953,1,7,19561849
2,1.0,0.996,1,9,19561850
2,1.0,0.957,1,7,19561851
2,1.0,0.99,1,9,19561852
2,1.0,0.946,1,10,19561853
2,1.0,0.933,1,8,19561854
2,1.0,0.935,1,7,19561855
2,1.0,0.976,1,6,19561856
2,1.0,0.988,1,9,19561857
2,1.0,0.99,1,7,19561858
2,1.0,0.967,1,10,19561859
2,1.0,0.987,1,7,19561860
2,1.0,0.974,1,6,19561861
2,1.0,0.986,1,8,19561862
