mutation probability,stability,morality,cycle length,generation count,seed
0.0,0.5,0.826,2,10,19561831
0.0,0.5,0.768,2,16,19561832
0.0,0.5,0.7535,2,19,19561833
0.0,1.0,0.891,1,9,19561834
0.0,0.25,0.5587,4,19,19561835
0.0,0.5,0.814,2,11,19561836
0.0,0.5,0.738,2,15,19561837
0.0,0.5,0.6785,2,15,19561838
0.0,0.5,0.789,2,13,19561839
0.0,1.0,0.846,1,10,19561840
0.0,0.25,0.6605,4,20,19561841
0.0,0.5,0.664,2,17,19561842
0.0,0.5,0.781,2,13,19561843
0.0,0.5,0.4855,2,24,19561844
0.0,1.0,0.856,1,10,19561845
0.0,1.0,0.837,1,9,19561846
0.0,0.5,0.827,2,16,19561847
0.0,0.5,0.81,2,12,19561848
0.0,1.0,0.789,1,12,19561849
0.0,0.5,0.807,2,12,19561850
0.0,0.5,0.744,2,20,19561851
0.0,0.5,0.806,2,12,19561852
0.0,0.5,0.734,2,17,19561853
0.0,0.5,0.7385,2,15,19561854
0.0,0.5,0.7245,2,14,19561855
0.0,1.0,0.875,1,9,19561856
0.0,0.5,0.8,2,13,19561857
0.0,0.5,0.7725,2,21,19561858
0.0,0.5,0.6175,2,22,19561859
0.0,0.5,0.6775,2,25,19561860
0.0,0.5,0.7795,2,13,19561861
0.0,0.5,0.7285,2,17,19561862
0.0,0.5,0.7105,2,15,19561863
0.0,0.5,0.711,2,17,19561864
0.0,0.5,0.7365,2,14,19561865
0.0,0.5,0.754,2,14,19561866
0.0,0.5,0.735,2,17,19561867
0.0,0.25,0.6895,4,22,19561868
0.0,0.5,0.732,2,9,19561869
0.0,0.5,0.786,2,21,19561870
0.0,0.5,0.797,2,14,19561871
0.0,0.1667,0.643,6,17,19561872
0.0,1.0,0.859,1,13,19561873
0.0,0.5,0.68,2,17,19561874
0.0,0.5,0.5915,2,17,19561875
0.0,0.5,0.616,2,15,19561876
0.0,0.5,0.733,2,16,19561877
0.0,0.5,0.7705,2,12,19561878
0.0,0.5,0.6795,2,24,19561879
0.0,1.0,0.847,1,13,19561880
0.0,0.5,0.722,2,20,19561881
0.0,0.25,0.7628,4,16,19561882
0.0,0.25,0.7025,4,16,19561883
0.0,1.0,0.846,1,14,19561884
0.0,0.25,0.725,4,16,19561885
0.0,0.5,0.691,2,16,19561886
0.0,0.5,0.845,2,9,19561887
0.0,0.5,0.759,2,12,19561888
0.0,0.5,0.695,2,23,19561889
0.0,0.5,0.724,2,16,19561890
0.0,0.5,0.634,2,17,19561891
0.0,0.5,0.827,2,12,19561892
0.0,1.0,0.878,1,15,19561893
0.0,0.25,0.8157,4,14,19561894
0.0,0.5,0.68,2,15,19561895
0.0,1.0,0.809,1,13,19561896
0.0,0.5,0.64,2,15,19561897
0.0,0.25,0.604,4,17,19561898
0.0,0.5,0.7385,2,13,19561899
0.0,0.5,0.791,2,12,19561900
0.0,1.0,0.832,1,13,19561901
0.0,1.0,0.782,1,9,19561902
0.0,0.5,0.803,2,12,19561903
0.0,1.0,0.845,1,11,19561904
0.0,1.0,0.863,1,12,19561905
0.0,0.5,0.703,2,12,19561906
0.0,0.5,0.802,2,14,19561907
0.0,0.5,0.8295,2,12,19561908
0.0,0.5,0.753,2,18,19561909
0.0,0.5,0.7525,2,12,19561910
0.0,1.0,0.788,1,17,19561911
0.0,0.5,0.5115,2,13,19561912
0.0,0.5,0.759,2,13,19561913
0.0,0.5,0.718,2,13,19561914
0.0,1.0,0.847,1,13,19561915
0.0,1.0,0.891,1,16,19561916
0.0,1.0,0.87,1,10,19561917
0.0,1.0,0.791,1,11,19561918
0.0,0.5,0.767,2,15,19561919
0.0,0.5,0.778,2,17,19561920
0.0,0.5,0.6465,2,16,19561921
0.0,0.5,0.7335,2,11,19561922
0.0,0.5,0.698,2,16,19561923
0.0,0.25,0.644,4,19,19561924
0.0,1.0,0.857,1,9,19561925
0.0,0.5,0.608,2,12,19561926
0.0,1.0,0.907,1,7,19561927
0.0,0.5,0.6775,2,17,19561928
0.0,0.5,0.869,2,10,19561929
0.0,0.5,0.698,2,12,19561930
0.001,0.001,0.888,0,1000,19561831
0.001,0.001,0.8682,0,1000,19561832
0.001,0.001,0.8749,0,1000,19561833
0.001,0.001,0.9158,0,1000,19561834
0.001,0.001,0.7704,0,1000,19561835
0.001,0.001,0.8989,0,1000,19561836
0.001,0.001,0.8378,0,1000,19561837
0.001,0.001,0.8405,0,1000,19561838
0.001,0.001,0.8711,0,1000,19561839
0.001,0.001,0.8639,0,1000,19561840
0.001,0.001,0.8377,0,1000,19561841
0.001,0.001,0.8657,0,1000,19561842
0.001,0.001,0.844,0,1000,19561843
0.001,0.001,0.8166,0,1000,19561844
0.001,0.001,0.8838,0,1000,19561845
0.001,0.001,0.8821,0,1000,19561846
0.001,0.001,0.8834,0,1000,19561847
0.001,0.001,0.8751,0,1000,19561848
0.001,0.001,0.8676,0,1000,19561849
0.001,0.001,0.8806,0,1000,19561850
0.001,0.001,0.8492,0,1000,19561851
0.001,0.001,0.8645,0,1000,19561852
0.001,0.001,0.7969,0,1000,19561853
0.001,0.001,0.86,0,1000,19561854
0.001,0.001,0.8514,0,1000,19561855
0.001,0.001,0.9291,0,1000,19561856
0.001,0.001,0.8705,0,1000,19561857
0.001,0.001,0.836,0,1000,19561858
0.001,0.001,0.8053,0,1000,19561859
0.001,0.001,0.8362,0,1000,19561860
0.001,0.001,0.9117,0,1000,19561861
0.001,0.001,0.8688,0,1000,19561862
0.001,0.001,0.8518,0,1000,19561863
0.001,0.001,0.8627,0,1000,19561864
0.001,0.001,0.8708,0,1000,19561865
0.001,0.001,0.8639,0,1000,19561866
0.001,0.001,0.8639,0,1000,19561867
0.001,0.001,0.8725,0,1000,19561868
0.001,0.001,0.8294,0,1000,19561869
0.001,0.001,0.9001,0,1000,19561870
0.001,0.001,0.9005,0,1000,19561871
0.001,0.001,0.9038,0,1000,19561872
0.001,0.001,0.9381,0,1000,19561873
0.001,0.001,0.8509,0,1000,19561874
0.001,0.001,0.8655,0,1000,19561875
0.001,0.001,0.8472,0,1000,19561876
0.001,0.001,0.8962,0,1000,19561877
0.001,0.001,0.8423,0,1000,19561878
0.001,0.001,0.8214,0,1000,19561879
0.001,0.001,0.9267,0,1000,19561880
0.001,0.001,0.8653,0,1000,19561881
0.001,0.001,0.8879,0,1000,19561882
0.001,0.001,0.8438,0,1000,19561883
0.001,0.001,0.85,0,1000,19561884
0.001,0.001,0.8695,0,1000,19561885
0.001,0.001,0.8628,0,1000,19561886
0.001,0.001,0.8877,0,1000,19561887
0.001,0.001,0.8675,0,1000,19561888
0.001,0.001,0.7468,0,1000,19561889
0.001,0.001,0.853,0,1000,19561890
0.001,0.001,0.765,0,1000,19561891
0.001,0.001,0.8973,0,1000,19561892
0.001,0.001,0.9005,0,1000,19561893
0.001,0.001,0.9067,0,1000,19561894
0.001,0.001,0.8402,0,1000,19561895
0.001,0.001,0.9096,0,1000,19561896
0.001,0.001,0.8384,0,1000,19561897
0.001,0.001,0.8667,0,1000,19561898
0.001,0.001,0.888,0,1000,19561899
0.001,0.001,0.8983,0,1000,19561900
0.001,0.001,0.8541,0,1000,19561901
0.001,0.001,0.8812,0,1000,19561902
0.001,0.001,0.9096,0,1000,19561903
0.001,0.001,0.8751,0,1000,19561904
0.001,0.001,0.9164,0,1000,19561905
0.001,0.001,0.9001,0,1000,19561906
0.001,0.001,0.8948,0,1000,19561907
0.001,0.001,0.9032,0,1000,19561908
0.001,0.001,0.9082,0,1000,19561909
0.001,0.001,0.8931,0,1000,19561910
0.001,0.001,0.9124,0,1000,19561911
0.001,0.001,0.8359,0,1000,19561912
0.001,0.001,0.8804,0,1000,19561913
0.001,0.001,0.882,0,1000,19561914
0.001,0.001,0.9108,0,1000,19561915
