neighborhood,stability,morality,cycle length,generation count,seed
2,1.0,0.865,1,8,19561831
2,0.5,0.819,2,15,19561832
2,0.5,0.7515,2,20,19561833
2,1.0,0.847,1,12,19561834
2,0.5,0.63,2,17,19561835
2,0.5,0.8,2,13,19561836
2,0.1667,0.743,6,19,19561837
2,0.5,0.6805,2,12,19561838
2,1.0,0.793,1,11,19561839
2,0.5,0.829,2,19,19561840
2,0.5,0.77,2,14,19561841
2,0.5,0.751,2,13,19561842
2,0.5,0.6765,2,21,19561843
2,0.25,0.499,4,18,19561844
2,0.5,0.802,2,11,19561845
2,1.0,0.883,1,13,19561846
2,1.0,0.755,1,14,19561847
2,1.0,0.804,1,17,19561848
2,0.5,0.809,2,12,19561849
2,1.0,0.809,1,9,19561850
2,0.5,0.7335,2,15,19561851
2,1.0,0.842,1,16,19561852
2,0.5,0.616,2,17,19561853
2,1.0,0.784,1,19,19561854
2,0.5,0.691,2,13,19561855
2,1.0,0.881,1,8,19561856
2,1.0,0.776,1,11,19561857
2,0.5,0.75,2,19,19561858
2,0.25,0.5535,4,18,19561859
2,0.25,0.6665,4,18,19561860
2,1.0,0.777,1,12,19561861
2,0.5,0.794,2,14,19561862
2,0.5,0.797,2,12,19561863
2,0.5,0.786,2,18,19561864
2,1.0,0.79,1,11,19561865
2,0.5,0.763,2,16,19561866
2,1.0,0.825,1,14,19561867
2,0.5,0.813,2,13,19561868
2,0.5,0.8065,2,13,19561869
2,0.5,0.7855,2,16,19561870
2,0.5,0.691,2,14,19561871
2,0.5,0.817,2,13,19561872
2,1.0,0.873,1,10,19561873
2,0.5,0.7535,2,19,19561874
2,0.25,0.7262,4,24,19561875
2,0.25,0.621,4,20,19561876
2,0.5,0.6595,2,15,19561877
2,0.25,0.7895,4,21,19561878
2,0.25,0.4133,4,25,19561879
2,1.0,0.824,1,13,19561880
2,0.5,0.6415,2,15,19561881
2,0.5,0.824,2,13,19561882
2,0.25,0.5985,4,24,19561883
2,0.5,0.786,2,14,19561884
2,0.5,0.788,2,14,19561885
2,0.5,0.6945,2,17,19561886
2,1.0,0.802,1,11,19561887
2,0.5,0.77,2,14,19561888
2,0.5,0.7265,2,17,19561889
2,0.25,0.678,4,19,19561890
2,0.5,0.5565,2,18,19561891
2,1.0,0.865,1,11,19561892
2,1.0,0.871,1,10,19561893
2,1.0,0.811,1,12,19561894
2,0.5,0.634,2,14,19561895
2,1.0,0.858,1,10,19561896
2,0.25,0.675,4,19,19561897
2,0.25,0.5913,4,16,19561898
2,0.5,0.645,2,14,19561899
2,1.0,0.818,1,11,19561900
2,1.0,0.843,1,12,19561901
2,1.0,0.894,1,15,19561902
2,1.0,0.862,1,9,19561903
2,1.0,0.872,1,9,19561904
2,1.0,0.805,1,16,19561905
2,1.0,0.761,1,15,19561906
2,0.25,0.7867,4,17,19561907
2,0.5,0.8605,2,17,19561908
2,0.5,0.789,2,18,19561909
2,1.0,0.691,1,15,19561910
2,0.5,0.749,2,14,19561911
2,0.5,0.5715,2,21,19561912
2,1.0,0.825,1,14,19561913
2,0.5,0.7645,2,17,19561914
2,0.5,0.829,2,13,19561915
2,1.0,0.858,1,12,19561916
2,0.5,0.809,2,14,19561917
2,0.5,0.8025,2,15,19561918
2,1.0,0.779,1,14,19561919
2,0.5,0.818,2,19,19561920
2,0.5,0.762,2,15,19561921
2,0.5,0.766,2,14,19561922
2,0.25,0.65,4,15,19561923
2,0.5,0.6685,2,20,19561924
2,0.5,0.8445,2,10,19561925
2,0.5,0.763,2,16,19561926
2,1.0,0.895,1,9,19561927
2,0.5,0.628,2,28,19561928
2,1.0,0.818,1,12,19561929
2,0.5,0.694,2,15,19561930
3,1.0,0.965,1,12,19561831
3,1.0,0.984,1,8,19561832
3,1.0,0.971,1,7,19561833
3,1.0,0.947,1,8,19561834
3,1.0,0.961,1,8,19561835
3,1.0,0.963,1,8,19561836
3,1.0,0.933,1,7,19561837
3,1.0,0.983,1,8,19561838
3,1.0,0.934,1,8,19561839
3,1.0,0.949,1,8,19561840
3,1.0,0.928,1,10,19561841
3,1.0,0.937,1,9,19561842
3,1.0,0.957,1,7,19561843
3,1.0,0.965,1,7,19561844
3,1.0,0.967,1,7,19561845
3,1.0,0.959,1,11,19561846
3,1.0,0.966,1,9,19561847
3,1.0,0.937,1,7,19561848
3,1.0,0.939,1,8,19561849
3,1.0,0.975,1,7,19561850
3,1.0,0.973,1,7,19561851
3,1.0,0.972,1,8,19561852
3,1.0,0.981,1,8,19561853
3,1.0,0.965,1,8,19561854
3,1.0,0.988,1,10,19561855
3,1.0,0.951,1,8,19561856
3,1.0,0.98,1,7,19561857
3,1.0,0.969,1,10,19561858
3,1.0,0.964,1,8,19561859
3,1.0,0.975,1,7,19561860
3,1.0,0.989,1,6,19561861
3,1.0,0.948,1,11,19561862
3,1.0,0.903,1,8,19561863
3,1.0,0.934,1,14,19561864
3,1.0,0.968,1,9,19561865
3,1.0,0.967,1,7,19561866
3,1.0,0.969,1,9,19561867
3,1.0,0.964,1,9,19561868
3,1.0,0.996,1,7,19561869
3,1.0,0.983,1,9,19561870
3,1.0,0.953,1,7,19561871
3,1.0,0.989,1,6,19561872
3,1.0,0.956,1,9,19561873
3,1.0,0.97,1,8,19561874
3,1.0,0.976,1,10,19561875
3,1.0,0.976,1,7,19561876
3,1.0,0.979,1,5,19561877
3,1.0,0.965,1,8,19561878
3,1.0,0.97,1,7,19561879
3,1.0,0.959,1,7,19561880
3,1.0,0.931,1,12,19561881
3,1.0,0.941,1,9,19561882
3,1.0,0.9,1,11,19561883
3,1.0,0.94,1,8,19561884
3,1.0,0.924,1,7,19561885
3,1.0,0.963,1,8,19561886
3,1.0,0.967,1,7,19561887
3,1.0,0.966,1,8,19561888
3,1.0,0.933,1,11,19561889
3,1.0,0.964,1,8,19561890
3,1.0,0.963,1,6,19561891
