population size,stability,morality,cycle length,generation count,seed
100,1.0,0.89,1,7,19561831
100,1.0,0.79,1,8,19561832
100,1.0,0.95,1,8,19561833
100,1.0,0.68,1,9,19561834
100,1.0,0.69,1,7,19561835
100,1.0,0.85,1,14,19561836
100,0.0833,0.18,12,20,19561837
100,1.0,0.81,1,9,19561838
100,1.0,0.97,1,5,19561839
100,1.0,0.89,1,10,19561840
100,0.25,0.33,4,10,19561841
100,1.0,0.23,1,5,19561842
100,1.0,0.91,1,8,19561843
100,0.5,0.42,2,9,19561844
100,1.0,0.49,1,10,19561845
100,1.0,0.89,1,7,19561846
100,0.5,0.69,2,9,19561847
100,1.0,0.93,1,9,19561848
100,0.25,0.37,4,14,19561849
100,1.0,0.8,1,9,19561850
100,0.5,0.74,2,9,19561851
100,1.0,0.93,1,7,19561852
100,1.0,0.77,1,13,19561853
100,0.5,0.08,2,8,19561854
100,1.0,0.96,1,7,19561855
100,0.5,0.6,2,13,19561856
100,1.0,0.88,1,8,19561857
100,1.0,0.63,1,6,19561858
100,0.5,0.68,2,14,19561859
100,1.0,0.73,1,10,19561860
100,1.0,0.98,1,8,19561861
100,0.5,0.36,2,8,19561862
100,1.0,0.66,1,15,19561863
100,1.0,0.97,1,7,19561864
100,1.0,0.96,1,8,19561865
100,1.0,0.87,1,10,19561866
100,0.5,0.72,2,15,19561867
100,1.0,0.86,1,10,19561868
100,0.5,0.81,2,23,19561869
100,1.0,0.83,1,8,19561870
100,0.5,0.13,2,11,19561871
100,0.25,0.4,4,16,19561872
100,0.5,0.43,2,10,19561873
100,1.0,0.89,1,9,19561874
100,1.0,0.92,1,5,19561875
100,1.0,0.8,1,8,19561876
100,1.0,0.58,1,10,19561877
100,1.0,0.9,1,5,19561878
100,0.5,0.535,2,14,19561879
100,1.0,0.44,1,8,19561880
100,1.0,0.89,1,8,19561881
100,1.0,0.93,1,5,19561882
100,1.0,0.94,1,8,19561883
100,1.0,0.71,1,8,19561884
100,1.0,0.48,1,9,19561885
100,0.5,0.57,2,16,19561886
100,1.0,0.93,1,7,19561887
100,1.0,0.79,1,5,19561888
100,1.0,0.62,1,6,19561889
100,1.0,0.71,1,7,19561890
100,0.5,0.27,2,12,19561891
100,0.25,0.08,4,10,19561892
100,1.0,0.78,1,7,19561893
100,1.0,0.6,1,12,19561894
100,0.5,0.52,2,17,19561895
100,1.0,0.72,1,8,19561896
100,1.0,0.85,1,7,19561897
100,1.0,0.67,1,17,19561898
100,1.0,0.77,1,6,19561899
100,1.0,0.67,1,5,19561900
100,1.0,0.72,1,9,19561901
100,1.0,0.63,1,8,19561902
100,1.0,0.63,1,8,19561903
100,1.0,0.87,1,7,19561904
100,0.5,0.45,2,6,19561905
100,1.0,0.79,1,10,19561906
100,1.0,0.92,1,7,19561907
100,1.0,0.84,1,13,19561908
100,1.0,0.84,1,7,19561909
100,1.0,0.5,1,7,19561910
100,1.0,0.84,1,7,19561911
100,1.0,0.76,1,11,19561912
100,1.0,0.76,1,9,19561913
100,1.0,0.89,1,9,19561914
100,1.0,0.84,1,10,19561915
100,0.25,0.08,4,8,19561916
100,1.0,0.84,1,16,19561917
100,1.0,0.77,1,8,19561918
100,1.0,0.79,1,8,19561919
100,1.0,0.81,1,10,19561920
100,1.0,0.69,1,12,19561921
100,0.5,0.64,2,8,19561922
100,1.0,0.78,1,7,19561923
100,1.0,0.55,1,7,19561924
100,1.0,0.86,1,6,19561925
100,0.5,0.4,2,13,19561926
100,1.0,0.83,1,5,19561927
100,1.0,0.78,1,9,19561928
100,1.0,0.87,1,7,19561929
100,1.0,1.0,1,10,19561930
1000,1.0,0.843,1,12,19561831
1000,0.5,0.774,2,16,19561832
1000,0.5,0.6425,2,14,19561833
1000,1.0,0.881,1,12,19561834
1000,0.5,0.5765,2,17,19561835
1000,1.0,0.801,1,14,19561836
1000,0.25,0.7588,4,15,19561837
1000,0.5,0.704,2,17,19561838
1000,0.5,0.738,2,14,19561839
1000,1.0,0.769,1,17,19561840
1000,0.0417,0.6485,24,35,19561841
1000,0.5,0.829,2,15,19561842
1000,0.5,0.6855,2,17,19561843
1000,0.5,0.58,2,16,19561844
1000,0.5,0.807,2,14,19561845
1000,1.0,0.817,1,9,19561846
1000,1.0,0.8,1,16,19561847
1000,0.5,0.8225,2,11,19561848
1000,1.0,0.808,1,14,19561849
1000,0.5,0.861,2,11,19561850
1000,0.5,0.76,2,14,19561851
1000,1.0,0.824,1,11,19561852
1000,0.5,0.6675,2,16,19561853
1000,0.5,0.73,2,20,19561854
1000,0.25,0.709,4,38,19561855
1000,1.0,0.869,1,13,19561856
1000,0.5,0.797,2,10,19561857
1000,0.5,0.7055,2,19,19561858
1000,0.5,0.736,2,33,19561859
1000,0.5,0.5385,2,16,19561860
1000,0.5,0.818,2,13,19561861
1000,0.5,0.694,2,15,19561862
1000,0.5,0.793,2,17,19561863
1000,0.5,0.7595,2,11,19561864
1000,0.5,0.822,2,11,19561865
