wrap around,stability,morality,cycle length,generation count,seed
true,1.0,0.835,1,13,19561831
true,0.5,0.736,2,16,19561832
true,0.5,0.67,2,14,19561833
true,1.0,0.887,1,10,19561834
true,0.5,0.703,2,21,19561835
true,0.5,0.787,2,14,19561836
true,0.5,0.715,2,14,19561837
true,0.5,0.673,2,17,19561838
true,1.0,0.842,1,11,19561839
true,0.5,0.79,2,15,19561840
true,0.5,0.5865,2,15,19561841
true,0.5,0.802,2,14,19561842
true,0.5,0.7155,2,15,19561843
true,0.0833,0.602,12,35,19561844
true,1.0,0.855,1,11,19561845
true,0.5,0.798,2,13,19561846
true,0.5,0.697,2,14,19561847
true,0.25,0.7555,4,13,19561848
true,1.0,0.805,1,13,19561849
true,1.0,0.828,1,11,19561850
true,0.5,0.734,2,14,19561851
true,0.5,0.768,2,16,19561852
true,0.25,0.6783,4,20,19561853
true,0.25,0.6385,4,17,19561854
true,0.5,0.6385,2,18,19561855
true,1.0,0.874,1,11,19561856
true,0.5,0.7305,2,12,19561857
true,0.5,0.6015,2,17,19561858
true,0.5,0.749,2,18,19561859
true,0.5,0.6275,2,16,19561860
true,0.5,0.822,2,15,19561861
true,0.5,0.7425,2,20,19561862
true,1.0,0.838,1,11,19561863
true,0.3333,0.708,3,17,19561864
true,1.0,0.848,1,16,19561865
true,0.5,0.674,2,28,19561866
true,1.0,0.72,1,13,19561867
true,0.5,0.724,2,18,19561868
true,1.0,0.768,1,16,19561869
true,0.25,0.6937,4,25,19561870
true,0.25,0.6735,4,16,19561871
true,0.5,0.81,2,12,19561872
true,0.5,0.832,2,10,19561873
true,0.5,0.758,2,22,19561874
true,0.125,0.4472,8,23,19561875
true,0.5,0.6285,2,18,19561876
true,0.5,0.643,2,18,19561877
true,0.5,0.6935,2,15,19561878
true,0.5,0.499,2,17,19561879
true,0.5,0.818,2,13,19561880
true,0.5,0.722,2,16,19561881
true,0.5,0.791,2,12,19561882
true,0.5,0.604,2,20,19561883
true,0.5,0.828,2,13,19561884
true,0.5,0.7225,2,20,19561885
true,0.5,0.747,2,13,19561886
true,1.0,0.866,1,12,19561887
true,0.5,0.6955,2,19,19561888
true,0.5,0.5435,2,13,19561889
true,0.5,0.648,2,15,19561890
true,0.5,0.7,2,14,19561891
true,1.0,0.845,1,11,19561892
true,1.0,0.886,1,12,19561893
true,0.5,0.8285,2,11,19561894
true,0.5,0.696,2,16,19561895
true,1.0,0.837,1,11,19561896
true,0.25,0.6115,4,21,19561897
true,0.5,0.656,2,12,19561898
true,0.5,0.752,2,14,19561899
true,1.0,0.81,1,8,19561900
true,1.0,0.818,1,14,19561901
true,0.5,0.8,2,12,19561902
true,1.0,0.875,1,8,19561903
true,1.0,0.827,1,11,19561904
true,1.0,0.788,1,14,19561905
true,1.0,0.844,1,14,19561906
true,1.0,0.69,1,17,19561907
true,0.5,0.829,2,12,19561908
true,1.0,0.858,1,11,19561909
true,1.0,0.762,1,10,19561910
true,0.5,0.743,2,12,19561911
true,0.1667,0.6413,6,31,19561912
true,0.5,0.815,2,11,19561913
true,0.25,0.7422,4,19,19561914
true,0.5,0.854,2,12,19561915
true,1.0,0.887,1,12,19561916
true,1.0,0.858,1,11,19561917
true,1.0,0.77,1,15,19561918
true,0.5,0.805,2,13,19561919
true,1.0,0.856,1,13,19561920
true,0.5,0.719,2,14,19561921
true,0.5,0.782,2,12,19561922
true,0.5,0.5045,2,12,19561923
true,0.1667,0.708,6,24,19561924
true,1.0,0.862,1,12,19561925
true,0.5,0.6915,2,16,19561926
true,1.0,0.893,1,8,19561927
true,0.5,0.7395,2,17,19561928
true,0.5,0.848,2,10,19561929
true,0.5,0.6845,2,21,19561930
false,1.0,0.891,1,10,19561831
false,0.5,0.7115,2,15,19561832
false,0.5,0.677,2,14,19561833
false,1.0,0.826,1,14,19561834
false,0.5,0.767,2,11,19561835
false,1.0,0.841,1,10,19561836
false,0.5,0.756,2,13,19561837
false,1.0,0.851,1,11,19561838
false,0.5,0.7375,2,12,19561839
false,0.5,0.7975,2,19,19561840
false,0.5,0.5985,2,18,19561841
false,0.5,0.811,2,9,19561842
false,0.5,0.631,2,21,19561843
false,0.5,0.828,2,12,19561844
false,1.0,0.842,1,12,19561845
false,0.5,0.827,2,12,19561846
false,0.5,0.782,2,15,19561847
false,0.5,0.785,2,12,19561848
false,1.0,0.767,1,11,19561849
false,0.5,0.7655,2,14,19561850
false,0.5,0.789,2,16,19561851
false,0.5,0.824,2,14,19561852
false,0.5,0.745,2,13,19561853
false,0.5,0.808,2,17,19561854
false,0.5,0.7715,2,14,19561855
false,0.5,0.7205,2,16,19561856
false,1.0,0.85,1,11,19561857
false,0.25,0.6785,4,15,19561858
false,0.5,0.756,2,14,19561859
false,0.5,0.781,2,12,19561860
false,0.5,0.796,2,15,19561861
false,0.5,0.71,2,17,19561862
false,0.25,0.4625,4,23,19561863
false,1.0,0.811,1,13,19561864
false,0.5,0.7085,2,13,19561865
false,0.5,0.766,2,12,19561866
false,0.25,0.7945,4,21,19561867
false,0.5,0.757,2,15,19561868
false,0.5,0.826,2,13,19561869
false,1.0,0.876,1,12,19561870
false,1.0,0.785,1,12,19561871
false,0.5,0.792,2,17,19561872
false,1.0,0.878,1,13,19561873
false,0.5,0.7845,2,14,19561874
false,0.5,0.6275,2,17,19561875
false,0.5,0.748,2,15,19561876
false,0.5,0.6405,2,14,19561877
false,0.5,0.667,2,14,19561878
false,1.0,0.863,1,12,19561879
false,1.0,0.838,1,12,19561880
false,0.5,0.788,2,13,19561881
false,1.0,0.779,1,15,19561882
false,1.0,0.879,1,12,19561883
false,1.0,0.85,1,9,19561884
false,0.5,0.7895,2,16,19561885
false,0.5,0.737,2,12,19561886
false,1.0,0.799,1,12,19561887
false,1.0,0.78,1,13,19561888
false,0.5,0.814,2,13,19561889
false,0.5,0.779,2,21,19561890
false,0.5,0.817,2,17,19561891
false,0.5,0.6315,2,15,19561892
false,0.5,0.7725,2,12,19561893
false,0.25,0.745,4,17,19561894
false,0.5,0.795,2,19,19561895
false,0.25,0.738,4,15,19561896
false,0.5,0.772,2,14,19561897
false,0.5,0.83,2,15,19561898
false,0.5,0.86,2,12,19561899
false,0.5,0.824,2,16,19561900
false,0.5,0.842,2,10,19561901
false,0.5,0.7975,2,13,19561902
false,0.25,0.5565,4,19,19561903
false,0.25,0.7478,4,16,19561904
false,0.5,0.565,2,17,19561905
false,1.0,0.855,1,11,19561906
false,0.5,0.711,2,14,19561907
false,0.5,0.798,2,11,19561908
false,1.0,0.834,1,15,19561909
false,0.5,0.792,2,17,19561910
false,0.5,0.6845,2,19,19561911
false,1.0,0.874,1,9,19561912
false,0.5,0.7335,2,14,19561913
false,0.5,0.7195,2,16,19561914
false,0.5,0.644,2,18,19561915
false,0.25,0.653,4,16,19561916
false,0.5,0.672,2,22,19561917
false,0.5,0.716,2,11,19561918
false,0.5,0.6645,2,16,19561919
false,0.5,0.818,2,17,19561920
false,0.25,0.665,4,20,19561921
false,0.5,0.766,2,25,19561922
false,0.5,0.7105,2,19,19561923
false,1.0,0.811,1,9,19561924
false,0.5,0.75,2,16,19561925
false,1.0,0.83,1,13,19561926
false,1.0,0.845,1,10,19561927
false,0.5,0.617,2,18,19561928
false,0.5,0.704,2,20,19561929
false,1.0,0.77,1,16,19561930
