mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.9819,0,1000,19561831
0,0.001,0.9822,0,1000,19561832
0,0.001,0.988,0,1000,19561833
0,0.001,0.9852,0,1000,19561834
0,0.001,0.9842,0,1000,19561835
0,0.001,0.988,0,1000,19561836
0,0.001,0.9868,0,1000,19561837
0,0.001,0.9841,0,1000,19561838
0,0.001,0.9879,0,1000,19561839
0,0.001,0.989,0,1000,19561840
0,0.001,0.9876,0,1000,19561841
0,0.001,0.9873,0,1000,19561842
0,0.001,0.9869,0,1000,19561843
0,0.001,0.9808,0,1000,19561844
0,0.001,0.9879,0,1000,19561845
0,0.001,0.9872,0,1000,19561846
0,0.001,0.9893,0,1000,19561847
0,0.001,0.9874,0,1000,19561848
0,0.001,0.9894,0,1000,19561849
0,0.001,0.9865,0,1000,19561850
0,0.001,0.9856,0,1000,19561851
0,0.001,0.987,0,1000,19561852
0,0.001,0.9874,0,1000,19561853
0,0.001,0.9879,0,1000,19561854
0,0.001,0.9851,0,1000,19561855
0,0.001,0.987,0,1000,19561856
0,0.001,0.9885,0,1000,19561857
0,0.001,0.9883,0,1000,19561858
0,0.001,0.9866,0,1000,19561859
0,0.001,0.9825,0,1000,19561860
0,0.001,0.9821,0,1000,19561861
0,0.001,0.9853,0,1000,19561862
0,0.001,0.9877,0,1000,19561863
0,0.001,0.9872,0,1000,19561864
0,0.001,0.9884,0,1000,19561865
0,0.001,0.9878,0,1000,19561866
0,0.001,0.9868,0,1000,19561867
0,0.001,0.9892,0,1000,19561868
0,0.001,0.9886,0,1000,19561869
0,0.001,0.9875,0,1000,19561870
0,0.001,0.9877,0,1000,19561871
0,0.001,0.9874,0,1000,19561872
0,0.001,0.9833,0,1000,19561873
0,0.001,0.9895,0,1000,19561874
0,0.001,0.9867,0,1000,19561875
0,0.001,0.9858,0,1000,19561876
0,0.001,0.9888,0,1000,19561877
0,0.001,0.9886,0,1000,19561878
0,0.001,0.9849,0,1000,19561879
0,0.001,0.9876,0,1000,19561880
0,0.001,0.9758,0,1000,19561881
0,0.001,0.9876,0,1000,19561882
0,0.001,0.9873,0,1000,19561883
0,0.001,0.9777,0,1000,19561884
0,0.001,0.9869,0,1000,19561885
0,0.001,0.9828,0,1000,19561886
0,0.001,0.9875,0,1000,19561887
0,0.001,0.9882,0,1000,19561888
0,0.001,0.9885,0,1000,19561889
0,0.001,0.9856,0,1000,19561890
0,0.001,0.988,0,1000,19561891
0,0.001,0.9877,0,1000,19561892
0,0.001,0.9871,0,1000,19561893
0,0.001,0.9855,0,1000,19561894
0,0.001,0.9859,0,1000,19561895
0,0.001,0.9881,0,1000,19561896
0,0.001,0.9885,0,1000,19561897
0,0.001,0.9871,0,1000,19561898
0,0.001,0.987,0,1000,19561899
0,0.001,0.9845,0,1000,19561900
0,0.001,0.9878,0,1000,19561901
0,0.001,0.989,0,1000,19561902
0,0.001,0.9879,0,1000,19561903
0,0.001,0.986,0,1000,19561904
0,0.001,0.9882,0,1000,19561905
0,0.001,0.986,0,1000,19561906
0,0.001,0.9875,0,1000,19561907
0,0.001,0.9866,0,1000,19561908
0,0.001,0.9819,0,1000,19561909
0,0.001,0.9878,0,1000,19561910
0,0.001,0.988,0,1000,19561911
0,0.001,0.9869,0,1000,19561912
0,0.001,0.9872,0,1000,19561913
0,0.001,0.9859,0,1000,19561914
0,0.001,0.9868,0,1000,19561915
0,0.001,0.9874,0,1000,19561916
0,0.001,0.9875,0,1000,19561917
0,0.001,0.9852,0,1000,19561918
0,0.001,0.989,0,1000,19561919
0,0.001,0.9875,0,1000,19561920
0,0.001,0.9866,0,1000,19561921
0,0.001,0.9849,0,1000,19561922
0,0.001,0.9888,0,1000,19561923
0,0.001,0.9856,0,1000,19561924
0,0.001,0.9859,0,1000,19561925
0,0.001,0.9864,0,1000,19561926
0,0.001,0.9875,0,1000,19561927
0,0.001,0.9881,0,1000,19561928
0,0.001,0.9885,0,1000,19561929
0,0.001,0.9889,0,1000,19561930
1,0.001,0.8914,0,1000,19561831
1,0.001,0.8939,0,1000,19561832
1,0.001,0.899,0,1000,19561833
1,0.001,0.9,0,1000,19561834
1,0.001,0.8946,0,1000,19561835
1,0.001,0.9007,0,1000,19561836
1,0.001,0.8951,0,1000,19561837
1,0.001,0.8927,0,1000,19561838
1,0.001,0.8967,0,1000,19561839
1,0.001,0.8978,0,1000,19561840
1,0.001,0.8976,0,1000,19561841
1,0.001,0.8969,0,1000,19561842
1,0.001,0.8928,0,1000,19561843
1,0.001,0.8938,0,1000,19561844
1,0.001,0.8973,0,1000,19561845
1,0.001,0.8967,0,1000,19561846
1,0.001,0.9004,0,1000,19561847
1,0.001,0.8998,0,1000,19561848
1,0.001,0.899,0,1000,19561849
1,0.001,0.8942,0,1000,19561850
1,0.001,0.8971,0,1000,19561851
1,0.001,0.8995,0,1000,19561852
1,0.001,0.8959,0,1000,19561853
1,0.001,0.9002,0,1000,19561854
1,0.001,0.8963,0,1000,19561855
1,0.001,0.8918,0,1000,19561856
1,0.001,0.8955,0,1000,19561857
1,0.001,0.9013,0,1000,19561858
1,0.001,0.8924,0,1000,19561859
1,0.001,0.8908,0,1000,19561860
1,0.001,0.896,0,1000,19561861
1,0.001,0.8999,0,1000,19561862
1,0.001,0.8985,0,1000,19561863
1,0.001,0.8987,0,1000,19561864
1,0.001,0.9009,0,1000,19561865
1,0.001,0.8965,0,1000,19561866
1,0.001,0.9004,0,1000,19561867
1,0.001,0.9002,0,1000,19561868
1,0.001,0.8991,0,1000,19561869
1,0.001,0.8946,0,1000,19561870
1,0.001,0.8956,0,1000,19561871
1,0.001,0.8965,0,1000,19561872
1,0.001,0.8964,0,1000,19561873
1,0.001,0.901,0,1000,19561874
1,0.001,0.8995,0,1000,19561875
1,0.001,0.8946,0,1000,19561876
1,0.001,0.8943,0,1000,19561877
1,0.001,0.8992,0,1000,19561878
1,0.001,0.8957,0,1000,19561879
1,0.001,0.8958,0,1000,19561880
1,0.001,0.8914,0,1000,19561881
1,0.001,0.8906,0,1000,19561882
1,0.001,0.8937,0,1000,19561883
1,0.001,0.8926,0,1000,19561884
1,0.001,0.8957,0,1000,19561885
1,0.001,0.9018,0,1000,19561886
1,0.001,0.8992,0,1000,19561887
1,0.001,0.8998,0,1000,19561888
1,0.001,0.9004,0,1000,19561889
1,0.001,0.8986,0,1000,19561890
1,0.001,0.8968,0,1000,19561891
1,0.001,0.8988,0,1000,19561892
1,0.001,0.8967,0,1000,19561893
1,0.001,0.8921,0,1000,19561894
1,0.001,0.8985,0,1000,19561895
1,0.001,0.899,0,1000,19561896
1,0.001,0.8979,0,1000,19561897
1,0.001,0.8984,0,1000,19561898
1,0.001,0.8976,0,1000,19561899
1,0.001,0.8996,0,1000,19561900
1,0.001,0.898,0,1000,19561901
1,0.001,0.8999,0,1000,19561902
1,0.001,0.9002,0,1000,19561903
1,0.001,0.8981,0,1000,19561904
1,0.001,0.8961,0,1000,19561905
1,0.001,0.895,0,1000,19561906
1,0.001,0.8976,0,1000,19561907
1,0.001,0.8986,0,1000,19561908
1,0.001,0.895,0,1000,19561909
1,0.001,0.8977,0,1000,19561910
1,0.001,0.9008,0,1000,19561911
1,0.001,0.8971,0,1000,19561912
1,0.001,0.9,0,1000,19561913
1,0.001,0.8999,0,1000,19561914
1,0.001,0.8971,0,1000,19561915
1,0.001,0.9005,0,1000,19561916
1,0.001,0.8985,0,1000,19561917
1,0.001,0.9002,0,1000,19561918
1,0.001,0.8977,0,1000,19561919
1,0.001,0.8992,0,1000,19561920
1,0.001,0.8969,0,1000,19561921
1,0.001,0.8974,0,1000,19561922
1,0.001,0.8936,0,1000,19561923
1,0.001,0.8987,0,1000,19561924
1,0.001,0.8999,0,1000,19561925
1,0.001,0.8967,0,1000,19561926
1,0.001,0.8965,0,1000,19561927
1,0.001,0.8979,0,1000,19561928
1,0.001,0.8946,0,1000,19561929
1,0.001,0.901,0,1000,19561930
2,0.001,0.6283,0,1000,19561831
2,0.001,0.616,0,1000,19561832
2,0.001,0.619,0,1000,19561833
2,0.001,0.6279,0,1000,19561834
2,0.001,0.6172,0,1000,19561835
2,0.001,0.6341,0,1000,19561836
2,0.001,0.6208,0,1000,19561837
2,0.001,0.6216,0,1000,19561838
2,0.001,0.6187,0,1000,19561839
2,0.001,0.6219,0,1000,19561840
2,0.001,0.6212,0,1000,19561841
2,0.001,0.6337,0,1000,19561842
2,0.001,0.6198,0,1000,19561843
2,0.001,0.6299,0,1000,19561844
2,0.001,0.6192,0,1000,19561845
2,0.001,0.626,0,1000,19561846
2,0.001,0.6222,0,1000,19561847
2,0.001,0.6372,0,1000,19561848
2,0.001,0.6203,0,1000,19561849
2,0.001,0.6228,0,1000,19561850
2,0.001,0.6282,0,1000,19561851
2,0.001,0.62,0,1000,19561852
2,0.001,0.6154,0,1000,19561853
2,0.001,0.6215,0,1000,19561854
2,0.001,0.6205,0,1000,19561855
2,0.001,0.6117,0,1000,19561856
2,0.001,0.618,0,1000,19561857
2,0.001,0.6129,0,1000,19561858
2,0.001,0.6202,0,1000,19561859
2,0.001,0.6177,0,1000,19561860
2,0.001,0.6279,0,1000,19561861
2,0.001,0.6286,0,1000,19561862
2,0.001,0.6286,0,1000,19561863
2,0.001,0.6208,0,1000,19561864
2,0.001,0.6283,0,1000,19561865
2,0.001,0.6162,0,1000,19561866
2,0.001,0.6212,0,1000,19561867
2,0.001,0.6296,0,1000,19561868
2,0.001,0.6335,0,1000,19561869
2,0.001,0.6235,0,1000,19561870
2,0.001,0.6165,0,1000,19561871
2,0.001,0.6228,0,1000,19561872
2,0.001,0.6268,0,1000,19561873
2,0.001,0.6212,0,1000,19561874
2,0.001,0.6245,0,1000,19561875
