degree interval,stability,morality,cycle length,generation count,seed
2-3,1.0,0.075,1,8,19561831
2-3,1.0,0.048,1,5,19561832
2-3,1.0,0.02,1,6,19561833
2-3,1.0,0.024,1,5,19561834
2-3,1.0,0.041,1,6,19561835
2-3,1.0,0.046,1,4,19561836
2-3,1.0,0.035,1,6,19561837
2-3,1.0,0.02,1,5,19561838
2-3,1.0,0.012,1,4,19561839
2-3,1.0,0.016,1,5,19561840
2-3,1.0,0.023,1,5,19561841
2-3,1.0,0.042,1,4,19561842
2-3,1.0,0.031,1,7,19561843
2-3,1.0,0.0,1,4,19561844
2-3,1.0,0.037,1,7,19561845
2-3,1.0,0.013,1,5,19561846
2-3,1.0,0.011,1,6,19561847
2-3,1.0,0.035,1,4,19561848
2-3,1.0,0.019,1,6,19561849
2-3,1.0,0.021,1,7,19561850
2-3,1.0,0.023,1,7,19561851
2-3,1.0,0.01,1,6,19561852
2-3,1.0,0.028,1,7,19561853
2-3,1.0,0.008,1,4,19561854
2-3,1.0,0.032,1,4,19561855
2-3,1.0,0.08,1,7,19561856
2-3,1.0,0.059,1,5,19561857
2-3,1.0,0.043,1,6,19561858
2-3,1.0,0.012,1,5,19561859
2-3,1.0,0.04,1,6,19561860
2-3,1.0,0.048,1,7,19561861
2-3,1.0,0.029,1,5,19561862
2-3,1.0,0.004,1,7,19561863
2-3,1.0,0.036,1,5,19561864
2-3,1.0,0.022,1,4,19561865
2-3,1.0,0.023,1,4,19561866
2-3,1.0,0.021,1,6,19561867
2-3,1.0,0.0,1,5,19561868
2-3,1.0,0.025,1,6,19561869
2-3,1.0,0.031,1,4,19561870
2-3,1.0,0.014,1,7,19561871
2-3,1.0,0.034,1,6,19561872
2-3,1.0,0.036,1,8,19561873
2-3,1.0,0.0,1,4,19561874
2-3,1.0,0.013,1,5,19561875
2-3,1.0,0.008,1,5,19561876
2-3,1.0,0.041,1,5,19561877
2-3,1.0,0.008,1,5,19561878
2-3,1.0,0.021,1,6,19561879
2-3,1.0,0.004,1,6,19561880
2-3,1.0,0.02,1,5,19561881
2-3,1.0,0.029,1,6,19561882
2-3,1.0,0.004,1,6,19561883
2-3,1.0,0.021,1,5,19561884
2-3,1.0,0.034,1,5,19561885
2-3,1.0,0.008,1,5,19561886
2-3,1.0,0.008,1,4,19561887
2-3,1.0,0.02,1,5,19561888
2-3,1.0,0.011,1,5,19561889
2-3,1.0,0.01,1,5,19561890
2-3,1.0,0.049,1,4,19561891
2-3,1.0,0.038,1,5,19561892
2-3,1.0,0.036,1,6,19561893
2-3,1.0,0.009,1,4,19561894
2-3,1.0,0.029,1,6,19561895
2-3,1.0,0.011,1,4,19561896
2-3,1.0,0.004,1,5,19561897
2-3,1.0,0.067,1,8,19561898
2-3,1.0,0.016,1,6,19561899
2-3,1.0,0.04,1,6,19561900
2-3,1.0,0.038,1,5,19561901
2-3,1.0,0.021,1,6,19561902
2-3,1.0,0.067,1,5,19561903
2-3,1.0,0.019,1,5,19561904
2-3,1.0,0.033,1,6,19561905
2-3,1.0,0.026,1,5,19561906
2-3,1.0,0.0,1,6,19561907
2-3,1.0,0.01,1,4,19561908
2-3,1.0,0.033,1,7,19561909
2-3,1.0,0.005,1,4,19561910
2-3,1.0,0.019,1,6,19561911
2-3,1.0,0.01,1,6,19561912
2-3,1.0,0.028,1,5,19561913
2-3,1.0,0.028,1,5,19561914
2-3,1.0,0.004,1,5,19561915
2-3,1.0,0.053,1,5,19561916
2-3,1.0,0.027,1,6,19561917
2-3,1.0,0.023,1,7,19561918
2-3,1.0,0.03,1,4,19561919
2-3,1.0,0.025,1,7,19561920
2-3,1.0,0.0,1,6,19561921
2-3,1.0,0.021,1,4,19561922
2-3,1.0,0.028,1,9,19561923
2-3,1.0,0.058,1,7,19561924
2-3,1.0,0.025,1,6,19561925
2-3,1.0,0.064,1,6,19561926
2-3,1.0,0.0,1,7,19561927
2-3,1.0,0.014,1,4,19561928
2-3,1.0,0.059,1,7,19561929
2-3,1.0,0.022,1,5,19561930
5-6,1.0,0.0,1,3,19561831
5-6,1.0,0.0,1,3,19561832
5-6,1.0,0.0,1,3,19561833
5-6,1.0,0.0,1,4,19561834
5-6,1.0,0.0,1,4,19561835
5-6,1.0,0.0,1,3,19561836
5-6,1.0,0.0,1,3,19561837
5-6,1.0,0.0,1,4,19561838
5-6,1.0,0.0,1,3,19561839
5-6,1.0,0.007,1,3,19561840
