defection incentive,stability,morality,cycle length,generation count,seed
0.2,1.0,0.0,1,2,19561831
0.2,1.0,0.0,1,2,19561832
0.2,1.0,0.0,1,2,19561833
0.2,1.0,0.0,1,2,19561834
0.2,1.0,0.0,1,2,19561835
0.2,1.0,0.0,1,2,19561836
0.2,1.0,0.0,1,2,19561837
0.2,1.0,0.0,1,2,19561838
0.2,1.0,0.0,1,2,19561839
0.2,1.0,0.0,1,2,19561840
1.0,1.0,0.0,1,2,19561831
1.0,1.0,0.0,1,2,19561832
1.0,1.0,0.0,1,2,19561833
1.0,1.0,0.0,1,2,19561834
1.0,1.0,0.0,1,2,19561835
1.0,1.0,0.0,1,2,19561836
1.0,1.0,0.0,1,2,19561837
1.0,1.0,0.0,1,2,19561838
1.0,1.0,0.0,1,2,19561839
1.0,1.0,0.0,1,2,19561840
5.0,1.0,0.0,1,2,19561831
5.0,1.0,0.0,1,2,19561832
5.0,1.0,0.0,1,2,19561833
5.0,1.0,0.0,1,2,19561834
5.0,1.0,0.0,1,2,19561835
5.0,1.0,0.0,1,2,19561836
5.0,1.0,0.0,1,2,19561837
5.0,1.0,0.0,1,2,19561838
5.0,1.0,0.0,1,2,19561839
5.0,1.0,0.0,1,2,19561840
