mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.0,1,2,19561831
0.0,1.0,0.0,1,2,19561832
0.0,1.0,0.0,1,2,19561833
0.0,1.0,0.0,1,2,19561834
0.0,1.0,0.0,1,2,19561835
0.0,1.0,0.0,1,2,19561836
0.0,1.0,0.0,1,2,19561837
0.0,1.0,0.0,1,2,19561838
0.0,1.0,0.0,1,2,19561839
0.0,1.0,0.0,1,2,19561840
0.001,0.001,0.001,0,1000,19561831
0.001,0.001,0.001,0,1000,19561832
0.001,0.001,0.001,0,1000,19561833
0.001,0.001,0.0011,0,1000,19561834
0.001,0.001,0.001,0,1000,19561835
0.001,0.001,0.0009,0,1000,19561836
0.001,0.001,0.001,0,1000,19561837
0.001,0.001,0.001,0,1000,19561838
0.001,0.001,0.001,0,1000,19561839
0.001,0.001,0.001,0,1000,19561840
0.01,0.001,0.0101,0,1000,19561831
0.01,0.001,0.01,0,1000,19561832
0.01,0.001,0.01,0,1000,19561833
0.01,0.001,0.01,0,1000,19561834
0.01,0.001,0.0099,0,1000,19561835
0.01,0.001,0.0099,0,1000,19561836
0.01,0.001,0.0098,0,1000,19561837
0.01,0.001,0.0099,0,1000,19561838
0.01,0.001,0.0101,0,1000,19561839
0.01,0.001,0.0101,0,1000,19561840
0.1,0.001,0.1004,0,1000,19561831
0.1,0.001,0.0997,0,1000,19561832
0.1,0.001,0.1003,0,1000,19561833
0.1,0.001,0.0999,0,1000,19561834
0.1,0.001,0.1,0,1000,19561835
0.1,0.001,0.1004,0,1000,19561836
0.1,0.001,0.0993,0,1000,19561837
0.1,0.001,0.0997,0,1000,19561838
0.1,0.001,0.0995,0,1000,19561839
0.1,0.001,0.1,0,1000,19561840
