population size,stability,morality,cycle length,generation count,seed
100,1.0,0.0,1,2,19561831
100,1.0,0.0,1,2,19561832
100,1.0,0.0,1,2,19561833
100,1.0,0.0,1,2,19561834
100,1.0,0.0,1,2,19561835
100,1.0,0.0,1,2,19561836
100,1.0,0.0,1,2,19561837
100,1.0,0.0,1,2,19561838
100,1.0,0.0,1,2,19561839
100,1.0,0.0,1,2,19561840
1000,1.0,0.0,1,2,19561831
1000,1.0,0.0,1,2,19561832
1000,1.0,0.0,1,2,19561833
1000,1.0,0.0,1,2,19561834
1000,1.0,0.0,1,2,19561835
1000,1.0,0.0,1,2,19561836
1000,1.0,0.0,1,2,19561837
1000,1.0,0.0,1,2,19561838
1000,1.0,0.0,1,2,19561839
1000,1.0,0.0,1,2,19561840
