population size,stability,morality,cycle length,generation count,seed
1000,1.0,0.0,1,3,19561831
1000,1.0,0.0,1,3,19561832
1000,1.0,0.0,1,3,19561833
1000,1.0,0.0,1,3,19561834
1000,1.0,0.0,1,3,19561835
1000,1.0,0.0,1,3,19561836
1000,1.0,0.0,1,3,19561837
1000,1.0,0.0,1,4,19561838
1000,1.0,0.016,1,4,19561839
1000,1.0,0.0,1,3,19561840
1000,1.0,0.0,1,3,19561841
1000,1.0,0.021,1,4,19561842
1000,1.0,0.0,1,3,19561843
1000,1.0,0.0,1,3,19561844
1000,1.0,0.035,1,4,19561845
1000,1.0,0.0,1,4,19561846
1000,1.0,0.0,1,4,19561847
1000,1.0,0.0,1,3,19561848
1000,1.0,0.0,1,4,19561849
1000,1.0,0.02,1,4,19561850
1000,1.0,0.0,1,4,19561851
1000,1.0,0.0,1,4,19561852
1000,1.0,0.017,1,4,19561853
1000,1.0,0.0,1,3,19561854
1000,1.0,0.0,1,4,19561855
1000,1.0,0.0,1,3,19561856
1000,1.0,0.017,1,4,19561857
1000,1.0,0.0,1,3,19561858
1000,1.0,0.0,1,3,19561859
1000,1.0,0.0,1,3,19561860
1000,1.0,0.0,1,3,19561861
1000,1.0,0.0,1,3,19561862
1000,1.0,0.0,1,4,19561863
1000,1.0,0.0,1,4,19561864
1000,1.0,0.0,1,3,19561865
1000,1.0,0.0,1,3,19561866
1000,1.0,0.0,1,3,19561867
1000,1.0,0.0,1,3,19561868
1000,1.0,0.0,1,4,19561869
1000,1.0,0.0,1,4,19561870
1000,1.0,0.0,1,3,19561871
1000,1.0,0.0,1,4,19561872
1000,1.0,0.016,1,5,19561873
1000,1.0,0.0,1,4,19561874
1000,1.0,0.0,1,3,19561875
1000,1.0,0.0,1,3,19561876
1000,1.0,0.0,1,3,19561877
1000,1.0,0.0,1,3,19561878
1000,1.0,0.0,1,3,19561879
1000,1.0,0.0,1,4,19561880
1000,1.0,0.0,1,4,19561881
1000,1.0,0.0,1,3,19561882
1000,1.0,0.0,1,3,19561883
1000,1.0,0.0,1,3,19561884
1000,1.0,0.0,1,4,19561885
1000,1.0,0.0,1,3,19561886
1000,1.0,0.0,1,3,19561887
1000,1.0,0.0,1,3,19561888
1000,1.0,0.0,1,3,19561889
1000,1.0,0.0,1,4,19561890
1000,1.0,0.0,1,4,19561891
1000,1.0,0.0,1,3,19561892
1000,1.0,0.0,1,4,19561893
1000,1.0,0.0,1,3,19561894
1000,1.0,0.0,1,3,19561895
1000,1.0,0.016,1,4,19561896
1000,1.0,0.016,1,4,19561897
1000,1.0,0.0,1,4,19561898
1000,1.0,0.0,1,3,19561899
1000,1.0,0.0,1,3,19561900
1000,1.0,0.0,1,3,19561901
1000,1.0,0.017,1,4,19561902
1000,1.0,0.0,1,3,19561903
1000,1.0,0.0,1,3,19561904
1000,1.0,0.0,1,3,19561905
1000,1.0,0.0,1,3,19561906
1000,1.0,0.0,1,4,19561907
1000,1.0,0.0,1,4,19561908
1000,1.0,0.0,1,3,19561909
1000,1.0,0.0,1,3,19561910
1000,1.0,0.0,1,3,19561911
1000,1.0,0.0,1,3,19561912
1000,1.0,0.0,1,4,19561913
1000,1.0,0.0,1,3,19561914
1000,1.0,0.0,1,3,19561915
1000,1.0,0.0,1,3,19561916
1000,1.0,0.0,1,3,19561917
1000,1.0,0.0,1,3,19561918
1000,1.0,0.0,1,3,19561919
1000,1.0,0.0,1,3,19561920
1000,1.0,0.0,1,4,19561921
1000,1.0,0.0,1,3,19561922
1000,1.0,0.0,1,3,19561923
1000,1.0,0.0,1,3,19561924
1000,1.0,0.0,1,3,19561925
1000,1.0,0.0,1,3,19561926
1000,1.0,0.0,1,3,19561927
1000,1.0,0.0,1,3,19561928
1000,1.0,0.0,1,4,19561929
1000,1.0,0.0,1,3,19561930
