beta,stability,morality,cycle length,generation count,seed
0.03,1.0,0.0,1,3,19561831
0.03,1.0,0.0,1,3,19561832
0.03,1.0,0.0,1,3,19561833
0.03,1.0,0.0,1,5,19561834
0.03,1.0,0.0,1,4,19561835
0.03,1.0,0.0,1,5,19561836
0.03,1.0,0.0,1,4,19561837
0.03,1.0,0.0,1,4,19561838
0.03,1.0,0.0,1,4,19561839
0.03,1.0,0.0,1,5,19561840
0.03,1.0,0.0,1,5,19561841
0.03,0.5,0.0085,2,6,19561842
0.03,1.0,0.0,1,6,19561843
0.03,1.0,0.0,1,4,19561844
0.03,1.0,0.0,1,3,19561845
0.03,1.0,0.0,1,3,19561846
0.03,1.0,0.0,1,4,19561847
0.03,1.0,0.0,1,4,19561848
0.03,1.0,0.0,1,6,19561849
0.03,1.0,0.0,1,3,19561850
0.03,1.0,0.005,1,3,19561851
0.03,1.0,0.006,1,6,19561852
0.03,1.0,0.0,1,5,19561853
0.03,1.0,0.0,1,4,19561854
0.03,1.0,0.006,1,4,19561855
0.03,1.0,0.0,1,4,19561856
0.03,1.0,0.0,1,4,19561857
0.03,1.0,0.0,1,3,19561858
0.03,1.0,0.0,1,5,19561859
0.03,1.0,0.0,1,3,19561860
0.03,1.0,0.0,1,4,19561861
0.03,1.0,0.006,1,3,19561862
0.03,1.0,0.0,1,4,19561863
0.03,1.0,0.013,1,5,19561864
0.03,1.0,0.014,1,4,19561865
0.03,1.0,0.01,1,9,19561866
0.03,1.0,0.033,1,6,19561867
0.03,1.0,0.0,1,5,19561868
0.03,1.0,0.007,1,4,19561869
0.03,1.0,0.0,1,3,19561870
0.03,1.0,0.007,1,4,19561871
0.03,1.0,0.0,1,5,19561872
0.03,1.0,0.0,1,4,19561873
0.03,1.0,0.006,1,3,19561874
0.03,1.0,0.0,1,3,19561875
0.03,1.0,0.0,1,4,19561876
0.03,1.0,0.0,1,3,19561877
0.03,1.0,0.0,1,6,19561878
0.03,1.0,0.0,1,3,19561879
0.03,1.0,0.012,1,5,19561880
0.03,1.0,0.0,1,4,19561881
0.03,1.0,0.006,1,4,19561882
0.03,1.0,0.006,1,5,19561883
0.03,1.0,0.027,1,5,19561884
0.03,1.0,0.013,1,4,19561885
0.03,1.0,0.0,1,4,19561886
0.03,1.0,0.0,1,3,19561887
0.03,1.0,0.0,1,5,19561888
0.03,1.0,0.012,1,5,19561889
0.03,1.0,0.0,1,4,19561890
0.03,1.0,0.0,1,4,19561891
