mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.013,1,3,19561831
0.0,1.0,0.0,1,4,19561832
0.0,1.0,0.0,1,4,19561833
0.0,1.0,0.0,1,3,19561834
0.0,0.5,0.017,2,6,19561835
0.0,1.0,0.009,1,5,19561836
0.0,1.0,0.006,1,5,19561837
0.0,1.0,0.019,1,6,19561838
0.0,1.0,0.0,1,4,19561839
0.0,1.0,0.006,1,6,19561840
0.0,1.0,0.031,1,5,19561841
0.0,1.0,0.0,1,4,19561842
0.0,1.0,0.009,1,4,19561843
0.0,1.0,0.028,1,5,19561844
0.0,1.0,0.005,1,3,19561845
0.0,1.0,0.0,1,3,19561846
0.0,1.0,0.006,1,5,19561847
0.0,1.0,0.005,1,4,19561848
0.0,1.0,0.0,1,4,19561849
0.0,1.0,0.006,1,4,19561850
0.0,1.0,0.009,1,3,19561851
0.0,1.0,0.025,1,6,19561852
0.0,1.0,0.008,1,6,19561853
0.0,1.0,0.026,1,5,19561854
0.0,1.0,0.0,1,5,19561855
0.0,1.0,0.007,1,5,19561856
0.0,1.0,0.0,1,5,19561857
0.0,1.0,0.02,1,5,19561858
0.0,1.0,0.027,1,5,19561859
0.0,1.0,0.007,1,5,19561860
0.0,1.0,0.0,1,4,19561861
0.0,1.0,0.013,1,5,19561862
0.0,1.0,0.006,1,4,19561863
0.0,1.0,0.029,1,6,19561864
0.0,1.0,0.007,1,4,19561865
0.0,1.0,0.006,1,5,19561866
0.0,1.0,0.051,1,5,19561867
0.0,1.0,0.007,1,5,19561868
0.0,1.0,0.018,1,4,19561869
0.0,1.0,0.0,1,4,19561870
0.0,1.0,0.0,1,5,19561871
0.0,1.0,0.013,1,4,19561872
0.0,1.0,0.0,1,3,19561873
0.0,1.0,0.005,1,6,19561874
0.0,1.0,0.026,1,6,19561875
0.0,1.0,0.022,1,6,19561876
0.0,1.0,0.015,1,4,19561877
0.0,1.0,0.012,1,5,19561878
0.0,1.0,0.039,1,6,19561879
0.0,1.0,0.01,1,3,19561880
0.0,1.0,0.018,1,5,19561881
0.0,1.0,0.006,1,4,19561882
0.0,1.0,0.036,1,6,19561883
0.0,1.0,0.0,1,4,19561884
0.0,1.0,0.014,1,5,19561885
0.0,1.0,0.007,1,4,19561886
0.0,1.0,0.013,1,4,19561887
0.0,1.0,0.007,1,5,19561888
0.0,1.0,0.008,1,5,19561889
0.0,1.0,0.0,1,5,19561890
0.0,1.0,0.026,1,4,19561891
0.0,1.0,0.01,1,4,19561892
0.0,1.0,0.0,1,4,19561893
0.0,1.0,0.0,1,4,19561894
0.0,1.0,0.013,1,4,19561895
0.0,1.0,0.0,1,4,19561896
0.0,1.0,0.009,1,5,19561897
0.0,1.0,0.03,1,6,19561898
0.0,1.0,0.016,1,5,19561899
0.0,1.0,0.013,1,4,19561900
0.0,1.0,0.0,1,4,19561901
0.0,1.0,0.0,1,4,19561902
0.0,1.0,0.0,1,5,19561903
0.0,1.0,0.006,1,4,19561904
0.0,1.0,0.0,1,4,19561905
