population size,stability,morality,cycle length,generation count,seed
100,1.0,0.0,1,4,19561831
100,1.0,0.0,1,3,19561832
100,1.0,0.07,1,3,19561833
100,1.0,0.0,1,3,19561834
100,1.0,0.0,1,4,19561835
100,1.0,0.05,1,3,19561836
100,1.0,0.0,1,3,19561837
100,1.0,0.0,1,3,19561838
100,1.0,0.0,1,2,19561839
100,1.0,0.0,1,3,19561840
100,1.0,0.0,1,2,19561841
100,1.0,0.0,1,5,19561842
100,1.0,0.0,1,3,19561843
100,1.0,0.0,1,4,19561844
100,1.0,0.0,1,3,19561845
100,1.0,0.0,1,3,19561846
100,1.0,0.0,1,3,19561847
100,1.0,0.0,1,3,19561848
100,1.0,0.0,1,4,19561849
100,1.0,0.0,1,4,19561850
100,1.0,0.0,1,4,19561851
100,1.0,0.09,1,5,19561852
100,1.0,0.0,1,4,19561853
100,1.0,0.0,1,3,19561854
100,1.0,0.0,1,4,19561855
100,1.0,0.0,1,5,19561856
100,1.0,0.0,1,3,19561857
100,1.0,0.0,1,3,19561858
100,1.0,0.0,1,3,19561859
100,1.0,0.0,1,3,19561860
100,1.0,0.0,1,3,19561861
100,1.0,0.0,1,3,19561862
100,1.0,0.0,1,6,19561863
100,1.0,0.0,1,5,19561864
100,1.0,0.0,1,4,19561865
100,1.0,0.0,1,3,19561866
100,1.0,0.0,1,3,19561867
100,1.0,0.15,1,4,19561868
100,1.0,0.0,1,3,19561869
100,1.0,0.0,1,3,19561870
100,1.0,0.0,1,4,19561871
100,1.0,0.0,1,4,19561872
100,1.0,0.0,1,3,19561873
100,1.0,0.0,1,4,19561874
100,1.0,0.0,1,3,19561875
100,1.0,0.0,1,3,19561876
100,1.0,0.0,1,5,19561877
100,1.0,0.0,1,4,19561878
100,1.0,0.0,1,3,19561879
100,1.0,0.0,1,3,19561880
100,1.0,0.0,1,3,19561881
100,1.0,0.0,1,3,19561882
100,1.0,0.0,1,4,19561883
100,1.0,0.0,1,3,19561884
100,1.0,0.0,1,3,19561885
100,1.0,0.0,1,3,19561886
100,1.0,0.0,1,2,19561887
100,1.0,0.0,1,3,19561888
100,1.0,0.0,1,2,19561889
100,1.0,0.0,1,3,19561890
100,1.0,0.0,1,3,19561891
100,1.0,0.0,1,2,19561892
100,1.0,0.0,1,2,19561893
100,1.0,0.06,1,3,19561894
100,1.0,0.0,1,4,19561895
100,1.0,0.0,1,4,19561896
100,1.0,0.0,1,2,19561897
100,1.0,0.0,1,2,19561898
100,1.0,0.0,1,3,19561899
100,1.0,0.0,1,3,19561900
100,1.0,0.0,1,4,19561901
100,1.0,0.0,1,3,19561902
100,1.0,0.0,1,4,19561903
100,1.0,0.17,1,3,19561904
100,1.0,0.0,1,3,19561905
100,1.0,0.0,1,4,19561906
100,1.0,0.0,1,3,19561907
100,1.0,0.06,1,6,19561908
100,1.0,0.0,1,4,19561909
100,1.0,0.0,1,4,19561910
100,1.0,0.0,1,3,19561911
100,1.0,0.0,1,4,19561912
100,1.0,0.0,1,3,19561913
100,1.0,0.07,1,3,19561914
100,1.0,0.0,1,3,19561915
100,1.0,0.11,1,4,19561916
100,1.0,0.0,1,3,19561917
100,1.0,0.0,1,3,19561918
100,1.0,0.0,1,3,19561919
100,1.0,0.0,1,4,19561920
100,1.0,0.0,1,4,19561921
100,1.0,0.0,1,4,19561922
100,1.0,0.0,1,3,19561923
100,1.0,0.0,1,3,19561924
100,1.0,0.07,1,4,19561925
100,1.0,0.0,1,3,19561926
100,1.0,0.0,1,3,19561927
100,1.0,0.0,1,3,19561928
100,1.0,0.0,1,2,19561929
100,1.0,0.0,1,3,19561930
1000,1.0,0.0,1,4,19561831
1000,1.0,0.006,1,4,19561832
1000,1.0,0.007,1,4,19561833
1000,1.0,0.0,1,3,19561834
1000,1.0,0.016,1,5,19561835
1000,1.0,0.006,1,5,19561836
1000,1.0,0.04,1,3,19561837
1000,1.0,0.025,1,5,19561838
1000,1.0,0.0,1,4,19561839
1000,1.0,0.0,1,5,19561840
1000,1.0,0.036,1,5,19561841
1000,1.0,0.0,1,3,19561842
1000,1.0,0.0,1,4,19561843
1000,1.0,0.029,1,6,19561844
1000,1.0,0.0,1,3,19561845
1000,1.0,0.009,1,3,19561846
1000,1.0,0.01,1,4,19561847
1000,1.0,0.0,1,4,19561848
1000,1.0,0.008,1,5,19561849
1000,1.0,0.0,1,3,19561850
1000,1.0,0.009,1,4,19561851
1000,1.0,0.021,1,6,19561852
1000,1.0,0.033,1,4,19561853
1000,1.0,0.043,1,5,19561854
1000,1.0,0.0,1,4,19561855
1000,1.0,0.0,1,3,19561856
1000,1.0,0.0,1,3,19561857
1000,1.0,0.013,1,5,19561858
1000,1.0,0.013,1,6,19561859
1000,1.0,0.006,1,6,19561860
1000,1.0,0.0,1,6,19561861
1000,1.0,0.0,1,4,19561862
1000,1.0,0.008,1,5,19561863
1000,1.0,0.005,1,4,19561864
1000,1.0,0.005,1,3,19561865
1000,1.0,0.0,1,5,19561866
1000,1.0,0.04,1,5,19561867
1000,1.0,0.015,1,5,19561868
1000,1.0,0.014,1,6,19561869
1000,1.0,0.0,1,4,19561870
1000,1.0,0.0,1,5,19561871
1000,1.0,0.013,1,4,19561872
1000,1.0,0.0,1,5,19561873
1000,1.0,0.015,1,4,19561874
1000,1.0,0.036,1,5,19561875
1000,1.0,0.0,1,4,19561876
1000,1.0,0.021,1,4,19561877
1000,1.0,0.015,1,4,19561878
1000,1.0,0.022,1,5,19561879
1000,1.0,0.0,1,4,19561880
1000,1.0,0.029,1,5,19561881
1000,1.0,0.008,1,4,19561882
1000,1.0,0.017,1,4,19561883
1000,1.0,0.0,1,4,19561884
1000,1.0,0.028,1,5,19561885
1000,1.0,0.007,1,4,19561886
1000,1.0,0.006,1,4,19561887
1000,1.0,0.007,1,5,19561888
1000,1.0,0.015,1,4,19561889
1000,1.0,0.019,1,4,19561890
1000,0.5,0.022,2,5,19561891
1000,1.0,0.0,1,4,19561892
1000,1.0,0.007,1,4,19561893
1000,1.0,0.006,1,4,19561894
1000,1.0,0.014,1,4,19561895
1000,1.0,0.0,1,4,19561896
1000,1.0,0.015,1,5,19561897
1000,1.0,0.01,1,4,19561898
1000,1.0,0.011,1,6,19561899
1000,1.0,0.0,1,4,19561900
1000,1.0,0.0,1,4,19561901
1000,1.0,0.012,1,5,19561902
1000,1.0,0.0,1,4,19561903
1000,1.0,0.006,1,4,19561904
1000,1.0,0.007,1,5,19561905
1000,1.0,0.027,1,5,19561906
1000,1.0,0.0,1,3,19561907
1000,1.0,0.014,1,4,19561908
1000,1.0,0.014,1,5,19561909
1000,1.0,0.005,1,4,19561910
1000,1.0,0.007,1,3,19561911
1000,1.0,0.04,1,8,19561912
1000,1.0,0.006,1,4,19561913
1000,1.0,0.022,1,5,19561914
1000,1.0,0.016,1,4,19561915
1000,1.0,0.0,1,3,19561916
1000,1.0,0.0,1,4,19561917
1000,1.0,0.012,1,7,19561918
1000,1.0,0.021,1,5,19561919
1000,1.0,0.007,1,5,19561920
1000,1.0,0.028,1,6,19561921
1000,1.0,0.007,1,4,19561922
1000,1.0,0.007,1,4,19561923
1000,1.0,0.015,1,5,19561924
1000,1.0,0.0,1,4,19561925
1000,1.0,0.0,1,3,19561926
1000,1.0,0.0,1,3,19561927
1000,1.0,0.0,1,4,19561928
1000,1.0,0.013,1,4,19561929
1000,1.0,0.006,1,4,19561930
10000,1.0,0.0056,1,5,19561831
10000,1.0,0.0105,1,6,19561832
10000,1.0,0.0056,1,6,19561833
10000,1.0,0.0067,1,5,19561834
10000,1.0,0.0076,1,4,19561835
10000,1.0,0.0038,1,5,19561836
10000,1.0,0.0084,1,6,19561837
10000,1.0,0.009,1,5,19561838
10000,1.0,0.0052,1,6,19561839
10000,1.0,0.0006,1,6,19561840
10000,1.0,0.0075,1,6,19561841
10000,1.0,0.0122,1,6,19561842
10000,1.0,0.0054,1,5,19561843
10000,1.0,0.0056,1,5,19561844
10000,1.0,0.0119,1,6,19561845
10000,1.0,0.0175,1,7,19561846
10000,1.0,0.0113,1,5,19561847
10000,0.5,0.0091,2,7,19561848
10000,1.0,0.0154,1,6,19561849
10000,1.0,0.0247,1,7,19561850
10000,1.0,0.0075,1,6,19561851
10000,1.0,0.0066,1,5,19561852
10000,1.0,0.0055,1,5,19561853
10000,1.0,0.0018,1,4,19561854
10000,1.0,0.011,1,6,19561855
10000,1.0,0.0013,1,5,19561856
10000,1.0,0.0044,1,5,19561857
10000,1.0,0.0115,1,7,19561858
10000,1.0,0.0036,1,4,19561859
10000,1.0,0.0051,1,5,19561860
10000,1.0,0.0353,1,7,19561861
10000,1.0,0.0075,1,7,19561862
10000,1.0,0.0028,1,4,19561863
10000,1.0,0.0012,1,4,19561864
10000,1.0,0.0014,1,6,19561865
10000,1.0,0.005,1,7,19561866
10000,0.5,0.0229,2,7,19561867
10000,1.0,0.0147,1,6,19561868
10000,0.5,0.0197,2,9,19561869
10000,1.0,0.0051,1,4,19561870
10000,1.0,0.0185,1,7,19561871
10000,1.0,0.0194,1,6,19561872
10000,1.0,0.0099,1,5,19561873
10000,1.0,0.0082,1,5,19561874
10000,1.0,0.0062,1,6,19561875
10000,1.0,0.0055,1,5,19561876
10000,1.0,0.0099,1,6,19561877
10000,1.0,0.009,1,6,19561878
10000,1.0,0.0059,1,5,19561879
10000,1.0,0.0146,1,6,19561880
10000,1.0,0.0064,1,6,19561881
10000,1.0,0.0014,1,8,19561882
10000,1.0,0.0034,1,5,19561883
10000,0.5,0.0114,2,7,19561884
10000,1.0,0.01,1,6,19561885
10000,1.0,0.0083,1,6,19561886
10000,1.0,0.0138,1,6,19561887
10000,1.0,0.0223,1,6,19561888
10000,1.0,0.0039,1,6,19561889
10000,1.0,0.0054,1,5,19561890
10000,1.0,0.01,1,5,19561891
10000,1.0,0.0044,1,5,19561892
10000,1.0,0.0006,1,5,19561893
10000,1.0,0.0116,1,7,19561894
10000,1.0,0.0048,1,6,19561895
10000,1.0,0.0058,1,5,19561896
10000,1.0,0.0162,1,6,19561897
10000,1.0,0.0085,1,7,19561898
10000,1.0,0.0158,1,7,19561899
10000,1.0,0.007,1,6,19561900
10000,1.0,0.0049,1,5,19561901
10000,1.0,0.0065,1,5,19561902
10000,1.0,0.0042,1,5,19561903
10000,0.5,0.0064,2,7,19561904
10000,1.0,0.0138,1,5,19561905
10000,1.0,0.0167,1,6,19561906
10000,1.0,0.021,1,7,19561907
10000,1.0,0.0069,1,5,19561908
10000,1.0,0.0258,1,7,19561909
10000,1.0,0.0066,1,5,19561910
10000,1.0,0.0106,1,6,19561911
10000,1.0,0.0183,1,6,19561912
10000,1.0,0.0128,1,7,19561913
10000,1.0,0.0073,1,5,19561914
10000,1.0,0.0059,1,6,19561915
10000,1.0,0.0036,1,5,19561916
10000,1.0,0.0081,1,5,19561917
10000,1.0,0.0077,1,6,19561918
10000,1.0,0.0045,1,5,19561919
10000,1.0,0.0066,1,5,19561920
10000,0.5,0.0112,2,8,19561921
10000,1.0,0.0059,1,5,19561922
10000,1.0,0.011,1,6,19561923
10000,1.0,0.0112,1,5,19561924
10000,1.0,0.0057,1,6,19561925
10000,1.0,0.0112,1,5,19561926
10000,1.0,0.003,1,5,19561927
10000,1.0,0.0057,1,5,19561928
