initial moral mean,stability,morality,cycle length,generation count,seed
0.25,1.0,0.0,1,2,19561831
0.25,1.0,0.0,1,2,19561832
0.25,1.0,0.0,1,2,19561833
0.25,1.0,0.0,1,2,19561834
0.25,1.0,0.0,1,2,19561835
0.25,1.0,0.0,1,2,19561836
0.25,1.0,0.0,1,2,19561837
0.25,1.0,0.0,1,2,19561838
0.25,1.0,0.0,1,2,19561839
0.25,1.0,0.0,1,2,19561840
0.5,1.0,1.0,1,2,19561831
0.5,1.0,0.0,1,2,19561832
0.5,1.0,1.0,1,2,19561833
0.5,1.0,1.0,1,2,19561834
0.5,1.0,0.0,1,2,19561835
0.5,1.0,0.0,1,2,19561836
0.5,1.0,0.0,1,2,19561837
0.5,1.0,1.0,1,2,19561838
0.5,1.0,0.0,1,2,19561839
0.5,1.0,0.0,1,2,19561840
0.75,1.0,1.0,1,2,19561831
0.75,1.0,1.0,1,2,19561832
0.75,1.0,1.0,1,2,19561833
0.75,1.0,1.0,1,2,19561834
0.75,1.0,1.0,1,2,19561835
0.75,1.0,1.0,1,2,19561836
0.75,1.0,1.0,1,2,19561837
0.75,1.0,1.0,1,2,19561838
0.75,1.0,1.0,1,2,19561839
0.75,1.0,1.0,1,2,19561840
