initial moral mean,stability,morality,cycle length,generation count,seed
0.25,1.0,1.0,1,32,19561831
0.25,1.0,1.0,1,80,19561832
0.25,1.0,1.0,1,74,19561833
0.25,1.0,1.0,1,86,19561834
0.25,1.0,1.0,1,60,19561835
0.25,1.0,1.0,1,157,19561836
0.25,1.0,1.0,1,121,19561837
0.25,1.0,1.0,1,31,19561838
0.25,1.0,1.0,1,96,19561839
0.25,1.0,1.0,1,157,19561840
0.25,1.0,1.0,1,83,19561841
0.25,1.0,1.0,1,88,19561842
0.25,1.0,1.0,1,57,19561843
0.25,1.0,1.0,1,118,19561844
0.25,1.0,1.0,1,65,19561845
0.25,1.0,1.0,1,27,19561846
0.25,1.0,1.0,1,36,19561847
0.25,1.0,1.0,1,92,19561848
0.25,1.0,1.0,1,63,19561849
0.25,1.0,1.0,1,43,19561850
0.25,1.0,1.0,1,38,19561851
0.25,1.0,1.0,1,50,19561852
0.25,1.0,1.0,1,36,19561853
0.25,1.0,1.0,1,30,19561854
0.25,1.0,1.0,1,54,19561855
0.25,1.0,1.0,1,40,19561856
0.25,1.0,1.0,1,21,19561857
0.25,1.0,1.0,1,16,19561858
0.25,1.0,1.0,1,143,19561859
0.25,1.0,1.0,1,65,19561860
0.25,1.0,1.0,1,72,19561861
0.25,1.0,1.0,1,29,19561862
0.25,1.0,1.0,1,57,19561863
0.25,1.0,1.0,1,45,19561864
0.25,1.0,1.0,1,26,19561865
0.25,1.0,1.0,1,86,19561866
0.25,1.0,1.0,1,49,19561867
0.25,1.0,1.0,1,133,19561868
0.25,1.0,1.0,1,17,19561869
0.25,1.0,0.0,1,2,19561870
0.25,1.0,1.0,1,126,19561871
0.25,1.0,1.0,1,46,19561872
0.25,1.0,1.0,1,131,19561873
0.25,1.0,1.0,1,61,19561874
0.25,1.0,1.0,1,52,19561875
0.25,1.0,1.0,1,38,19561876
0.25,1.0,1.0,1,73,19561877
0.25,1.0,1.0,1,157,19561878
0.25,1.0,1.0,1,90,19561879
0.25,1.0,1.0,1,33,19561880
0.25,1.0,1.0,1,37,19561881
0.25,1.0,1.0,1,80,19561882
0.25,1.0,1.0,1,36,19561883
0.25,1.0,1.0,1,36,19561884
0.25,1.0,1.0,1,49,19561885
0.25,1.0,1.0,1,29,19561886
0.25,1.0,1.0,1,24,19561887
0.25,1.0,1.0,1,121,19561888
0.25,1.0,1.0,1,69,19561889
0.25,1.0,1.0,1,51,19561890
0.25,1.0,1.0,1,46,19561891
0.25,1.0,0.0,1,2,19561892
0.25,1.0,1.0,1,36,19561893
0.25,1.0,1.0,1,96,19561894
0.25,1.0,1.0,1,51,19561895
0.25,1.0,1.0,1,67,19561896
0.25,1.0,1.0,1,88,19561897
0.25,1.0,1.0,1,41,19561898
0.25,1.0,1.0,1,40,19561899
0.25,1.0,0.0,1,2,19561900
0.25,1.0,1.0,1,32,19561901
0.25,1.0,1.0,1,24,19561902
0.25,1.0,1.0,1,334,19561903
0.25,1.0,1.0,1,182,19561904
0.25,1.0,1.0,1,40,19561905
0.25,1.0,1.0,1,128,19561906
0.25,1.0,1.0,1,77,19561907
0.25,1.0,1.0,1,17,19561908
0.25,1.0,1.0,1,83,19561909
0.25,1.0,1.0,1,122,19561910
0.25,1.0,1.0,1,80,19561911
0.25,1.0,1.0,1,106,19561912
0.25,1.0,0.0,1,3,19561913
0.25,1.0,1.0,1,41,19561914
0.25,1.0,1.0,1,59,19561915
0.25,1.0,1.0,1,58,19561916
0.25,1.0,1.0,1,75,19561917
0.25,1.0,1.0,1,49,19561918
0.25,1.0,1.0,1,68,19561919
0.25,1.0,1.0,1,67,19561920
0.25,1.0,1.0,1,29,19561921
0.25,1.0,1.0,1,187,19561922
0.25,1.0,1.0,1,70,19561923
0.25,1.0,1.0,1,55,19561924
0.25,1.0,1.0,1,155,19561925
0.25,1.0,1.0,1,22,19561926
0.25,1.0,1.0,1,28,19561927
0.25,1.0,1.0,1,41,19561928
0.25,1.0,1.0,1,39,19561929
0.25,1.0,1.0,1,52,19561930
0.5,1.0,1.0,1,14,19561831
0.5,1.0,1.0,1,39,19561832
0.5,1.0,1.0,1,28,19561833
0.5,1.0,1.0,1,17,19561834
0.5,1.0,1.0,1,29,19561835
0.5,1.0,1.0,1,26,19561836
0.5,1.0,1.0,1,20,19561837
0.5,1.0,1.0,1,9,19561838
0.5,1.0,1.0,1,21,19561839
0.5,1.0,1.0,1,23,19561840
0.5,1.0,1.0,1,20,19561841
0.5,1.0,1.0,1,18,19561842
0.5,1.0,1.0,1,25,19561843
0.5,1.0,1.0,1,31,19561844
0.5,1.0,1.0,1,19,19561845
0.5,1.0,1.0,1,14,19561846
0.5,1.0,1.0,1,24,19561847
0.5,1.0,1.0,1,19,19561848
0.5,1.0,1.0,1,20,19561849
0.5,1.0,1.0,1,26,19561850
0.5,1.0,1.0,1,10,19561851
0.5,1.0,1.0,1,24,19561852
0.5,1.0,1.0,1,25,19561853
0.5,1.0,1.0,1,18,19561854
0.5,1.0,1.0,1,15,19561855
0.5,1.0,1.0,1,21,19561856
0.5,1.0,1.0,1,15,19561857
0.5,1.0,1.0,1,16,19561858
0.5,1.0,1.0,1,42,19561859
0.5,1.0,1.0,1,38,19561860
0.5,1.0,1.0,1,31,19561861
0.5,1.0,1.0,1,18,19561862
0.5,1.0,1.0,1,33,19561863
0.5,1.0,1.0,1,14,19561864
0.5,1.0,1.0,1,19,19561865
0.5,1.0,1.0,1,26,19561866
0.5,1.0,1.0,1,19,19561867
0.5,1.0,1.0,1,31,19561868
0.5,1.0,1.0,1,13,19561869
0.5,1.0,1.0,1,60,19561870
0.5,1.0,1.0,1,29,19561871
0.5,1.0,1.0,1,23,19561872
0.5,1.0,1.0,1,27,19561873
0.5,1.0,1.0,1,15,19561874
0.5,1.0,1.0,1,14,19561875
0.5,1.0,1.0,1,24,19561876
0.5,1.0,1.0,1,24,19561877
0.5,1.0,1.0,1,20,19561878
0.5,1.0,1.0,1,25,19561879
0.5,1.0,1.0,1,12,19561880
0.5,1.0,1.0,1,14,19561881
0.5,1.0,1.0,1,31,19561882
0.5,1.0,1.0,1,24,19561883
0.5,1.0,1.0,1,12,19561884
0.5,1.0,1.0,1,42,19561885
0.5,1.0,1.0,1,13,19561886
0.5,1.0,1.0,1,12,19561887
0.5,1.0,1.0,1,32,19561888
0.5,1.0,1.0,1,26,19561889
0.5,1.0,1.0,1,27,19561890
0.5,1.0,1.0,1,21,19561891
0.5,1.0,1.0,1,46,19561892
0.5,1.0,1.0,1,21,19561893
0.5,1.0,1.0,1,32,19561894
0.5,1.0,1.0,1,17,19561895
0.5,1.0,1.0,1,24,19561896
0.5,1.0,1.0,1,28,19561897
0.5,1.0,1.0,1,19,19561898
0.5,1.0,1.0,1,24,19561899
0.5,1.0,1.0,1,63,19561900
0.5,1.0,1.0,1,22,19561901
0.5,1.0,1.0,1,15,19561902
0.5,1.0,1.0,1,53,19561903
0.5,1.0,1.0,1,23,19561904
0.5,1.0,1.0,1,26,19561905
0.5,1.0,1.0,1,33,19561906
0.5,1.0,1.0,1,28,19561907
0.5,1.0,1.0,1,12,19561908
