initial moral mean,stability,morality,cycle length,generation count,seed
0.25,1.0,0.157,1,15,19561831
0.25,1.0,0.815,1,36,19561832
0.25,1.0,0.911,1,41,19561833
0.25,1.0,0.0,1,2,19561834
0.25,1.0,0.949,1,17,19561835
0.25,1.0,0.54,1,45,19561836
0.25,1.0,0.693,1,36,19561837
0.25,1.0,0.95,1,17,19561838
0.25,1.0,0.272,1,16,19561839
0.25,1.0,0.893,1,32,19561840
0.25,1.0,0.855,1,27,19561841
0.25,1.0,0.876,1,46,19561842
0.25,1.0,0.849,1,22,19561843
0.25,1.0,0.907,1,17,19561844
0.25,1.0,0.0,1,3,19561845
0.25,1.0,0.271,1,16,19561846
0.25,1.0,0.881,1,47,19561847
0.25,1.0,0.275,1,39,19561848
0.25,1.0,0.741,1,35,19561849
0.25,1.0,0.046,1,21,19561850
0.25,1.0,0.86,1,23,19561851
0.25,1.0,0.678,1,33,19561852
0.25,1.0,0.924,1,37,19561853
0.25,1.0,0.724,1,27,19561854
0.25,1.0,0.898,1,19,19561855
0.25,1.0,0.009,1,4,19561856
0.25,1.0,0.215,1,28,19561857
0.25,1.0,0.905,1,21,19561858
0.25,1.0,0.954,1,25,19561859
0.25,1.0,0.843,1,24,19561860
0.25,1.0,0.583,1,32,19561861
0.25,1.0,0.92,1,63,19561862
0.25,1.0,0.078,1,16,19561863
0.25,1.0,0.805,1,41,19561864
0.25,1.0,0.289,1,37,19561865
0.25,1.0,0.719,1,34,19561866
0.25,1.0,0.92,1,18,19561867
0.25,1.0,0.902,1,35,19561868
0.25,1.0,0.954,1,44,19561869
0.25,1.0,0.918,1,37,19561870
0.25,1.0,0.955,1,53,19561871
0.25,1.0,0.846,1,46,19561872
0.25,1.0,0.068,1,12,19561873
0.25,1.0,0.926,1,38,19561874
0.25,1.0,0.962,1,28,19561875
0.25,1.0,0.883,1,53,19561876
0.25,1.0,0.5,1,26,19561877
0.25,1.0,0.908,1,20,19561878
0.25,1.0,0.939,1,14,19561879
0.25,1.0,0.041,1,16,19561880
0.25,1.0,0.649,1,29,19561881
0.25,1.0,0.298,1,34,19561882
0.25,1.0,0.97,1,14,19561883
0.25,1.0,0.868,1,32,19561884
0.25,1.0,0.846,1,43,19561885
0.25,1.0,0.476,1,32,19561886
0.25,1.0,0.844,1,61,19561887
0.25,1.0,0.67,1,48,19561888
0.25,1.0,0.736,1,37,19561889
0.25,1.0,0.87,1,27,19561890
0.25,1.0,0.971,1,17,19561891
0.25,1.0,0.2,1,24,19561892
0.25,1.0,0.058,1,20,19561893
0.25,1.0,0.717,1,40,19561894
0.25,1.0,0.9,1,26,19561895
0.25,1.0,0.665,1,54,19561896
0.25,1.0,0.856,1,24,19561897
0.25,1.0,0.919,1,36,19561898
0.25,1.0,0.936,1,71,19561899
0.25,1.0,0.521,1,37,19561900
0.25,1.0,0.097,1,14,19561901
0.25,1.0,0.747,1,49,19561902
0.25,1.0,0.803,1,53,19561903
0.25,1.0,0.018,1,8,19561904
0.25,1.0,0.942,1,25,19561905
0.25,1.0,0.888,1,43,19561906
0.25,1.0,0.096,1,9,19561907
0.25,1.0,0.733,1,31,19561908
0.25,1.0,0.981,1,22,19561909
0.25,1.0,0.79,1,41,19561910
0.25,1.0,0.188,1,21,19561911
0.25,1.0,0.931,1,20,19561912
0.25,1.0,0.148,1,14,19561913
0.25,1.0,0.889,1,31,19561914
0.25,1.0,0.773,1,49,19561915
0.25,1.0,0.061,1,16,19561916
0.25,0.5,0.17,2,28,19561917
0.25,1.0,0.863,1,19,19561918
0.25,1.0,0.675,1,83,19561919
0.25,1.0,0.785,1,38,19561920
0.25,1.0,0.946,1,25,19561921
0.25,1.0,0.691,1,51,19561922
0.25,1.0,0.914,1,21,19561923
0.25,1.0,0.32,1,17,19561924
0.25,1.0,0.477,1,61,19561925
0.25,1.0,0.474,1,33,19561926
0.25,1.0,0.01,1,7,19561927
0.25,1.0,0.65,1,39,19561928
0.25,1.0,0.935,1,42,19561929
0.25,1.0,0.884,1,21,19561930
