mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.949,1,21,19561831
0.0,1.0,0.899,1,17,19561832
0.0,1.0,0.965,1,17,19561833
0.0,1.0,0.705,1,42,19561834
0.0,1.0,0.948,1,16,19561835
0.0,1.0,0.891,1,14,19561836
0.0,1.0,0.945,1,23,19561837
0.0,1.0,0.984,1,12,19561838
0.0,1.0,0.932,1,19,19561839
0.0,1.0,0.961,1,23,19561840
0.0,1.0,0.979,1,10,19561841
0.0,1.0,0.912,1,16,19561842
0.0,1.0,0.948,1,18,19561843
0.0,1.0,0.973,1,17,19561844
0.0,1.0,0.796,1,53,19561845
0.0,1.0,0.906,1,29,19561846
0.0,1.0,0.943,1,16,19561847
0.0,1.0,0.922,1,16,19561848
0.0,1.0,0.895,1,21,19561849
0.0,1.0,0.891,1,31,19561850
0.0,1.0,0.959,1,15,19561851
0.0,1.0,0.952,1,14,19561852
0.0,1.0,0.935,1,13,19561853
0.0,1.0,0.923,1,17,19561854
0.0,1.0,0.949,1,18,19561855
0.0,1.0,0.815,1,53,19561856
0.0,1.0,0.855,1,26,19561857
0.0,1.0,0.975,1,10,19561858
0.0,1.0,0.955,1,13,19561859
0.0,1.0,0.951,1,11,19561860
0.0,1.0,0.945,1,24,19561861
0.0,1.0,0.945,1,18,19561862
0.0,1.0,0.914,1,21,19561863
0.0,1.0,0.893,1,37,19561864
0.0,1.0,0.905,1,19,19561865
0.0,1.0,0.98,1,20,19561866
0.0,1.0,0.956,1,14,19561867
0.0,1.0,0.936,1,11,19561868
0.0,1.0,0.98,1,16,19561869
0.0,1.0,0.967,1,13,19561870
0.0,1.0,0.934,1,21,19561871
0.0,1.0,0.919,1,21,19561872
0.0,1.0,0.662,1,28,19561873
0.0,1.0,0.973,1,11,19561874
0.0,1.0,0.954,1,14,19561875
0.0,1.0,0.966,1,15,19561876
0.0,1.0,0.939,1,14,19561877
0.0,1.0,0.962,1,15,19561878
0.0,1.0,0.971,1,13,19561879
0.0,1.0,0.92,1,27,19561880
0.0,1.0,0.922,1,11,19561881
0.0,1.0,0.917,1,20,19561882
0.0,1.0,0.989,1,9,19561883
0.0,1.0,0.943,1,19,19561884
0.0,1.0,0.957,1,17,19561885
0.0,1.0,0.919,1,21,19561886
0.0,1.0,0.92,1,18,19561887
0.0,1.0,0.966,1,25,19561888
0.0,1.0,0.953,1,12,19561889
0.0,1.0,0.968,1,14,19561890
0.0,1.0,0.954,1,13,19561891
0.0,1.0,0.881,1,20,19561892
0.0,1.0,0.735,1,41,19561893
0.0,1.0,0.955,1,13,19561894
0.0,1.0,0.984,1,14,19561895
0.0,1.0,0.892,1,30,19561896
0.0,1.0,0.96,1,17,19561897
0.0,1.0,0.975,1,16,19561898
0.0,1.0,0.928,1,12,19561899
0.0,1.0,0.931,1,33,19561900
0.0,1.0,0.909,1,29,19561901
0.0,1.0,0.973,1,23,19561902
0.0,1.0,0.936,1,21,19561903
0.0,1.0,0.925,1,35,19561904
0.0,1.0,0.939,1,18,19561905
0.0,1.0,0.923,1,13,19561906
0.0,1.0,0.866,1,52,19561907
0.0,1.0,0.884,1,37,19561908
0.0,1.0,0.985,1,13,19561909
0.0,1.0,0.936,1,14,19561910
0.0,1.0,0.917,1,20,19561911
0.0,1.0,0.978,1,11,19561912
0.0,1.0,0.927,1,34,19561913
0.0,1.0,0.973,1,12,19561914
0.0,1.0,0.972,1,20,19561915
0.0,1.0,0.951,1,20,19561916
0.0,1.0,0.985,1,26,19561917
0.0,1.0,0.946,1,22,19561918
0.0,1.0,0.896,1,19,19561919
0.0,1.0,0.972,1,15,19561920
0.0,1.0,0.961,1,16,19561921
0.0,1.0,0.9,1,15,19561922
0.0,1.0,0.968,1,16,19561923
0.0,1.0,0.913,1,17,19561924
0.0,1.0,0.903,1,31,19561925
0.0,1.0,0.952,1,22,19561926
0.0,1.0,0.826,1,46,19561927
0.0,1.0,0.984,1,15,19561928
0.0,1.0,0.954,1,34,19561929
0.0,1.0,0.937,1,10,19561930
0.001,0.001,0.9658,0,1000,19561831
0.001,0.001,0.9768,0,1000,19561832
0.001,0.001,0.9703,0,1000,19561833
0.001,0.001,0.9547,0,1000,19561834
0.001,0.001,0.9771,0,1000,19561835
0.001,0.001,0.97,0,1000,19561836
0.001,0.001,0.9784,0,1000,19561837
0.001,0.001,0.9796,0,1000,19561838
0.001,0.001,0.9656,0,1000,19561839
0.001,0.001,0.9585,0,1000,19561840
0.001,0.001,0.9645,0,1000,19561841
0.001,0.001,0.9772,0,1000,19561842
0.001,0.001,0.9772,0,1000,19561843
0.001,0.001,0.9763,0,1000,19561844
0.001,0.001,0.9665,0,1000,19561845
0.001,0.001,0.951,0,1000,19561846
0.001,0.001,0.9799,0,1000,19561847
0.001,0.001,0.975,0,1000,19561848
0.001,0.001,0.9622,0,1000,19561849
0.001,0.001,0.971,0,1000,19561850
0.001,0.001,0.9734,0,1000,19561851
0.001,0.001,0.9769,0,1000,19561852
0.001,0.001,0.9699,0,1000,19561853
0.001,0.001,0.9753,0,1000,19561854
0.001,0.001,0.9784,0,1000,19561855
0.001,0.001,0.9237,0,1000,19561856
0.001,0.001,0.9735,0,1000,19561857
0.001,0.001,0.9761,0,1000,19561858
0.001,0.001,0.9787,0,1000,19561859
0.001,0.001,0.9687,0,1000,19561860
0.001,0.001,0.975,0,1000,19561861
0.001,0.001,0.9696,0,1000,19561862
0.001,0.001,0.9792,0,1000,19561863
0.001,0.001,0.9548,0,1000,19561864
0.001,0.001,0.9687,0,1000,19561865
0.001,0.001,0.9753,0,1000,19561866
0.001,0.001,0.988,0,1000,19561867
0.001,0.001,0.9778,0,1000,19561868
0.001,0.001,0.987,0,1000,19561869
0.001,0.001,0.9772,0,1000,19561870
0.001,0.001,0.9684,0,1000,19561871
0.001,0.001,0.9627,0,1000,19561872
0.001,0.001,0.9423,0,1000,19561873
0.001,0.001,0.9801,0,1000,19561874
0.001,0.001,0.9713,0,1000,19561875
0.001,0.001,0.9696,0,1000,19561876
0.001,0.001,0.9703,0,1000,19561877
0.001,0.001,0.9738,0,1000,19561878
0.001,0.001,0.979,0,1000,19561879
0.001,0.001,0.9708,0,1000,19561880
0.001,0.001,0.9822,0,1000,19561881
0.001,0.001,0.944,0,1000,19561882
0.001,0.001,0.9781,0,1000,19561883
0.001,0.001,0.9829,0,1000,19561884
0.001,0.001,0.9715,0,1000,19561885
0.001,0.001,0.9654,0,1000,19561886
0.001,0.001,0.9578,0,1000,19561887
0.001,0.001,0.9747,0,1000,19561888
0.001,0.001,0.9751,0,1000,19561889
0.001,0.001,0.9746,0,1000,19561890
0.001,0.001,0.9863,0,1000,19561891
0.001,0.001,0.9496,0,1000,19561892
0.001,0.001,0.9477,0,1000,19561893
0.001,0.001,0.9498,0,1000,19561894
0.001,0.001,0.979,0,1000,19561895
0.001,0.001,0.9635,0,1000,19561896
0.001,0.001,0.9759,0,1000,19561897
0.001,0.001,0.9749,0,1000,19561898
0.001,0.001,0.9808,0,1000,19561899
0.001,0.001,0.9758,0,1000,19561900
0.001,0.001,0.9627,0,1000,19561901
0.001,0.001,0.959,0,1000,19561902
0.001,0.001,0.977,0,1000,19561903
0.001,0.001,0.9464,0,1000,19561904
0.001,0.001,0.9683,0,1000,19561905
0.001,0.001,0.9841,0,1000,19561906
0.001,0.001,0.9313,0,1000,19561907
0.001,0.001,0.9726,0,1000,19561908
0.001,0.001,0.9801,0,1000,19561909
0.001,0.001,0.9726,0,1000,19561910
0.001,0.001,0.9614,0,1000,19561911
0.001,0.001,0.9617,0,1000,19561912
0.001,0.001,0.9719,0,1000,19561913
0.001,0.001,0.9627,0,1000,19561914
0.001,0.001,0.971,0,1000,19561915
0.001,0.001,0.9723,0,1000,19561916
0.001,0.001,0.9669,0,1000,19561917
0.001,0.001,0.9792,0,1000,19561918
0.001,0.001,0.9696,0,1000,19561919
0.001,0.001,0.9745,0,1000,19561920
0.001,0.001,0.9716,0,1000,19561921
0.001,0.001,0.9708,0,1000,19561922
0.001,0.001,0.9616,0,1000,19561923
0.001,0.001,0.9623,0,1000,19561924
0.001,0.001,0.9669,0,1000,19561925
0.001,0.001,0.9706,0,1000,19561926
0.001,0.001,0.9254,0,1000,19561927
0.001,0.001,0.972,0,1000,19561928
0.001,0.001,0.975,0,1000,19561929
0.001,0.001,0.9706,0,1000,19561930
0.01,0.001,0.9677,0,1000,19561831
0.01,0.001,0.9688,0,1000,19561832
0.01,0.001,0.966,0,1000,19561833
0.01,0.001,0.9562,0,1000,19561834
