wrap around,stability,morality,cycle length,generation count,seed
true,1.0,0.928,1,32,19561831
true,1.0,0.925,1,24,19561832
true,1.0,0.965,1,18,19561833
true,1.0,0.639,1,36,19561834
true,1.0,0.971,1,20,19561835
true,1.0,0.918,1,24,19561836
true,1.0,0.944,1,23,19561837
true,1.0,0.97,1,14,19561838
true,1.0,0.914,1,26,19561839
true,1.0,0.963,1,14,19561840
true,1.0,0.977,1,13,19561841
true,1.0,0.92,1,15,19561842
true,1.0,0.852,1,19,19561843
true,1.0,0.948,1,12,19561844
true,1.0,0.829,1,82,19561845
true,1.0,0.95,1,36,19561846
true,1.0,0.97,1,15,19561847
true,1.0,0.949,1,20,19561848
true,1.0,0.902,1,19,19561849
true,1.0,0.838,1,30,19561850
true,1.0,0.964,1,19,19561851
true,1.0,0.965,1,21,19561852
true,1.0,0.965,1,17,19561853
true,1.0,0.963,1,15,19561854
true,1.0,0.955,1,13,19561855
true,1.0,0.922,1,33,19561856
true,1.0,0.9,1,42,19561857
true,1.0,0.934,1,19,19561858
true,1.0,0.953,1,17,19561859
true,1.0,0.984,1,15,19561860
true,1.0,0.912,1,21,19561861
true,1.0,0.965,1,17,19561862
true,1.0,0.954,1,26,19561863
true,1.0,0.94,1,30,19561864
true,1.0,0.904,1,23,19561865
true,1.0,0.968,1,23,19561866
true,1.0,0.964,1,10,19561867
true,1.0,0.967,1,16,19561868
true,1.0,0.936,1,17,19561869
true,1.0,0.929,1,14,19561870
true,1.0,0.965,1,17,19561871
true,1.0,0.911,1,19,19561872
true,1.0,0.933,1,29,19561873
true,1.0,0.971,1,19,19561874
true,1.0,0.95,1,14,19561875
true,1.0,0.965,1,15,19561876
true,1.0,0.875,1,16,19561877
true,1.0,0.97,1,13,19561878
true,1.0,0.961,1,19,19561879
true,1.0,0.919,1,44,19561880
true,1.0,0.943,1,14,19561881
true,1.0,0.842,1,17,19561882
true,1.0,0.97,1,13,19561883
true,1.0,0.988,1,26,19561884
true,1.0,0.986,1,17,19561885
true,1.0,0.916,1,24,19561886
true,1.0,0.83,1,19,19561887
true,1.0,0.973,1,29,19561888
true,1.0,0.964,1,19,19561889
true,1.0,0.985,1,15,19561890
true,1.0,0.986,1,10,19561891
true,1.0,0.888,1,22,19561892
true,1.0,0.863,1,41,19561893
true,1.0,0.948,1,22,19561894
true,1.0,0.957,1,15,19561895
true,1.0,0.876,1,24,19561896
true,1.0,0.963,1,15,19561897
