beta,stability,morality,cycle length,generation count,seed
0.008,1.0,1.0,1,5,19561831
0.008,1.0,1.0,1,7,19561832
0.008,1.0,1.0,1,4,19561833
0.008,1.0,1.0,1,6,19561834
0.008,1.0,1.0,1,7,19561835
0.008,1.0,1.0,1,6,19561836
0.008,1.0,1.0,1,6,19561837
0.008,1.0,1.0,1,4,19561838
0.008,1.0,1.0,1,4,19561839
0.008,1.0,1.0,1,6,19561840
0.008,1.0,1.0,1,7,19561841
0.008,1.0,1.0,1,5,19561842
0.008,1.0,1.0,1,6,19561843
0.008,1.0,1.0,1,5,19561844
0.008,1.0,1.0,1,6,19561845
0.008,1.0,1.0,1,9,19561846
0.008,1.0,1.0,1,9,19561847
0.008,1.0,1.0,1,6,19561848
0.008,1.0,1.0,1,6,19561849
0.008,1.0,1.0,1,5,19561850
0.008,1.0,1.0,1,5,19561851
0.008,1.0,1.0,1,8,19561852
0.008,1.0,1.0,1,6,19561853
0.008,1.0,1.0,1,7,19561854
0.008,1.0,1.0,1,7,19561855
0.008,1.0,1.0,1,3,19561856
0.008,1.0,1.0,1,6,19561857
0.008,1.0,1.0,1,6,19561858
0.008,1.0,1.0,1,6,19561859
0.008,1.0,1.0,1,6,19561860
0.008,1.0,1.0,1,5,19561861
0.008,1.0,1.0,1,6,19561862
0.008,1.0,1.0,1,6,19561863
0.008,1.0,1.0,1,5,19561864
0.008,1.0,1.0,1,5,19561865
0.008,1.0,1.0,1,6,19561866
0.008,1.0,1.0,1,5,19561867
0.008,1.0,1.0,1,6,19561868
0.008,1.0,1.0,1,6,19561869
0.008,1.0,1.0,1,7,19561870
0.008,1.0,1.0,1,4,19561871
0.008,1.0,1.0,1,5,19561872
0.008,1.0,1.0,1,6,19561873
0.008,1.0,1.0,1,6,19561874
0.008,1.0,1.0,1,5,19561875
0.008,1.0,1.0,1,6,19561876
0.008,1.0,1.0,1,6,19561877
0.008,1.0,1.0,1,5,19561878
0.008,1.0,1.0,1,6,19561879
0.008,1.0,1.0,1,5,19561880
0.008,1.0,1.0,1,7,19561881
0.008,1.0,1.0,1,4,19561882
0.008,1.0,1.0,1,5,19561883
0.008,1.0,1.0,1,5,19561884
0.008,1.0,1.0,1,4,19561885
0.008,1.0,1.0,1,7,19561886
0.008,1.0,1.0,1,5,19561887
0.008,1.0,1.0,1,5,19561888
0.008,1.0,1.0,1,6,19561889
0.008,1.0,1.0,1,5,19561890
0.008,1.0,1.0,1,10,19561891
0.008,1.0,1.0,1,5,19561892
0.008,1.0,1.0,1,6,19561893
0.008,1.0,1.0,1,4,19561894
0.008,1.0,1.0,1,5,19561895
0.008,1.0,1.0,1,5,19561896
0.008,1.0,1.0,1,7,19561897
0.008,1.0,1.0,1,7,19561898
0.008,1.0,1.0,1,6,19561899
0.008,1.0,1.0,1,4,19561900
0.008,1.0,1.0,1,5,19561901
0.008,1.0,1.0,1,3,19561902
0.008,1.0,1.0,1,5,19561903
0.008,1.0,1.0,1,5,19561904
0.008,1.0,1.0,1,7,19561905
0.008,1.0,1.0,1,5,19561906
0.008,1.0,1.0,1,4,19561907
0.008,1.0,1.0,1,6,19561908
0.008,1.0,1.0,1,5,19561909
0.008,1.0,1.0,1,5,19561910
0.008,1.0,1.0,1,4,19561911
0.008,1.0,1.0,1,6,19561912
0.008,1.0,1.0,1,5,19561913
0.008,1.0,1.0,1,7,19561914
0.008,1.0,1.0,1,8,19561915
0.008,1.0,1.0,1,5,19561916
0.008,1.0,1.0,1,7,19561917
0.008,1.0,1.0,1,7,19561918
0.008,1.0,1.0,1,5,19561919
0.008,1.0,1.0,1,6,19561920
0.008,1.0,1.0,1,6,19561921
0.008,1.0,1.0,1,6,19561922
0.008,1.0,1.0,1,6,19561923
0.008,1.0,1.0,1,5,19561924
0.008,1.0,1.0,1,5,19561925
0.008,1.0,1.0,1,4,19561926
0.008,1.0,1.0,1,4,19561927
0.008,1.0,1.0,1,5,19561928
0.008,1.0,1.0,1,7,19561929
0.008,1.0,1.0,1,6,19561930
0.04,1.0,1.0,1,5,19561831
0.04,1.0,1.0,1,6,19561832
0.04,1.0,1.0,1,11,19561833
0.04,1.0,1.0,1,5,19561834
0.04,1.0,1.0,1,5,19561835
0.04,1.0,1.0,1,6,19561836
0.04,1.0,1.0,1,6,19561837
0.04,1.0,1.0,1,5,19561838
0.04,1.0,1.0,1,5,19561839
0.04,1.0,1.0,1,6,19561840
0.04,1.0,1.0,1,5,19561841
0.04,1.0,1.0,1,7,19561842
0.04,1.0,1.0,1,4,19561843
0.04,1.0,1.0,1,5,19561844
0.04,1.0,1.0,1,5,19561845
0.04,1.0,1.0,1,7,19561846
0.04,1.0,1.0,1,7,19561847
0.04,1.0,1.0,1,7,19561848
0.04,1.0,1.0,1,5,19561849
0.04,1.0,1.0,1,4,19561850
0.04,1.0,1.0,1,5,19561851
0.04,1.0,1.0,1,5,19561852
0.04,1.0,1.0,1,6,19561853
0.04,1.0,1.0,1,6,19561854
0.04,1.0,1.0,1,6,19561855
0.04,1.0,0.999,1,5,19561856
0.04,1.0,1.0,1,4,19561857
0.04,1.0,1.0,1,5,19561858
0.04,1.0,1.0,1,8,19561859
0.04,1.0,1.0,1,7,19561860
0.04,1.0,1.0,1,8,19561861
0.04,1.0,1.0,1,6,19561862
0.04,1.0,1.0,1,5,19561863
0.04,1.0,1.0,1,8,19561864
0.04,1.0,1.0,1,6,19561865
0.04,1.0,1.0,1,5,19561866
0.04,1.0,1.0,1,5,19561867
0.04,1.0,1.0,1,6,19561868
0.04,1.0,1.0,1,5,19561869
0.04,1.0,1.0,1,4,19561870
0.04,1.0,1.0,1,4,19561871
0.04,1.0,1.0,1,4,19561872
0.04,1.0,1.0,1,4,19561873
0.04,1.0,1.0,1,5,19561874
0.04,1.0,1.0,1,4,19561875
0.04,1.0,1.0,1,4,19561876
0.04,1.0,1.0,1,4,19561877
0.04,1.0,1.0,1,8,19561878
0.04,1.0,1.0,1,5,19561879
0.04,1.0,1.0,1,5,19561880
0.04,1.0,1.0,1,5,19561881
0.04,1.0,1.0,1,5,19561882
0.04,1.0,1.0,1,7,19561883
0.04,1.0,1.0,1,6,19561884
0.04,1.0,1.0,1,7,19561885
0.04,1.0,1.0,1,4,19561886
0.04,1.0,1.0,1,6,19561887
0.04,1.0,1.0,1,6,19561888
0.04,1.0,1.0,1,4,19561889
0.04,1.0,1.0,1,4,19561890
0.04,1.0,1.0,1,6,19561891
0.04,1.0,1.0,1,7,19561892
0.04,1.0,1.0,1,6,19561893
0.04,1.0,1.0,1,4,19561894
0.04,1.0,1.0,1,7,19561895
0.04,1.0,1.0,1,6,19561896
0.04,1.0,1.0,1,6,19561897
0.04,1.0,1.0,1,6,19561898
0.04,1.0,1.0,1,7,19561899
0.04,1.0,1.0,1,5,19561900
0.04,1.0,1.0,1,5,19561901
0.04,1.0,1.0,1,4,19561902
0.04,1.0,1.0,1,6,19561903
0.04,1.0,1.0,1,4,19561904
0.04,1.0,1.0,1,6,19561905
0.04,1.0,1.0,1,3,19561906
0.04,1.0,1.0,1,5,19561907
0.04,1.0,1.0,1,8,19561908
0.04,1.0,1.0,1,6,19561909
0.04,1.0,1.0,1,6,19561910
0.04,1.0,1.0,1,6,19561911
0.04,1.0,1.0,1,7,19561912
0.04,1.0,1.0,1,6,19561913
0.04,1.0,1.0,1,5,19561914
0.04,1.0,1.0,1,7,19561915
0.04,1.0,1.0,1,5,19561916
0.04,1.0,1.0,1,7,19561917
0.04,1.0,1.0,1,6,19561918
0.04,1.0,1.0,1,5,19561919
0.04,1.0,1.0,1,5,19561920
0.04,1.0,1.0,1,5,19561921
0.04,1.0,1.0,1,6,19561922
0.04,1.0,1.0,1,5,19561923
0.04,1.0,1.0,1,4,19561924
0.04,1.0,1.0,1,7,19561925
0.04,1.0,1.0,1,7,19561926
0.04,1.0,1.0,1,4,19561927
0.04,1.0,1.0,1,5,19561928
0.04,1.0,1.0,1,7,19561929
0.04,1.0,1.0,1,6,19561930
0.09,1.0,1.0,1,7,19561831
0.09,1.0,1.0,1,5,19561832
0.09,1.0,1.0,1,5,19561833
0.09,1.0,1.0,1,5,19561834
0.09,1.0,1.0,1,4,19561835
0.09,1.0,1.0,1,4,19561836
0.09,1.0,1.0,1,5,19561837
0.09,1.0,1.0,1,5,19561838
0.09,1.0,1.0,1,5,19561839
0.09,1.0,1.0,1,6,19561840
0.09,1.0,1.0,1,6,19561841
0.09,1.0,1.0,1,5,19561842
0.09,1.0,1.0,1,5,19561843
0.09,1.0,1.0,1,6,19561844
0.09,1.0,1.0,1,5,19561845
0.09,1.0,1.0,1,6,19561846
0.09,1.0,1.0,1,5,19561847
0.09,1.0,1.0,1,5,19561848
0.09,1.0,1.0,1,8,19561849
0.09,1.0,1.0,1,5,19561850
0.09,1.0,1.0,1,5,19561851
0.09,1.0,1.0,1,4,19561852
0.09,1.0,1.0,1,6,19561853
0.09,1.0,1.0,1,7,19561854
0.09,1.0,1.0,1,6,19561855
0.09,1.0,1.0,1,5,19561856
0.09,1.0,1.0,1,6,19561857
0.09,1.0,1.0,1,6,19561858
0.09,1.0,1.0,1,6,19561859
0.09,1.0,1.0,1,5,19561860
0.09,1.0,1.0,1,4,19561861
0.09,1.0,1.0,1,6,19561862
0.09,1.0,1.0,1,6,19561863
0.09,1.0,1.0,1,4,19561864
0.09,1.0,1.0,1,5,19561865
0.09,1.0,1.0,1,5,19561866
0.09,1.0,1.0,1,10,19561867
0.09,1.0,1.0,1,5,19561868
0.09,1.0,1.0,1,5,19561869
0.09,1.0,1.0,1,5,19561870
0.09,1.0,1.0,1,4,19561871
0.09,1.0,1.0,1,6,19561872
0.09,1.0,1.0,1,5,19561873
0.09,1.0,1.0,1,6,19561874
0.09,1.0,1.0,1,5,19561875
0.09,1.0,1.0,1,4,19561876
0.09,1.0,1.0,1,6,19561877
0.09,1.0,1.0,1,5,19561878
0.09,1.0,1.0,1,6,19561879
0.09,1.0,0.998,1,6,19561880
0.09,1.0,1.0,1,6,19561881
0.09,1.0,1.0,1,7,19561882
0.09,1.0,1.0,1,5,19561883
0.09,1.0,1.0,1,5,19561884
0.09,1.0,1.0,1,6,19561885
0.09,1.0,1.0,1,5,19561886
0.09,1.0,1.0,1,5,19561887
0.09,1.0,1.0,1,5,19561888
0.09,1.0,1.0,1,5,19561889
0.09,1.0,1.0,1,7,19561890
0.09,1.0,1.0,1,4,19561891
0.09,1.0,1.0,1,6,19561892
0.09,1.0,1.0,1,5,19561893
0.09,1.0,1.0,1,7,19561894
0.09,1.0,1.0,1,5,19561895
0.09,1.0,1.0,1,5,19561896
0.09,1.0,1.0,1,5,19561897
0.09,1.0,1.0,1,6,19561898
0.09,1.0,1.0,1,6,19561899
0.09,1.0,1.0,1,7,19561900
0.09,1.0,1.0,1,5,19561901
0.09,1.0,1.0,1,6,19561902
0.09,1.0,1.0,1,6,19561903
0.09,1.0,1.0,1,6,19561904
0.09,1.0,1.0,1,5,19561905
0.09,1.0,1.0,1,6,19561906
0.09,1.0,1.0,1,4,19561907
0.09,1.0,1.0,1,5,19561908
0.09,1.0,1.0,1,4,19561909
0.09,1.0,1.0,1,6,19561910
0.09,1.0,1.0,1,6,19561911
0.09,1.0,1.0,1,6,19561912
0.09,1.0,1.0,1,4,19561913
0.09,1.0,1.0,1,8,19561914
0.09,1.0,1.0,1,5,19561915
0.09,1.0,1.0,1,5,19561916
0.09,1.0,1.0,1,5,19561917
0.09,1.0,1.0,1,5,19561918
0.09,1.0,1.0,1,6,19561919
0.09,1.0,1.0,1,7,19561920
0.09,1.0,1.0,1,5,19561921
0.09,1.0,1.0,1,5,19561922
0.09,1.0,1.0,1,5,19561923
0.09,1.0,1.0,1,5,19561924
0.09,1.0,1.0,1,4,19561925
0.09,1.0,1.0,1,6,19561926
0.09,1.0,1.0,1,6,19561927
0.09,1.0,1.0,1,5,19561928
0.09,1.0,1.0,1,5,19561929
0.09,1.0,1.0,1,4,19561930
0.17,1.0,1.0,1,5,19561831
0.17,1.0,0.9961,1,7,19561832
0.17,1.0,1.0,1,5,19561833
0.17,1.0,0.998,1,4,19561834
0.17,1.0,1.0,1,5,19561835
0.17,1.0,1.0,1,5,19561836
0.17,1.0,1.0,1,6,19561837
0.17,1.0,1.0,1,5,19561838
0.17,1.0,1.0,1,5,19561839
0.17,1.0,1.0,1,5,19561840
0.17,1.0,1.0,1,4,19561841
0.17,1.0,1.0,1,5,19561842
0.17,1.0,0.998,1,5,19561843
0.17,1.0,1.0,1,4,19561844
0.17,1.0,1.0,1,7,19561845
0.17,1.0,1.0,1,5,19561846
0.17,1.0,1.0,1,5,19561847
0.17,1.0,1.0,1,5,19561848
0.17,1.0,1.0,1,4,19561849
0.17,1.0,1.0,1,4,19561850
0.17,1.0,1.0,1,4,19561851
0.17,1.0,1.0,1,5,19561852
0.17,1.0,1.0,1,5,19561853
0.17,1.0,1.0,1,10,19561854
0.17,1.0,1.0,1,5,19561855
0.17,1.0,1.0,1,4,19561856
0.17,1.0,1.0,1,4,19561857
0.17,1.0,1.0,1,6,19561858
0.17,1.0,1.0,1,8,19561859
0.17,1.0,1.0,1,6,19561860
0.17,1.0,1.0,1,5,19561861
0.17,1.0,1.0,1,7,19561862
0.17,1.0,1.0,1,4,19561863
0.17,1.0,1.0,1,4,19561864
0.17,1.0,1.0,1,6,19561865
0.17,1.0,1.0,1,5,19561866
0.17,1.0,1.0,1,5,19561867
0.17,1.0,1.0,1,5,19561868
0.17,1.0,1.0,1,6,19561869
0.17,1.0,1.0,1,5,19561870
0.17,1.0,1.0,1,5,19561871
0.17,1.0,1.0,1,5,19561872
0.17,1.0,1.0,1,6,19561873
0.17,1.0,1.0,1,4,19561874
0.17,1.0,1.0,1,5,19561875
0.17,1.0,1.0,1,5,19561876
0.17,1.0,1.0,1,6,19561877
0.17,1.0,1.0,1,5,19561878
0.17,1.0,0.999,1,5,19561879
0.17,1.0,1.0,1,6,19561880
0.17,1.0,1.0,1,5,19561881
0.17,1.0,1.0,1,4,19561882
0.17,1.0,1.0,1,4,19561883
0.17,1.0,1.0,1,5,19561884
0.17,1.0,1.0,1,5,19561885
0.17,1.0,1.0,1,5,19561886
