learning distance,stability,morality,cycle length,generation count,seed
1,1.0,0.0,1,10,19561831
1,1.0,0.031,1,14,19561832
1,1.0,0.008,1,10,19561833
1,1.0,0.0,1,11,19561834
1,1.0,0.008,1,10,19561835
1,1.0,0.0,1,10,19561836
1,1.0,0.015,1,11,19561837
1,0.5,0.0,2,11,19561838
1,1.0,0.0,1,9,19561839
1,1.0,0.016,1,11,19561840
1,1.0,0.008,1,11,19561841
1,1.0,0.006,1,9,19561842
1,1.0,0.0,1,8,19561843
1,1.0,0.008,1,11,19561844
1,1.0,0.008,1,9,19561845
1,1.0,0.007,1,12,19561846
1,1.0,0.0,1,10,19561847
1,1.0,0.069,1,10,19561848
1,1.0,0.038,1,12,19561849
1,1.0,0.0,1,10,19561850
1,1.0,0.0,1,9,19561851
1,1.0,0.008,1,11,19561852
1,1.0,0.0,1,10,19561853
1,1.0,0.008,1,9,19561854
1,1.0,0.007,1,10,19561855
1,1.0,0.0,1,11,19561856
1,1.0,0.008,1,11,19561857
1,1.0,0.016,1,14,19561858
1,1.0,0.041,1,10,19561859
1,1.0,0.016,1,11,19561860
1,1.0,0.0,1,12,19561861
1,1.0,0.008,1,12,19561862
1,1.0,0.012,1,11,19561863
1,1.0,0.008,1,9,19561864
1,1.0,0.0,1,13,19561865
1,1.0,0.0,1,10,19561866
1,1.0,0.008,1,9,19561867
1,1.0,0.0,1,10,19561868
1,1.0,0.008,1,11,19561869
1,1.0,0.008,1,9,19561870
1,1.0,0.0,1,13,19561871
1,1.0,0.008,1,11,19561872
1,1.0,0.008,1,11,19561873
1,1.0,0.0,1,10,19561874
1,1.0,0.016,1,11,19561875
1,1.0,0.008,1,9,19561876
1,1.0,0.023,1,10,19561877
1,1.0,0.007,1,10,19561878
1,1.0,0.008,1,10,19561879
1,1.0,0.0,1,9,19561880
1,1.0,0.015,1,9,19561881
1,1.0,0.008,1,11,19561882
1,1.0,0.064,1,11,19561883
1,1.0,0.008,1,10,19561884
1,1.0,0.017,1,9,19561885
1,1.0,0.026,1,11,19561886
1,1.0,0.0,1,11,19561887
1,1.0,0.024,1,10,19561888
1,0.5,0.0,2,12,19561889
1,1.0,0.0,1,9,19561890
1,1.0,0.045,1,12,19561891
1,1.0,0.008,1,8,19561892
1,1.0,0.016,1,10,19561893
1,1.0,0.016,1,9,19561894
1,1.0,0.016,1,10,19561895
1,1.0,0.0,1,9,19561896
1,1.0,0.008,1,10,19561897
1,1.0,0.0,1,9,19561898
1,1.0,0.0,1,9,19561899
1,1.0,0.0,1,10,19561900
1,1.0,0.007,1,8,19561901
1,1.0,0.0,1,9,19561902
1,1.0,0.0,1,9,19561903
1,1.0,0.022,1,13,19561904
1,1.0,0.047,1,12,19561905
1,1.0,0.008,1,11,19561906
1,1.0,0.237,1,17,19561907
1,1.0,0.016,1,10,19561908
1,1.0,0.016,1,10,19561909
1,1.0,0.0,1,8,19561910
