edge probability,stability,morality,cycle length,generation count,seed
0.004,0.5,0.3775,2,16,19561831
0.004,0.5,0.336,2,19,19561832
0.004,1.0,0.085,1,10,19561833
0.004,1.0,0.03,1,14,19561834
0.004,0.25,0.1785,4,21,19561835
0.004,1.0,0.039,1,12,19561836
0.004,0.5,0.107,2,14,19561837
0.004,1.0,0.152,1,18,19561838
0.004,1.0,0.078,1,12,19561839
0.004,1.0,0.08,1,9,19561840
0.004,0.5,0.0975,2,16,19561841
0.004,1.0,0.238,1,13,19561842
0.004,1.0,0.168,1,23,19561843
0.004,1.0,0.007,1,13,19561844
0.004,0.25,0.2455,4,23,19561845
0.004,1.0,0.055,1,10,19561846
0.004,0.25,0.185,4,17,19561847
0.004,0.5,0.025,2,16,19561848
0.004,0.5,0.1305,2,15,19561849
0.004,0.25,0.136,4,17,19561850
0.004,1.0,0.145,1,12,19561851
0.004,0.5,0.5605,2,13,19561852
0.004,0.25,0.0978,4,19,19561853
0.004,0.5,0.1365,2,12,19561854
0.004,1.0,0.046,1,12,19561855
0.004,0.5,0.041,2,14,19561856
0.004,1.0,0.022,1,13,19561857
0.004,0.25,0.022,4,14,19561858
0.004,1.0,0.078,1,12,19561859
0.004,1.0,0.094,1,14,19561860
0.004,1.0,0.02,1,12,19561861
0.004,0.25,0.0698,4,14,19561862
0.004,0.25,0.2018,4,16,19561863
0.004,1.0,0.098,1,13,19561864
0.004,0.25,0.112,4,18,19561865
0.004,0.25,0.0288,4,17,19561866
0.004,0.5,0.254,2,20,19561867
0.004,0.5,0.083,2,15,19561868
0.004,1.0,0.168,1,14,19561869
0.004,0.5,0.0825,2,14,19561870
0.004,0.5,0.536,2,15,19561871
0.004,0.25,0.13,4,17,19561872
0.004,0.5,0.039,2,18,19561873
0.004,0.5,0.383,2,14,19561874
0.004,0.25,0.1283,4,18,19561875
0.004,0.5,0.045,2,12,19561876
0.004,0.5,0.233,2,14,19561877
0.004,1.0,0.035,1,11,19561878
0.004,1.0,0.07,1,13,19561879
0.004,0.25,0.032,4,16,19561880
0.004,1.0,0.036,1,19,19561881
0.004,1.0,0.346,1,18,19561882
0.004,0.25,0.2028,4,20,19561883
0.004,1.0,0.118,1,13,19561884
0.004,0.25,0.2828,4,17,19561885
