initial moral mean,stability,morality,cycle length,generation count,seed
0.25,0.5,0.0,2,10,19561831
0.25,1.0,0.0,1,10,19561832
0.25,1.0,0.04,1,13,19561833
0.25,1.0,0.0,1,10,19561834
0.25,0.5,0.0,2,9,19561835
0.25,1.0,0.0,1,8,19561836
0.25,1.0,0.015,1,9,19561837
0.25,1.0,0.043,1,9,19561838
0.25,0.5,0.0,2,12,19561839
0.25,0.5,0.0,2,9,19561840
0.25,1.0,0.0,1,10,19561841
0.25,1.0,0.0,1,9,19561842
0.25,0.5,0.0,2,11,19561843
0.25,0.5,0.0,2,11,19561844
0.25,0.5,0.0,2,10,19561845
0.25,1.0,0.0,1,8,19561846
0.25,1.0,0.0,1,11,19561847
0.25,0.5,0.017,2,8,19561848
0.25,1.0,0.0,1,9,19561849
0.25,1.0,0.015,1,9,19561850
0.25,1.0,0.0,1,9,19561851
0.25,1.0,0.0,1,13,19561852
0.25,0.5,0.0,2,9,19561853
0.25,0.5,0.0,2,13,19561854
0.25,1.0,0.0,1,7,19561855
0.25,1.0,0.0,1,9,19561856
0.25,1.0,0.0,1,15,19561857
0.25,0.5,0.0,2,11,19561858
0.25,1.0,0.0,1,9,19561859
0.25,1.0,0.036,1,12,19561860
0.25,1.0,0.0,1,8,19561861
0.25,1.0,0.03,1,11,19561862
0.25,1.0,0.0,1,9,19561863
0.25,1.0,0.0,1,10,19561864
0.25,0.5,0.0,2,10,19561865
0.25,0.5,0.0,2,9,19561866
0.25,1.0,0.0,1,9,19561867
0.25,1.0,0.0,1,9,19561868
0.25,1.0,0.018,1,8,19561869
0.25,0.5,0.0,2,12,19561870
0.25,1.0,0.0,1,7,19561871
0.25,1.0,0.0,1,6,19561872
0.25,1.0,0.0,1,10,19561873
0.25,0.5,0.0,2,9,19561874
0.25,1.0,0.0,1,7,19561875
0.25,1.0,0.04,1,9,19561876
0.25,1.0,0.0,1,9,19561877
0.25,0.5,0.0,2,9,19561878
0.25,1.0,0.0,1,11,19561879
0.25,0.5,0.0,2,12,19561880
0.25,0.5,0.0,2,8,19561881
0.25,1.0,0.0,1,10,19561882
0.25,1.0,0.045,1,8,19561883
0.25,0.5,0.017,2,10,19561884
0.25,0.5,0.014,2,11,19561885
0.25,0.25,0.043,4,19,19561886
0.25,1.0,0.014,1,9,19561887
0.25,1.0,0.0,1,8,19561888
0.25,1.0,0.0,1,8,19561889
0.25,0.25,0.0,4,14,19561890
0.25,1.0,0.019,1,10,19561891
0.25,0.5,0.0,2,13,19561892
0.25,1.0,0.0,1,8,19561893
0.25,0.25,0.0,4,13,19561894
0.25,1.0,0.03,1,12,19561895
0.25,1.0,0.017,1,10,19561896
0.25,1.0,0.0,1,7,19561897
0.25,0.25,0.0,4,15,19561898
0.25,0.5,0.017,2,9,19561899
0.25,1.0,0.0,1,10,19561900
0.25,0.5,0.0,2,10,19561901
0.25,0.5,0.0,2,16,19561902
0.25,1.0,0.0,1,9,19561903
0.25,1.0,0.0,1,7,19561904
0.25,1.0,0.0,1,11,19561905
0.25,1.0,0.0,1,10,19561906
0.25,0.5,0.0,2,9,19561907
0.25,1.0,0.0,1,9,19561908
0.25,0.5,0.0,2,10,19561909
0.25,1.0,0.0,1,13,19561910
0.25,0.5,0.0,2,9,19561911
0.25,1.0,0.019,1,8,19561912
0.25,0.25,0.016,4,15,19561913
0.25,1.0,0.035,1,9,19561914
0.25,1.0,0.0,1,11,19561915
0.25,0.5,0.0,2,9,19561916
0.25,1.0,0.0,1,8,19561917
0.25,1.0,0.0,1,15,19561918
0.25,0.25,0.0,4,14,19561919
0.25,0.25,0.0895,4,28,19561920
0.25,0.5,0.0165,2,12,19561921
0.25,1.0,0.0,1,9,19561922
0.25,0.5,0.0,2,9,19561923
0.25,0.5,0.0,2,11,19561924
0.25,1.0,0.0,1,11,19561925
0.25,1.0,0.0,1,8,19561926
0.25,0.5,0.017,2,11,19561927
0.25,1.0,0.021,1,9,19561928
0.25,1.0,0.043,1,11,19561929
0.25,1.0,0.0,1,11,19561930
0.5,1.0,0.0,1,10,19561831
0.5,1.0,0.0,1,9,19561832
0.5,1.0,0.08,1,11,19561833
0.5,0.25,0.019,4,11,19561834
0.5,1.0,0.0,1,9,19561835
0.5,1.0,0.05,1,10,19561836
0.5,1.0,0.052,1,9,19561837
0.5,1.0,0.0,1,10,19561838
0.5,0.5,0.012,2,12,19561839
0.5,1.0,0.0,1,8,19561840
0.5,1.0,0.0,1,9,19561841
0.5,0.5,0.0,2,9,19561842
0.5,0.125,0.0553,8,23,19561843
0.5,0.5,0.016,2,13,19561844
0.5,1.0,0.0,1,10,19561845
0.5,0.5,0.0,2,13,19561846
0.5,1.0,0.0,1,15,19561847
0.5,1.0,0.033,1,9,19561848
0.5,1.0,0.055,1,12,19561849
0.5,0.25,0.033,4,13,19561850
0.5,1.0,0.024,1,10,19561851
0.5,0.5,0.0,2,12,19561852
0.5,1.0,0.014,1,10,19561853
0.5,1.0,0.024,1,11,19561854
0.5,1.0,0.0,1,8,19561855
0.5,1.0,0.018,1,11,19561856
0.5,0.5,0.044,2,17,19561857
0.5,0.0833,0.1015,12,22,19561858
0.5,1.0,0.015,1,10,19561859
0.5,0.25,0.5035,4,30,19561860
0.5,1.0,0.027,1,11,19561861
0.5,0.5,0.029,2,13,19561862
0.5,1.0,0.012,1,8,19561863
0.5,1.0,0.036,1,10,19561864
0.5,0.5,0.0,2,12,19561865
0.5,1.0,0.013,1,8,19561866
0.5,1.0,0.03,1,10,19561867
0.5,1.0,0.0,1,9,19561868
0.5,1.0,0.018,1,9,19561869
0.5,0.25,0.018,4,14,19561870
0.5,0.5,0.029,2,8,19561871
0.5,0.5,0.018,2,14,19561872
0.5,1.0,0.015,1,9,19561873
0.5,1.0,0.0,1,10,19561874
0.5,0.5,0.0,2,9,19561875
0.5,1.0,0.053,1,11,19561876
0.5,0.5,0.0685,2,12,19561877
0.5,0.5,0.0,2,16,19561878
0.5,0.5,0.0,2,15,19561879
0.5,1.0,0.0,1,8,19561880
0.5,0.5,0.012,2,10,19561881
0.5,0.5,0.0,2,13,19561882
0.5,1.0,0.067,1,13,19561883
0.5,0.25,0.0,4,12,19561884
0.5,0.5,0.016,2,11,19561885
0.5,1.0,0.026,1,14,19561886
0.5,1.0,0.053,1,10,19561887
0.5,1.0,0.018,1,11,19561888
0.5,0.25,0.016,4,14,19561889
0.5,1.0,0.016,1,9,19561890
0.5,1.0,0.019,1,11,19561891
0.5,1.0,0.0,1,10,19561892
0.5,0.5,0.019,2,10,19561893
0.5,0.5,0.0,2,12,19561894
0.5,1.0,0.027,1,14,19561895
0.5,1.0,0.043,1,11,19561896
0.5,1.0,0.017,1,8,19561897
0.5,1.0,0.0,1,8,19561898
0.5,1.0,0.0,1,9,19561899
0.5,1.0,0.012,1,11,19561900
0.5,0.5,0.0,2,10,19561901
0.5,1.0,0.017,1,9,19561902
0.5,1.0,0.018,1,11,19561903
0.5,1.0,0.0,1,7,19561904
0.5,0.5,0.012,2,18,19561905
0.5,1.0,0.033,1,12,19561906
0.5,1.0,0.022,1,8,19561907
0.5,0.5,0.0,2,12,19561908
0.5,0.5,0.0,2,10,19561909
0.5,0.5,0.049,2,10,19561910
0.5,1.0,0.017,1,9,19561911
0.5,0.5,0.057,2,12,19561912
0.5,1.0,0.026,1,14,19561913
0.5,1.0,0.0,1,14,19561914
0.5,1.0,0.0,1,11,19561915
0.5,0.25,0.049,4,14,19561916
0.5,1.0,0.057,1,9,19561917
0.5,0.5,0.0,2,10,19561918
0.5,1.0,0.0,1,10,19561919
0.5,0.125,0.1005,8,22,19561920
0.5,1.0,0.051,1,10,19561921
0.5,1.0,0.012,1,10,19561922
0.5,1.0,0.0,1,13,19561923
0.5,0.5,0.022,2,13,19561924
0.5,1.0,0.0,1,11,19561925
0.5,0.5,0.0,2,9,19561926
0.5,1.0,0.0,1,9,19561927
0.5,0.5,0.035,2,13,19561928
0.5,0.5,0.048,2,15,19561929
0.5,1.0,0.02,1,9,19561930
0.75,1.0,0.053,1,12,19561831
0.75,1.0,0.0,1,11,19561832
0.75,1.0,0.096,1,14,19561833
0.75,1.0,0.071,1,8,19561834
0.75,1.0,0.037,1,11,19561835
0.75,1.0,0.178,1,21,19561836
0.75,1.0,0.083,1,10,19561837
0.75,1.0,0.04,1,9,19561838
0.75,1.0,0.032,1,15,19561839
0.75,1.0,0.07,1,11,19561840
0.75,1.0,0.029,1,11,19561841
0.75,0.5,0.018,2,11,19561842
0.75,0.125,0.0553,8,19,19561843
0.75,1.0,0.0,1,21,19561844
0.75,0.5,0.045,2,13,19561845
0.75,1.0,0.0,1,11,19561846
0.75,1.0,0.031,1,17,19561847
0.75,1.0,0.033,1,14,19561848
0.75,1.0,0.066,1,13,19561849
0.75,0.25,0.161,4,19,19561850
0.75,0.5,0.024,2,11,19561851
0.75,1.0,0.053,1,9,19561852
0.75,0.5,0.062,2,11,19561853
0.75,1.0,0.053,1,17,19561854
0.75,0.25,0.0235,4,15,19561855
0.75,0.5,0.049,2,12,19561856
0.75,0.5,0.023,2,14,19561857
0.75,0.5,0.0325,2,16,19561858
0.75,0.25,0.109,4,16,19561859
0.75,0.0833,0.3064,12,42,19561860
0.75,0.5,0.0,2,13,19561861
0.75,0.5,0.0,2,17,19561862
0.75,1.0,0.052,1,11,19561863
0.75,1.0,0.036,1,17,19561864
0.75,0.5,0.016,2,11,19561865
0.75,0.5,0.0135,2,12,19561866
0.75,1.0,0.03,1,9,19561867
0.75,1.0,0.0,1,9,19561868
0.75,0.5,0.087,2,11,19561869
0.75,0.25,0.018,4,14,19561870
0.75,1.0,0.0,1,8,19561871
0.75,0.5,0.071,2,17,19561872
0.75,1.0,0.015,1,21,19561873
0.75,1.0,0.031,1,13,19561874
0.75,1.0,0.035,1,10,19561875
0.75,1.0,0.088,1,13,19561876
0.75,0.5,0.091,2,15,19561877
0.75,0.5,0.03,2,16,19561878
0.75,0.5,0.028,2,11,19561879
0.75,0.5,0.033,2,11,19561880
0.75,1.0,0.015,1,9,19561881
0.75,1.0,0.018,1,12,19561882
0.75,0.5,0.1815,2,11,19561883
0.75,0.25,0.0195,4,14,19561884
0.75,0.1667,0.0527,6,16,19561885
0.75,1.0,0.07,1,11,19561886
0.75,1.0,0.066,1,19,19561887
0.75,1.0,0.063,1,9,19561888
0.75,0.25,0.0295,4,18,19561889
0.75,0.25,0.048,4,19,19561890
0.75,0.25,0.064,4,16,19561891
0.75,1.0,0.0,1,13,19561892
0.75,1.0,0.018,1,8,19561893
0.75,0.25,0.018,4,13,19561894
0.75,1.0,0.096,1,12,19561895
0.75,0.5,0.121,2,20,19561896
0.75,1.0,0.0,1,10,19561897
0.75,1.0,0.0,1,10,19561898
0.75,1.0,0.057,1,15,19561899
0.75,1.0,0.043,1,11,19561900
0.75,1.0,0.078,1,10,19561901
0.75,1.0,0.028,1,12,19561902
0.75,1.0,0.03,1,10,19561903
0.75,1.0,0.016,1,12,19561904
0.75,1.0,0.015,1,14,19561905
0.75,1.0,0.093,1,12,19561906
0.75,1.0,0.022,1,10,19561907
0.75,0.5,0.0985,2,15,19561908
0.75,0.5,0.032,2,13,19561909
0.75,0.5,0.055,2,11,19561910
0.75,1.0,0.019,1,7,19561911
0.75,1.0,0.058,1,12,19561912
0.75,0.5,0.101,2,18,19561913
0.75,1.0,0.551,1,18,19561914
0.75,0.25,0.016,4,25,19561915
0.75,0.5,0.09,2,20,19561916
0.75,1.0,0.089,1,11,19561917
0.75,1.0,0.027,1,14,19561918
0.75,1.0,0.0,1,16,19561919
0.75,1.0,0.076,1,12,19561920
0.75,1.0,0.281,1,13,19561921
0.75,0.5,0.012,2,13,19561922
0.75,0.1667,0.018,6,14,19561923
0.75,0.125,0.081,8,26,19561924
0.75,1.0,0.015,1,16,19561925
0.75,0.5,0.034,2,12,19561926
0.75,1.0,0.0,1,14,19561927
0.75,1.0,0.043,1,10,19561928
0.75,0.5,0.049,2,17,19561929
0.75,0.5,0.035,2,12,19561930
