mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.0,1,10,19561831
0.0,1.0,0.0,1,9,19561832
0.0,1.0,0.08,1,11,19561833
0.0,0.25,0.019,4,11,19561834
0.0,1.0,0.0,1,9,19561835
0.0,1.0,0.05,1,10,19561836
0.0,1.0,0.052,1,9,19561837
0.0,1.0,0.0,1,10,19561838
0.0,0.5,0.012,2,12,19561839
0.0,1.0,0.0,1,8,19561840
0.0,1.0,0.0,1,9,19561841
0.0,0.5,0.0,2,9,19561842
0.0,0.125,0.0553,8,23,19561843
0.0,0.5,0.016,2,13,19561844
0.0,1.0,0.0,1,10,19561845
0.0,0.5,0.0,2,13,19561846
0.0,1.0,0.0,1,15,19561847
0.0,1.0,0.033,1,9,19561848
0.0,1.0,0.055,1,12,19561849
0.0,0.25,0.033,4,13,19561850
0.0,1.0,0.024,1,10,19561851
0.0,0.5,0.0,2,12,19561852
0.0,1.0,0.014,1,10,19561853
0.0,1.0,0.024,1,11,19561854
0.0,1.0,0.0,1,8,19561855
0.0,1.0,0.018,1,11,19561856
0.0,0.5,0.044,2,17,19561857
0.0,0.0833,0.1015,12,22,19561858
0.0,1.0,0.015,1,10,19561859
0.0,0.25,0.5035,4,30,19561860
0.0,1.0,0.027,1,11,19561861
0.0,0.5,0.029,2,13,19561862
0.0,1.0,0.012,1,8,19561863
0.0,1.0,0.036,1,10,19561864
0.0,0.5,0.0,2,12,19561865
0.0,1.0,0.013,1,8,19561866
0.0,1.0,0.03,1,10,19561867
0.0,1.0,0.0,1,9,19561868
0.0,1.0,0.018,1,9,19561869
0.0,0.25,0.018,4,14,19561870
0.0,0.5,0.029,2,8,19561871
0.0,0.5,0.018,2,14,19561872
0.0,1.0,0.015,1,9,19561873
0.0,1.0,0.0,1,10,19561874
0.0,0.5,0.0,2,9,19561875
0.0,1.0,0.053,1,11,19561876
0.0,0.5,0.0685,2,12,19561877
0.0,0.5,0.0,2,16,19561878
0.0,0.5,0.0,2,15,19561879
0.0,1.0,0.0,1,8,19561880
0.0,0.5,0.012,2,10,19561881
0.0,0.5,0.0,2,13,19561882
0.0,1.0,0.067,1,13,19561883
0.0,0.25,0.0,4,12,19561884
0.0,0.5,0.016,2,11,19561885
0.0,1.0,0.026,1,14,19561886
0.0,1.0,0.053,1,10,19561887
0.0,1.0,0.018,1,11,19561888
0.0,0.25,0.016,4,14,19561889
0.0,1.0,0.016,1,9,19561890
0.0,1.0,0.019,1,11,19561891
0.0,1.0,0.0,1,10,19561892
0.0,0.5,0.019,2,10,19561893
0.0,0.5,0.0,2,12,19561894
0.0,1.0,0.027,1,14,19561895
0.0,1.0,0.043,1,11,19561896
0.0,1.0,0.017,1,8,19561897
0.0,1.0,0.0,1,8,19561898
0.0,1.0,0.0,1,9,19561899
0.0,1.0,0.012,1,11,19561900
0.0,0.5,0.0,2,10,19561901
0.0,1.0,0.017,1,9,19561902
0.0,1.0,0.018,1,11,19561903
0.0,1.0,0.0,1,7,19561904
0.0,0.5,0.012,2,18,19561905
0.0,1.0,0.033,1,12,19561906
0.0,1.0,0.022,1,8,19561907
0.0,0.5,0.0,2,12,19561908
0.0,0.5,0.0,2,10,19561909
0.0,0.5,0.049,2,10,19561910
0.0,1.0,0.017,1,9,19561911
0.0,0.5,0.057,2,12,19561912
0.0,1.0,0.026,1,14,19561913
0.0,1.0,0.0,1,14,19561914
0.0,1.0,0.0,1,11,19561915
0.0,0.25,0.049,4,14,19561916
0.0,1.0,0.057,1,9,19561917
0.0,0.5,0.0,2,10,19561918
0.0,1.0,0.0,1,10,19561919
0.0,0.125,0.1005,8,22,19561920
0.0,1.0,0.051,1,10,19561921
0.0,1.0,0.012,1,10,19561922
0.0,1.0,0.0,1,13,19561923
0.0,0.5,0.022,2,13,19561924
0.0,1.0,0.0,1,11,19561925
0.0,0.5,0.0,2,9,19561926
0.0,1.0,0.0,1,9,19561927
0.0,0.5,0.035,2,13,19561928
0.0,0.5,0.048,2,15,19561929
0.0,1.0,0.02,1,9,19561930
0.001,0.001,0.0004,0,1000,19561831
0.001,0.001,0.0007,0,1000,19561832
0.001,0.001,0.0588,0,1000,19561833
0.001,0.001,0.007,0,1000,19561834
0.001,0.001,0.0007,0,1000,19561835
0.001,0.001,0.0402,0,1000,19561836
0.001,0.001,0.0348,0,1000,19561837
0.001,0.001,0.001,0,1000,19561838
0.001,0.001,0.0011,0,1000,19561839
0.001,0.001,0.0005,0,1000,19561840
0.001,0.001,0.0006,0,1000,19561841
0.001,0.001,0.0004,0,1000,19561842
0.001,0.001,0.0134,0,1000,19561843
0.001,0.001,0.0017,0,1000,19561844
0.001,0.001,0.0007,0,1000,19561845
0.001,0.001,0.0006,0,1000,19561846
0.001,0.001,0.0017,0,1000,19561847
0.001,0.001,0.0336,0,1000,19561848
0.001,0.001,0.0358,0,1000,19561849
0.001,0.001,0.002,0,1000,19561850
0.001,0.001,0.0242,0,1000,19561851
0.001,0.001,0.0004,0,1000,19561852
0.001,0.001,0.0017,0,1000,19561853
0.001,0.001,0.0219,0,1000,19561854
0.001,0.001,0.0007,0,1000,19561855
0.001,0.001,0.0007,0,1000,19561856
0.001,0.001,0.0209,0,1000,19561857
0.001,0.001,0.0476,0,1000,19561858
0.001,0.001,0.0028,0,1000,19561859
0.001,0.001,0.3814,0,1000,19561860
0.001,0.001,0.0015,0,1000,19561861
0.001,0.001,0.0179,0,1000,19561862
