population size,stability,morality,cycle length,generation count,seed
1000,1.0,0.0,1,10,19561831
1000,1.0,0.0,1,9,19561832
1000,1.0,0.08,1,11,19561833
1000,0.25,0.019,4,11,19561834
1000,1.0,0.0,1,9,19561835
1000,1.0,0.05,1,10,19561836
1000,1.0,0.052,1,9,19561837
1000,1.0,0.0,1,10,19561838
1000,0.5,0.012,2,12,19561839
1000,1.0,0.0,1,8,19561840
1000,1.0,0.0,1,9,19561841
1000,0.5,0.0,2,9,19561842
1000,0.125,0.0553,8,23,19561843
1000,0.5,0.016,2,13,19561844
1000,1.0,0.0,1,10,19561845
1000,0.5,0.0,2,13,19561846
1000,1.0,0.0,1,15,19561847
1000,1.0,0.033,1,9,19561848
1000,1.0,0.055,1,12,19561849
1000,0.25,0.033,4,13,19561850
1000,1.0,0.024,1,10,19561851
1000,0.5,0.0,2,12,19561852
1000,1.0,0.014,1,10,19561853
1000,1.0,0.024,1,11,19561854
1000,1.0,0.0,1,8,19561855
1000,1.0,0.018,1,11,19561856
1000,0.5,0.044,2,17,19561857
1000,0.0833,0.1015,12,22,19561858
1000,1.0,0.015,1,10,19561859
1000,0.25,0.5035,4,30,19561860
1000,1.0,0.027,1,11,19561861
1000,0.5,0.029,2,13,19561862
1000,1.0,0.012,1,8,19561863
1000,1.0,0.036,1,10,19561864
1000,0.5,0.0,2,12,19561865
1000,1.0,0.013,1,8,19561866
1000,1.0,0.03,1,10,19561867
1000,1.0,0.0,1,9,19561868
1000,1.0,0.018,1,9,19561869
1000,0.25,0.018,4,14,19561870
1000,0.5,0.029,2,8,19561871
1000,0.5,0.018,2,14,19561872
1000,1.0,0.015,1,9,19561873
1000,1.0,0.0,1,10,19561874
1000,0.5,0.0,2,9,19561875
1000,1.0,0.053,1,11,19561876
1000,0.5,0.0685,2,12,19561877
1000,0.5,0.0,2,16,19561878
1000,0.5,0.0,2,15,19561879
1000,1.0,0.0,1,8,19561880
1000,0.5,0.012,2,10,19561881
1000,0.5,0.0,2,13,19561882
1000,1.0,0.067,1,13,19561883
1000,0.25,0.0,4,12,19561884
1000,0.5,0.016,2,11,19561885
1000,1.0,0.026,1,14,19561886
1000,1.0,0.053,1,10,19561887
1000,1.0,0.018,1,11,19561888
1000,0.25,0.016,4,14,19561889
1000,1.0,0.016,1,9,19561890
1000,1.0,0.019,1,11,19561891
1000,1.0,0.0,1,10,19561892
1000,0.5,0.019,2,10,19561893
1000,0.5,0.0,2,12,19561894
1000,1.0,0.027,1,14,19561895
1000,1.0,0.043,1,11,19561896
1000,1.0,0.017,1,8,19561897
1000,1.0,0.0,1,8,19561898
1000,1.0,0.0,1,9,19561899
1000,1.0,0.012,1,11,19561900
1000,0.5,0.0,2,10,19561901
1000,1.0,0.017,1,9,19561902
1000,1.0,0.018,1,11,19561903
1000,1.0,0.0,1,7,19561904
1000,0.5,0.012,2,18,19561905
1000,1.0,0.033,1,12,19561906
1000,1.0,0.022,1,8,19561907
1000,0.5,0.0,2,12,19561908
1000,0.5,0.0,2,10,19561909
1000,0.5,0.049,2,10,19561910
1000,1.0,0.017,1,9,19561911
1000,0.5,0.057,2,12,19561912
1000,1.0,0.026,1,14,19561913
1000,1.0,0.0,1,14,19561914
1000,1.0,0.0,1,11,19561915
1000,0.25,0.049,4,14,19561916
1000,1.0,0.057,1,9,19561917
1000,0.5,0.0,2,10,19561918
1000,1.0,0.0,1,10,19561919
1000,0.125,0.1005,8,22,19561920
1000,1.0,0.051,1,10,19561921
1000,1.0,0.012,1,10,19561922
1000,1.0,0.0,1,13,19561923
1000,0.5,0.022,2,13,19561924
1000,1.0,0.0,1,11,19561925
1000,0.5,0.0,2,9,19561926
1000,1.0,0.0,1,9,19561927
1000,0.5,0.035,2,13,19561928
1000,0.5,0.048,2,15,19561929
1000,1.0,0.02,1,9,19561930
