learning rule,stability,morality,cycle length,generation count,seed
IBest,0.5,0.236,2,20,19561831
IBest,0.5,0.262,2,15,19561832
IBest,0.5,0.183,2,16,19561833
IBest,0.5,0.172,2,16,19561834
IBest,0.5,0.154,2,16,19561835
IBest,0.5,0.342,2,17,19561836
IBest,0.5,0.31,2,18,19561837
IBest,0.5,0.249,2,17,19561838
IBest,0.5,0.218,2,13,19561839
IBest,0.5,0.365,2,17,19561840
IBest,0.5,0.345,2,16,19561841
IBest,0.5,0.016,2,17,19561842
IBest,1.0,0.359,1,11,19561843
IBest,0.5,0.165,2,14,19561844
IBest,0.5,0.172,2,12,19561845
IBest,0.5,0.287,2,17,19561846
IBest,0.5,0.286,2,15,19561847
IBest,0.5,0.238,2,10,19561848
IBest,0.5,0.333,2,20,19561849
IBest,0.5,0.211,2,11,19561850
IBest,0.5,0.266,2,20,19561851
IBest,0.5,0.24,2,12,19561852
IBest,0.5,0.168,2,13,19561853
IBest,0.5,0.247,2,12,19561854
IBest,0.5,0.31,2,14,19561855
IBest,0.5,0.278,2,17,19561856
IBest,0.5,0.257,2,18,19561857
IBest,0.5,0.126,2,10,19561858
IBest,0.5,0.218,2,12,19561859
IBest,1.0,0.125,1,16,19561860
IBest,0.5,0.252,2,13,19561861
IBest,0.5,0.182,2,13,19561862
IBest,1.0,0.233,1,15,19561863
IBest,0.5,0.276,2,11,19561864
IBest,0.5,0.213,2,15,19561865
IBest,0.5,0.28,2,20,19561866
IBest,0.5,0.205,2,13,19561867
IBest,0.5,0.231,2,13,19561868
IBest,0.5,0.122,2,10,19561869
IBest,0.5,0.513,2,19,19561870
IBest,0.5,0.418,2,13,19561871
IBest,0.5,0.319,2,18,19561872
IBest,0.5,0.311,2,14,19561873
IBest,0.5,0.357,2,12,19561874
IBest,0.5,0.186,2,11,19561875
IBest,0.5,0.303,2,10,19561876
IBest,1.0,0.204,1,13,19561877
IBest,0.5,0.354,2,13,19561878
IBest,0.5,0.249,2,14,19561879
IBest,0.5,0.241,2,18,19561880
IBest,0.5,0.241,2,12,19561881
IBest,0.5,0.221,2,18,19561882
IBest,0.5,0.225,2,15,19561883
IBest,0.5,0.13,2,13,19561884
IBest,1.0,0.193,1,13,19561885
IBest,0.5,0.227,2,13,19561886
IBest,0.5,0.184,2,14,19561887
IBest,0.5,0.284,2,16,19561888
IBest,0.5,0.32,2,11,19561889
IBest,0.5,0.166,2,14,19561890
IBest,0.5,0.19,2,20,19561891
IBest,0.5,0.295,2,22,19561892
IBest,1.0,0.119,1,11,19561893
IBest,0.5,0.243,2,13,19561894
IBest,0.5,0.264,2,35,19561895
IBest,0.5,0.216,2,13,19561896
IBest,0.5,0.235,2,22,19561897
IBest,1.0,0.24,1,10,19561898
IBest,0.5,0.152,2,21,19561899
IBest,0.5,0.468,2,19,19561900
IBest,0.5,0.14,2,18,19561901
IBest,0.5,0.309,2,17,19561902
IBest,0.5,0.262,2,21,19561903
IBest,0.5,0.286,2,12,19561904
IBest,0.5,0.355,2,21,19561905
IBest,0.5,0.43,2,14,19561906
IBest,0.5,0.203,2,16,19561907
IBest,1.0,0.108,1,11,19561908
IBest,0.5,0.273,2,15,19561909
IBest,0.5,0.387,2,12,19561910
IBest,0.5,0.196,2,12,19561911
IBest,0.5,0.27,2,23,19561912
IBest,0.5,0.31,2,17,19561913
IBest,0.5,0.349,2,12,19561914
IBest,0.5,0.261,2,10,19561915
IBest,0.5,0.271,2,9,19561916
IBest,0.5,0.153,2,17,19561917
IBest,0.5,0.304,2,22,19561918
IBest,0.5,0.351,2,28,19561919
IBest,0.5,0.229,2,20,19561920
IBest,0.5,0.125,2,12,19561921
IBest,0.5,0.315,2,13,19561922
IBest,0.5,0.283,2,14,19561923
IBest,0.5,0.156,2,15,19561924
IBest,0.5,0.271,2,32,19561925
IBest,1.0,0.115,1,17,19561926
IBest,0.5,0.174,2,14,19561927
IBest,0.5,0.241,2,13,19561928
IBest,0.5,0.165,2,11,19561929
IBest,1.0,0.137,1,15,19561930
IProb,0.001,0.199,0,1000,19561831
IProb,0.001,0.2881,0,1000,19561832
IProb,0.001,0.1232,0,1000,19561833
IProb,0.001,0.206,0,1000,19561834
IProb,0.001,0.1691,0,1000,19561835
IProb,0.001,0.2524,0,1000,19561836
IProb,0.001,0.4207,0,1000,19561837
IProb,0.001,0.3211,0,1000,19561838
IProb,0.001,0.2924,0,1000,19561839
IProb,0.001,0.3152,0,1000,19561840
IProb,0.001,0.2572,0,1000,19561841
IProb,0.001,0.0435,0,1000,19561842
IProb,0.001,0.3,0,1000,19561843
IProb,0.001,0.1071,0,1000,19561844
IProb,0.001,0.3087,0,1000,19561845
IProb,0.001,0.1166,0,1000,19561846
IProb,0.001,0.3178,0,1000,19561847
IProb,0.001,0.2511,0,1000,19561848
IProb,0.001,0.2696,0,1000,19561849
IProb,0.001,0.3564,0,1000,19561850
