mutation distance,stability,morality,cycle length,generation count,seed
0,0.001,0.0634,0,1000,19561831
0,0.001,0.0977,0,1000,19561832
0,0.001,0.0563,0,1000,19561833
0,0.001,0.0579,0,1000,19561834
0,0.001,0.0494,0,1000,19561835
0,0.001,0.0715,0,1000,19561836
0,0.001,0.0829,0,1000,19561837
0,0.001,0.0807,0,1000,19561838
0,0.001,0.0559,0,1000,19561839
0,0.001,0.0923,0,1000,19561840
0,0.001,0.1538,0,1000,19561841
0,0.001,0.0049,0,1000,19561842
0,0.001,0.1274,0,1000,19561843
0,0.001,0.0272,0,1000,19561844
0,0.001,0.0794,0,1000,19561845
0,0.001,0.0885,0,1000,19561846
0,0.001,0.0949,0,1000,19561847
0,0.001,0.1328,0,1000,19561848
0,0.001,0.1354,0,1000,19561849
0,0.001,0.04,0,1000,19561850
0,0.001,0.0668,0,1000,19561851
0,0.001,0.0809,0,1000,19561852
0,0.001,0.0611,0,1000,19561853
0,0.001,0.0637,0,1000,19561854
0,0.001,0.0963,0,1000,19561855
0,0.001,0.0788,0,1000,19561856
0,0.001,0.0897,0,1000,19561857
0,0.001,0.0331,0,1000,19561858
0,0.001,0.0415,0,1000,19561859
0,0.001,0.0575,0,1000,19561860
0,0.001,0.09,0,1000,19561861
0,0.001,0.0276,0,1000,19561862
0,0.001,0.0708,0,1000,19561863
0,0.001,0.0674,0,1000,19561864
0,0.001,0.0791,0,1000,19561865
0,0.001,0.0683,0,1000,19561866
0,0.001,0.0625,0,1000,19561867
0,0.001,0.081,0,1000,19561868
0,0.001,0.0426,0,1000,19561869
0,0.001,0.1772,0,1000,19561870
0,0.001,0.1186,0,1000,19561871
0,0.001,0.0685,0,1000,19561872
0,0.001,0.0916,0,1000,19561873
0,0.001,0.1419,0,1000,19561874
0,0.001,0.0484,0,1000,19561875
0,0.001,0.1269,0,1000,19561876
0,0.001,0.0885,0,1000,19561877
0,0.001,0.1199,0,1000,19561878
0,0.001,0.0846,0,1000,19561879
0,0.001,0.0713,0,1000,19561880
0,0.001,0.0664,0,1000,19561881
0,0.001,0.0657,0,1000,19561882
0,0.001,0.0557,0,1000,19561883
0,0.001,0.019,0,1000,19561884
0,0.001,0.0485,0,1000,19561885
0,0.001,0.0804,0,1000,19561886
0,0.001,0.0432,0,1000,19561887
0,0.001,0.0765,0,1000,19561888
0,0.001,0.0781,0,1000,19561889
0,0.001,0.0779,0,1000,19561890
0,0.001,0.0683,0,1000,19561891
0,0.001,0.0816,0,1000,19561892
0,0.001,0.0452,0,1000,19561893
0,0.001,0.0477,0,1000,19561894
0,0.001,0.0899,0,1000,19561895
0,0.001,0.0749,0,1000,19561896
0,0.001,0.0818,0,1000,19561897
0,0.001,0.0853,0,1000,19561898
0,0.001,0.0408,0,1000,19561899
0,0.001,0.1229,0,1000,19561900
0,0.001,0.0806,0,1000,19561901
0,0.001,0.0896,0,1000,19561902
0,0.001,0.0817,0,1000,19561903
0,0.001,0.1299,0,1000,19561904
0,0.001,0.1285,0,1000,19561905
0,0.001,0.1123,0,1000,19561906
0,0.001,0.092,0,1000,19561907
0,0.001,0.0381,0,1000,19561908
0,0.001,0.1,0,1000,19561909
0,0.001,0.1413,0,1000,19561910
0,0.001,0.0354,0,1000,19561911
0,0.001,0.0597,0,1000,19561912
