mutation probability,stability,morality,cycle length,generation count,seed
0.0,0.5,0.236,2,20,19561831
0.0,0.5,0.262,2,15,19561832
0.0,0.5,0.183,2,16,19561833
0.0,0.5,0.172,2,16,19561834
0.0,0.5,0.154,2,16,19561835
0.0,0.5,0.342,2,17,19561836
0.0,0.5,0.31,2,18,19561837
0.0,0.5,0.249,2,17,19561838
0.0,0.5,0.218,2,13,19561839
0.0,0.5,0.365,2,17,19561840
0.0,0.5,0.345,2,16,19561841
0.0,0.5,0.016,2,17,19561842
0.0,1.0,0.359,1,11,19561843
0.0,0.5,0.165,2,14,19561844
0.0,0.5,0.172,2,12,19561845
0.0,0.5,0.287,2,17,19561846
0.0,0.5,0.286,2,15,19561847
0.0,0.5,0.238,2,10,19561848
0.0,0.5,0.333,2,20,19561849
0.0,0.5,0.211,2,11,19561850
0.0,0.5,0.266,2,20,19561851
0.0,0.5,0.24,2,12,19561852
0.0,0.5,0.168,2,13,19561853
0.0,0.5,0.247,2,12,19561854
0.0,0.5,0.31,2,14,19561855
0.0,0.5,0.278,2,17,19561856
0.0,0.5,0.257,2,18,19561857
0.0,0.5,0.126,2,10,19561858
0.0,0.5,0.218,2,12,19561859
0.0,1.0,0.125,1,16,19561860
0.0,0.5,0.252,2,13,19561861
0.0,0.5,0.182,2,13,19561862
0.0,1.0,0.233,1,15,19561863
0.0,0.5,0.276,2,11,19561864
0.0,0.5,0.213,2,15,19561865
0.0,0.5,0.28,2,20,19561866
0.0,0.5,0.205,2,13,19561867
0.0,0.5,0.231,2,13,19561868
0.0,0.5,0.122,2,10,19561869
0.0,0.5,0.513,2,19,19561870
0.0,0.5,0.418,2,13,19561871
0.0,0.5,0.319,2,18,19561872
0.0,0.5,0.311,2,14,19561873
0.0,0.5,0.357,2,12,19561874
0.0,0.5,0.186,2,11,19561875
0.0,0.5,0.303,2,10,19561876
0.0,1.0,0.204,1,13,19561877
0.0,0.5,0.354,2,13,19561878
0.0,0.5,0.249,2,14,19561879
0.0,0.5,0.241,2,18,19561880
0.0,0.5,0.241,2,12,19561881
0.0,0.5,0.221,2,18,19561882
0.0,0.5,0.225,2,15,19561883
0.0,0.5,0.13,2,13,19561884
0.0,1.0,0.193,1,13,19561885
0.0,0.5,0.227,2,13,19561886
0.0,0.5,0.184,2,14,19561887
0.0,0.5,0.284,2,16,19561888
0.0,0.5,0.32,2,11,19561889
0.0,0.5,0.166,2,14,19561890
0.0,0.5,0.19,2,20,19561891
0.0,0.5,0.295,2,22,19561892
0.0,1.0,0.119,1,11,19561893
0.0,0.5,0.243,2,13,19561894
0.0,0.5,0.264,2,35,19561895
0.0,0.5,0.216,2,13,19561896
0.0,0.5,0.235,2,22,19561897
0.0,1.0,0.24,1,10,19561898
0.0,0.5,0.152,2,21,19561899
0.0,0.5,0.468,2,19,19561900
0.0,0.5,0.14,2,18,19561901
0.0,0.5,0.309,2,17,19561902
0.0,0.5,0.262,2,21,19561903
0.0,0.5,0.286,2,12,19561904
0.0,0.5,0.355,2,21,19561905
0.0,0.5,0.43,2,14,19561906
0.0,0.5,0.203,2,16,19561907
0.0,1.0,0.108,1,11,19561908
0.0,0.5,0.273,2,15,19561909
0.0,0.5,0.387,2,12,19561910
0.0,0.5,0.196,2,12,19561911
0.0,0.5,0.27,2,23,19561912
0.0,0.5,0.31,2,17,19561913
0.0,0.5,0.349,2,12,19561914
0.0,0.5,0.261,2,10,19561915
0.0,0.5,0.271,2,9,19561916
0.0,0.5,0.153,2,17,19561917
0.0,0.5,0.304,2,22,19561918
0.0,0.5,0.351,2,28,19561919
0.0,0.5,0.229,2,20,19561920
0.0,0.5,0.125,2,12,19561921
0.0,0.5,0.315,2,13,19561922
0.0,0.5,0.283,2,14,19561923
0.0,0.5,0.156,2,15,19561924
0.0,0.5,0.271,2,32,19561925
0.0,1.0,0.115,1,17,19561926
0.0,0.5,0.174,2,14,19561927
0.0,0.5,0.241,2,13,19561928
0.0,0.5,0.165,2,11,19561929
0.0,1.0,0.137,1,15,19561930
0.001,0.001,0.2054,0,1000,19561831
0.001,0.001,0.2129,0,1000,19561832
0.001,0.001,0.1277,0,1000,19561833
0.001,0.001,0.1277,0,1000,19561834
0.001,0.001,0.1119,0,1000,19561835
0.001,0.001,0.2712,0,1000,19561836
0.001,0.001,0.2428,0,1000,19561837
0.001,0.001,0.2246,0,1000,19561838
0.001,0.001,0.1564,0,1000,19561839
0.001,0.001,0.2909,0,1000,19561840
0.001,0.001,0.2426,0,1000,19561841
0.001,0.001,0.0089,0,1000,19561842
0.001,0.001,0.3391,0,1000,19561843
0.001,0.001,0.1111,0,1000,19561844
0.001,0.001,0.1192,0,1000,19561845
0.001,0.001,0.2213,0,1000,19561846
0.001,0.001,0.21,0,1000,19561847
0.001,0.001,0.205,0,1000,19561848
0.001,0.001,0.2618,0,1000,19561849
0.001,0.001,0.193,0,1000,19561850
0.001,0.001,0.233,0,1000,19561851
0.001,0.001,0.1717,0,1000,19561852
0.001,0.001,0.1143,0,1000,19561853
0.001,0.001,0.1884,0,1000,19561854
0.001,0.001,0.2763,0,1000,19561855
0.001,0.001,0.232,0,1000,19561856
0.001,0.001,0.2156,0,1000,19561857
0.001,0.001,0.1016,0,1000,19561858
0.001,0.001,0.1305,0,1000,19561859
0.001,0.001,0.1321,0,1000,19561860
0.001,0.001,0.2005,0,1000,19561861
0.001,0.001,0.1485,0,1000,19561862
0.001,0.001,0.1921,0,1000,19561863
0.001,0.001,0.1953,0,1000,19561864
0.001,0.001,0.159,0,1000,19561865
0.001,0.001,0.2301,0,1000,19561866
0.001,0.001,0.1408,0,1000,19561867
0.001,0.001,0.1851,0,1000,19561868
0.001,0.001,0.1191,0,1000,19561869
0.001,0.001,0.384,0,1000,19561870
0.001,0.001,0.3261,0,1000,19561871
0.001,0.001,0.2066,0,1000,19561872
0.001,0.001,0.2399,0,1000,19561873
0.001,0.001,0.2899,0,1000,19561874
0.001,0.001,0.1497,0,1000,19561875
0.001,0.001,0.252,0,1000,19561876
0.001,0.001,0.164,0,1000,19561877
0.001,0.001,0.3037,0,1000,19561878
0.001,0.001,0.1864,0,1000,19561879
0.001,0.001,0.1889,0,1000,19561880
