neighborhood,stability,morality,cycle length,generation count,seed
2,0.5,0.236,2,20,19561831
2,0.5,0.262,2,15,19561832
2,0.5,0.183,2,16,19561833
2,0.5,0.172,2,16,19561834
2,0.5,0.154,2,16,19561835
2,0.5,0.342,2,17,19561836
2,0.5,0.31,2,18,19561837
2,0.5,0.249,2,17,19561838
2,0.5,0.218,2,13,19561839
2,0.5,0.365,2,17,19561840
2,0.5,0.345,2,16,19561841
2,0.5,0.016,2,17,19561842
2,1.0,0.359,1,11,19561843
2,0.5,0.165,2,14,19561844
2,0.5,0.172,2,12,19561845
2,0.5,0.287,2,17,19561846
2,0.5,0.286,2,15,19561847
2,0.5,0.238,2,10,19561848
2,0.5,0.333,2,20,19561849
2,0.5,0.211,2,11,19561850
2,0.5,0.266,2,20,19561851
2,0.5,0.24,2,12,19561852
2,0.5,0.168,2,13,19561853
2,0.5,0.247,2,12,19561854
2,0.5,0.31,2,14,19561855
2,0.5,0.278,2,17,19561856
2,0.5,0.257,2,18,19561857
2,0.5,0.126,2,10,19561858
2,0.5,0.218,2,12,19561859
2,1.0,0.125,1,16,19561860
2,0.5,0.252,2,13,19561861
2,0.5,0.182,2,13,19561862
2,1.0,0.233,1,15,19561863
2,0.5,0.276,2,11,19561864
2,0.5,0.213,2,15,19561865
2,0.5,0.28,2,20,19561866
2,0.5,0.205,2,13,19561867
2,0.5,0.231,2,13,19561868
2,0.5,0.122,2,10,19561869
2,0.5,0.513,2,19,19561870
2,0.5,0.418,2,13,19561871
2,0.5,0.319,2,18,19561872
2,0.5,0.311,2,14,19561873
2,0.5,0.357,2,12,19561874
2,0.5,0.186,2,11,19561875
2,0.5,0.303,2,10,19561876
2,1.0,0.204,1,13,19561877
2,0.5,0.354,2,13,19561878
2,0.5,0.249,2,14,19561879
2,0.5,0.241,2,18,19561880
2,0.5,0.241,2,12,19561881
2,0.5,0.221,2,18,19561882
2,0.5,0.225,2,15,19561883
2,0.5,0.13,2,13,19561884
2,1.0,0.193,1,13,19561885
2,0.5,0.227,2,13,19561886
2,0.5,0.184,2,14,19561887
2,0.5,0.284,2,16,19561888
2,0.5,0.32,2,11,19561889
2,0.5,0.166,2,14,19561890
2,0.5,0.19,2,20,19561891
2,0.5,0.295,2,22,19561892
2,1.0,0.119,1,11,19561893
2,0.5,0.243,2,13,19561894
2,0.5,0.264,2,35,19561895
2,0.5,0.216,2,13,19561896
2,0.5,0.235,2,22,19561897
2,1.0,0.24,1,10,19561898
2,0.5,0.152,2,21,19561899
2,0.5,0.468,2,19,19561900
2,0.5,0.14,2,18,19561901
2,0.5,0.309,2,17,19561902
2,0.5,0.262,2,21,19561903
2,0.5,0.286,2,12,19561904
2,0.5,0.355,2,21,19561905
2,0.5,0.43,2,14,19561906
2,0.5,0.203,2,16,19561907
2,1.0,0.108,1,11,19561908
2,0.5,0.273,2,15,19561909
2,0.5,0.387,2,12,19561910
2,0.5,0.196,2,12,19561911
2,0.5,0.27,2,23,19561912
2,0.5,0.31,2,17,19561913
2,0.5,0.349,2,12,19561914
2,0.5,0.261,2,10,19561915
2,0.5,0.271,2,9,19561916
2,0.5,0.153,2,17,19561917
2,0.5,0.304,2,22,19561918
2,0.5,0.351,2,28,19561919
2,0.5,0.229,2,20,19561920
2,0.5,0.125,2,12,19561921
2,0.5,0.315,2,13,19561922
2,0.5,0.283,2,14,19561923
