population size,stability,morality,cycle length,generation count,seed
100,1.0,0.3,1,10,19561831
100,1.0,0.29,1,6,19561832
100,1.0,0.0,1,10,19561833
100,1.0,0.25,1,6,19561834
100,1.0,0.0,1,9,19561835
100,1.0,0.16,1,10,19561836
100,1.0,0.16,1,6,19561837
100,0.5,0.42,2,7,19561838
100,1.0,0.11,1,13,19561839
100,0.5,0.08,2,9,19561840
100,0.5,0.49,2,9,19561841
100,1.0,0.0,1,16,19561842
100,1.0,0.26,1,8,19561843
100,1.0,0.2,1,8,19561844
100,1.0,0.06,1,6,19561845
100,1.0,0.41,1,11,19561846
100,1.0,0.35,1,9,19561847
100,1.0,0.32,1,11,19561848
100,0.5,0.36,2,9,19561849
100,1.0,0.18,1,10,19561850
100,0.5,0.49,2,12,19561851
100,1.0,0.37,1,9,19561852
100,0.5,0.22,2,7,19561853
100,1.0,0.32,1,9,19561854
100,1.0,0.45,1,10,19561855
100,1.0,0.41,1,9,19561856
100,1.0,0.2,1,6,19561857
100,1.0,0.0,1,6,19561858
100,1.0,0.12,1,6,19561859
100,0.5,0.06,2,8,19561860
100,1.0,0.28,1,9,19561861
100,0.5,0.32,2,8,19561862
100,1.0,0.51,1,9,19561863
100,1.0,0.08,1,9,19561864
100,1.0,0.46,1,7,19561865
100,0.5,0.39,2,6,19561866
100,1.0,0.12,1,11,19561867
100,1.0,0.28,1,6,19561868
100,1.0,0.19,1,6,19561869
100,1.0,0.19,1,7,19561870
100,1.0,0.24,1,10,19561871
100,1.0,0.14,1,7,19561872
100,1.0,0.22,1,10,19561873
100,0.5,0.35,2,9,19561874
100,1.0,0.16,1,6,19561875
100,0.5,0.27,2,10,19561876
100,1.0,0.0,1,6,19561877
100,1.0,0.58,1,13,19561878
100,1.0,0.22,1,5,19561879
100,0.5,0.3,2,6,19561880
100,1.0,0.08,1,6,19561881
100,1.0,0.1,1,11,19561882
100,1.0,0.17,1,9,19561883
100,1.0,0.36,1,7,19561884
100,1.0,0.19,1,8,19561885
100,1.0,0.39,1,12,19561886
100,0.5,0.29,2,7,19561887
100,1.0,0.39,1,6,19561888
100,1.0,0.35,1,5,19561889
100,1.0,0.0,1,13,19561890
100,1.0,0.19,1,6,19561891
100,1.0,0.48,1,11,19561892
100,1.0,0.37,1,8,19561893
100,0.5,0.54,2,13,19561894
100,1.0,0.42,1,7,19561895
100,1.0,0.34,1,11,19561896
100,1.0,0.23,1,7,19561897
100,1.0,0.05,1,10,19561898
100,1.0,0.07,1,9,19561899
100,0.5,0.47,2,18,19561900
100,0.5,0.26,2,12,19561901
100,1.0,0.62,1,8,19561902
100,1.0,0.11,1,12,19561903
100,0.5,0.44,2,9,19561904
100,1.0,0.27,1,7,19561905
100,0.5,0.34,2,12,19561906
100,1.0,0.33,1,7,19561907
100,1.0,0.0,1,5,19561908
100,0.5,0.15,2,8,19561909
100,1.0,0.76,1,10,19561910
100,0.5,0.38,2,7,19561911
100,1.0,0.06,1,5,19561912
100,1.0,0.45,1,16,19561913
100,0.5,0.47,2,7,19561914
100,1.0,0.33,1,7,19561915
100,1.0,0.0,1,5,19561916
100,1.0,0.1,1,12,19561917
100,1.0,0.5,1,6,19561918
100,1.0,0.0,1,13,19561919
100,0.5,0.63,2,7,19561920
100,1.0,0.06,1,4,19561921
100,1.0,0.4,1,5,19561922
100,1.0,0.53,1,8,19561923
100,1.0,0.2,1,8,19561924
100,1.0,0.05,1,7,19561925
100,1.0,0.0,1,8,19561926
100,1.0,0.05,1,9,19561927
100,0.5,0.37,2,8,19561928
100,1.0,0.0,1,6,19561929
100,1.0,0.1,1,10,19561930
1000,0.5,0.236,2,20,19561831
1000,0.5,0.262,2,15,19561832
1000,0.5,0.183,2,16,19561833
