wrap around,stability,morality,cycle length,generation count,seed
true,0.5,0.236,2,20,19561831
true,0.5,0.262,2,15,19561832
true,0.5,0.183,2,16,19561833
true,0.5,0.172,2,16,19561834
true,0.5,0.154,2,16,19561835
true,0.5,0.342,2,17,19561836
true,0.5,0.31,2,18,19561837
true,0.5,0.249,2,17,19561838
true,0.5,0.218,2,13,19561839
true,0.5,0.365,2,17,19561840
true,0.5,0.345,2,16,19561841
true,0.5,0.016,2,17,19561842
true,1.0,0.359,1,11,19561843
true,0.5,0.165,2,14,19561844
true,0.5,0.172,2,12,19561845
true,0.5,0.287,2,17,19561846
true,0.5,0.286,2,15,19561847
true,0.5,0.238,2,10,19561848
true,0.5,0.333,2,20,19561849
true,0.5,0.211,2,11,19561850
true,0.5,0.266,2,20,19561851
true,0.5,0.24,2,12,19561852
true,0.5,0.168,2,13,19561853
true,0.5,0.247,2,12,19561854
true,0.5,0.31,2,14,19561855
true,0.5,0.278,2,17,19561856
true,0.5,0.257,2,18,19561857
true,0.5,0.126,2,10,19561858
true,0.5,0.218,2,12,19561859
true,1.0,0.125,1,16,19561860
true,0.5,0.252,2,13,19561861
true,0.5,0.182,2,13,19561862
true,1.0,0.233,1,15,19561863
true,0.5,0.276,2,11,19561864
true,0.5,0.213,2,15,19561865
true,0.5,0.28,2,20,19561866
true,0.5,0.205,2,13,19561867
true,0.5,0.231,2,13,19561868
true,0.5,0.122,2,10,19561869
true,0.5,0.513,2,19,19561870
true,0.5,0.418,2,13,19561871
true,0.5,0.319,2,18,19561872
true,0.5,0.311,2,14,19561873
true,0.5,0.357,2,12,19561874
true,0.5,0.186,2,11,19561875
true,0.5,0.303,2,10,19561876
true,1.0,0.204,1,13,19561877
true,0.5,0.354,2,13,19561878
true,0.5,0.249,2,14,19561879
true,0.5,0.241,2,18,19561880
true,0.5,0.241,2,12,19561881
true,0.5,0.221,2,18,19561882
true,0.5,0.225,2,15,19561883
true,0.5,0.13,2,13,19561884
true,1.0,0.193,1,13,19561885
true,0.5,0.227,2,13,19561886
true,0.5,0.184,2,14,19561887
true,0.5,0.284,2,16,19561888
true,0.5,0.32,2,11,19561889
true,0.5,0.166,2,14,19561890
true,0.5,0.19,2,20,19561891
true,0.5,0.295,2,22,19561892
true,1.0,0.119,1,11,19561893
true,0.5,0.243,2,13,19561894
true,0.5,0.264,2,35,19561895
true,0.5,0.216,2,13,19561896
true,0.5,0.235,2,22,19561897
true,1.0,0.24,1,10,19561898
true,0.5,0.152,2,21,19561899
true,0.5,0.468,2,19,19561900
true,0.5,0.14,2,18,19561901
true,0.5,0.309,2,17,19561902
