initial moral mean,stability,morality,cycle length,generation count,seed
0.25,1.0,0.0,1,8,19561831
0.25,1.0,0.0352,1,8,19561832
0.25,1.0,0.0,1,6,19561833
0.25,1.0,0.0,1,7,19561834
0.25,1.0,0.0117,1,7,19561835
0.25,1.0,0.0,1,6,19561836
0.25,1.0,0.0469,1,9,19561837
0.25,1.0,0.0117,1,8,19561838
0.25,1.0,0.0342,1,6,19561839
0.25,1.0,0.0723,1,8,19561840
0.25,1.0,0.0264,1,7,19561841
0.25,1.0,0.0,1,6,19561842
0.25,1.0,0.0586,1,8,19561843
0.25,1.0,0.0,1,7,19561844
0.25,1.0,0.0,1,7,19561845
0.25,1.0,0.0234,1,8,19561846
0.25,1.0,0.0117,1,6,19561847
0.25,1.0,0.0088,1,7,19561848
0.25,1.0,0.0879,1,8,19561849
0.25,1.0,0.0,1,7,19561850
0.25,1.0,0.0,1,8,19561851
0.25,1.0,0.0244,1,8,19561852
0.25,1.0,0.0,1,6,19561853
0.25,1.0,0.0,1,7,19561854
0.25,1.0,0.0303,1,8,19561855
0.25,1.0,0.0684,1,9,19561856
0.25,1.0,0.0107,1,8,19561857
0.25,1.0,0.0,1,8,19561858
0.25,1.0,0.0,1,8,19561859
0.25,1.0,0.0,1,6,19561860
0.25,1.0,0.0,1,7,19561861
0.25,1.0,0.0264,1,7,19561862
0.25,1.0,0.0146,1,6,19561863
0.25,1.0,0.0146,1,7,19561864
0.25,1.0,0.0361,1,7,19561865
0.25,1.0,0.0342,1,8,19561866
0.25,1.0,0.0107,1,7,19561867
0.25,1.0,0.0566,1,10,19561868
0.25,1.0,0.0,1,7,19561869
0.25,1.0,0.1348,1,10,19561870
0.25,1.0,0.0996,1,8,19561871
0.25,1.0,0.041,1,8,19561872
0.25,1.0,0.0146,1,9,19561873
0.25,1.0,0.0352,1,7,19561874
0.25,1.0,0.0,1,7,19561875
0.25,1.0,0.0186,1,7,19561876
0.25,1.0,0.0,1,7,19561877
0.25,1.0,0.0654,1,7,19561878
0.25,1.0,0.0,1,8,19561879
0.25,1.0,0.0088,1,6,19561880
0.25,1.0,0.0137,1,8,19561881
0.25,1.0,0.0,1,7,19561882
0.25,1.0,0.0283,1,8,19561883
0.25,1.0,0.0,1,9,19561884
0.25,1.0,0.0117,1,7,19561885
0.25,1.0,0.0,1,6,19561886
0.25,1.0,0.0,1,7,19561887
0.25,1.0,0.0488,1,10,19561888
0.25,1.0,0.0635,1,9,19561889
0.25,1.0,0.0391,1,8,19561890
0.25,1.0,0.0195,1,8,19561891
0.25,1.0,0.0088,1,9,19561892
0.25,1.0,0.0,1,7,19561893
0.25,1.0,0.0,1,8,19561894
0.25,1.0,0.0,1,8,19561895
0.25,1.0,0.0391,1,7,19561896
0.25,1.0,0.0518,1,8,19561897
0.25,1.0,0.0,1,6,19561898
0.25,1.0,0.0,1,7,19561899
0.25,1.0,0.167,1,10,19561900
0.25,1.0,0.0,1,6,19561901
0.25,1.0,0.0322,1,8,19561902
0.25,1.0,0.0,1,7,19561903
0.25,1.0,0.0146,1,8,19561904
0.25,1.0,0.0254,1,10,19561905
0.25,1.0,0.0762,1,10,19561906
0.25,1.0,0.0137,1,11,19561907
0.25,1.0,0.0,1,6,19561908
0.25,1.0,0.0146,1,9,19561909
0.25,1.0,0.0713,1,7,19561910
0.25,1.0,0.0654,1,9,19561911
0.25,1.0,0.0,1,7,19561912
0.25,1.0,0.1064,1,8,19561913
0.25,1.0,0.0,1,8,19561914
0.25,1.0,0.0264,1,9,19561915
0.25,1.0,0.0293,1,9,19561916
0.25,1.0,0.0,1,6,19561917
0.25,1.0,0.0215,1,6,19561918
0.25,1.0,0.04,1,8,19561919
0.25,1.0,0.0186,1,9,19561920
0.25,1.0,0.0,1,7,19561921
0.25,1.0,0.0117,1,8,19561922
0.25,1.0,0.1152,1,8,19561923
0.25,1.0,0.0,1,6,19561924
0.25,1.0,0.0088,1,8,19561925
0.25,1.0,0.0,1,6,19561926
0.25,1.0,0.0,1,7,19561927
0.25,1.0,0.0146,1,6,19561928
0.25,1.0,0.0,1,6,19561929
0.25,1.0,0.0,1,7,19561930
0.5,1.0,0.0635,1,9,19561831
0.5,1.0,0.082,1,9,19561832
0.5,1.0,0.0,1,8,19561833
0.5,1.0,0.0234,1,8,19561834
0.5,1.0,0.0518,1,9,19561835
0.5,1.0,0.0576,1,9,19561836
0.5,1.0,0.0791,1,8,19561837
0.5,1.0,0.0088,1,9,19561838
0.5,1.0,0.0156,1,6,19561839
0.5,1.0,0.0781,1,9,19561840
0.5,1.0,0.042,1,10,19561841
0.5,1.0,0.0137,1,7,19561842
0.5,1.0,0.1035,1,8,19561843
0.5,1.0,0.0293,1,9,19561844
0.5,1.0,0.0,1,6,19561845
0.5,1.0,0.0518,1,7,19561846
0.5,1.0,0.0967,1,6,19561847
0.5,1.0,0.0566,1,7,19561848
0.5,1.0,0.1035,1,10,19561849
0.5,1.0,0.0,1,6,19561850
0.5,1.0,0.0605,1,8,19561851
0.5,1.0,0.0996,1,9,19561852
0.5,1.0,0.0,1,7,19561853
0.5,1.0,0.0,1,8,19561854
0.5,1.0,0.126,1,9,19561855
0.5,1.0,0.1318,1,8,19561856
0.5,1.0,0.0879,1,7,19561857
0.5,1.0,0.0088,1,6,19561858
0.5,1.0,0.0,1,9,19561859
0.5,1.0,0.0,1,9,19561860
0.5,1.0,0.0,1,6,19561861
0.5,1.0,0.0557,1,7,19561862
0.5,1.0,0.0674,1,7,19561863
0.5,1.0,0.0,1,8,19561864
0.5,1.0,0.0146,1,9,19561865
0.5,1.0,0.0254,1,8,19561866
0.5,1.0,0.0,1,6,19561867
0.5,1.0,0.168,1,8,19561868
0.5,1.0,0.0,1,6,19561869
0.5,1.0,0.2168,1,14,19561870
0.5,1.0,0.126,1,12,19561871
0.5,1.0,0.0557,1,7,19561872
0.5,1.0,0.125,1,10,19561873
0.5,1.0,0.1055,1,9,19561874
0.5,1.0,0.0,1,6,19561875
0.5,1.0,0.0537,1,8,19561876
0.5,1.0,0.0342,1,8,19561877
0.5,1.0,0.085,1,7,19561878
0.5,1.0,0.084,1,8,19561879
0.5,1.0,0.0293,1,8,19561880
0.5,1.0,0.0801,1,8,19561881
0.5,1.0,0.0273,1,9,19561882
0.5,1.0,0.0518,1,8,19561883
0.5,1.0,0.0146,1,9,19561884
0.5,1.0,0.0645,1,9,19561885
0.5,1.0,0.0557,1,7,19561886
0.5,1.0,0.0273,1,7,19561887
0.5,1.0,0.0146,1,8,19561888
0.5,1.0,0.0645,1,8,19561889
0.5,1.0,0.0264,1,7,19561890
0.5,1.0,0.0205,1,10,19561891
0.5,1.0,0.0449,1,9,19561892
0.5,1.0,0.0,1,6,19561893
0.5,1.0,0.0527,1,9,19561894
0.5,1.0,0.0801,1,10,19561895
0.5,1.0,0.0293,1,8,19561896
0.5,1.0,0.0625,1,9,19561897
0.5,1.0,0.0635,1,8,19561898
0.5,1.0,0.0176,1,9,19561899
0.5,1.0,0.168,1,12,19561900
0.5,1.0,0.0371,1,9,19561901
0.5,1.0,0.0586,1,8,19561902
0.5,1.0,0.0479,1,9,19561903
0.5,1.0,0.1201,1,8,19561904
0.5,1.0,0.1475,1,8,19561905
0.5,1.0,0.0918,1,8,19561906
0.5,1.0,0.042,1,9,19561907
0.5,1.0,0.0186,1,7,19561908
0.5,1.0,0.0713,1,9,19561909
0.5,1.0,0.1455,1,11,19561910
0.5,1.0,0.0176,1,9,19561911
0.5,1.0,0.1104,1,10,19561912
0.5,1.0,0.1064,1,10,19561913
0.5,1.0,0.041,1,9,19561914
0.5,1.0,0.0938,1,8,19561915
0.5,1.0,0.0488,1,9,19561916
0.5,1.0,0.0,1,9,19561917
0.5,1.0,0.0771,1,9,19561918
0.5,1.0,0.1123,1,10,19561919
