beta,stability,morality,cycle length,generation count,seed
0.03,0.5,0.306,2,15,19561831
0.03,1.0,0.248,1,14,19561832
0.03,0.5,0.25,2,15,19561833
0.03,0.5,0.2205,2,13,19561834
0.03,0.5,0.11,2,14,19561835
0.03,1.0,0.248,1,10,19561836
0.03,0.5,0.144,2,18,19561837
0.03,0.5,0.269,2,12,19561838
0.03,0.5,0.066,2,10,19561839
0.03,0.5,0.238,2,14,19561840
0.03,0.5,0.238,2,11,19561841
0.03,0.5,0.132,2,15,19561842
0.03,0.5,0.108,2,11,19561843
0.03,0.5,0.251,2,12,19561844
0.03,0.5,0.211,2,14,19561845
0.03,0.5,0.41,2,14,19561846
0.03,0.25,0.1812,4,15,19561847
0.03,0.5,0.288,2,15,19561848
0.03,0.5,0.151,2,12,19561849
0.03,0.5,0.171,2,10,19561850
0.03,0.5,0.409,2,18,19561851
0.03,0.5,0.185,2,11,19561852
0.03,1.0,0.254,1,9,19561853
0.03,0.1667,0.278,6,16,19561854
0.03,0.5,0.2215,2,15,19561855
0.03,0.5,0.414,2,13,19561856
0.03,0.5,0.1575,2,13,19561857
0.03,0.5,0.2375,2,13,19561858
0.03,0.25,0.1525,4,11,19561859
0.03,0.5,0.312,2,14,19561860
0.03,0.5,0.331,2,17,19561861
0.03,0.5,0.236,2,11,19561862
0.03,1.0,0.183,1,11,19561863
0.03,0.5,0.382,2,18,19561864
0.03,0.5,0.247,2,14,19561865
0.03,1.0,0.201,1,13,19561866
0.03,0.5,0.174,2,10,19561867
0.03,0.5,0.2945,2,11,19561868
0.03,0.5,0.227,2,13,19561869
0.03,0.5,0.418,2,17,19561870
0.03,0.5,0.263,2,13,19561871
0.03,0.5,0.276,2,12,19561872
0.03,0.5,0.3375,2,18,19561873
0.03,0.5,0.4155,2,13,19561874
0.03,0.5,0.2435,2,15,19561875
0.03,0.5,0.265,2,14,19561876
0.03,0.5,0.2135,2,15,19561877
0.03,0.25,0.2865,4,13,19561878
0.03,0.5,0.3625,2,13,19561879
0.03,1.0,0.145,1,10,19561880
0.03,0.5,0.246,2,15,19561881
0.03,0.5,0.223,2,16,19561882
0.03,0.5,0.2065,2,11,19561883
0.03,0.5,0.071,2,12,19561884
0.03,0.5,0.184,2,8,19561885
0.03,0.5,0.2815,2,12,19561886
0.03,0.5,0.212,2,13,19561887
0.03,0.5,0.192,2,14,19561888
0.03,0.5,0.2045,2,13,19561889
0.03,1.0,0.144,1,14,19561890
0.03,0.5,0.317,2,13,19561891
0.03,0.5,0.259,2,19,19561892
0.03,1.0,0.317,1,13,19561893
0.03,1.0,0.251,1,11,19561894
0.03,0.5,0.151,2,14,19561895
0.03,0.5,0.343,2,11,19561896
0.03,0.5,0.146,2,11,19561897
0.03,0.5,0.257,2,13,19561898
0.03,0.5,0.3015,2,14,19561899
0.03,0.5,0.2955,2,16,19561900
0.03,0.5,0.2745,2,11,19561901
0.03,0.5,0.27,2,16,19561902
0.03,0.5,0.356,2,12,19561903
0.03,0.5,0.191,2,13,19561904
0.03,0.5,0.123,2,16,19561905
0.03,1.0,0.178,1,11,19561906
0.03,0.5,0.3075,2,12,19561907
0.03,0.5,0.3255,2,14,19561908
0.03,0.5,0.2065,2,13,19561909
0.03,1.0,0.114,1,11,19561910
0.03,0.5,0.138,2,14,19561911
0.03,0.5,0.245,2,14,19561912
0.03,0.5,0.2935,2,14,19561913
0.03,1.0,0.305,1,11,19561914
0.03,0.25,0.1415,4,22,19561915
0.03,0.5,0.178,2,15,19561916
0.03,0.5,0.364,2,14,19561917
0.03,0.5,0.275,2,11,19561918
0.03,0.5,0.144,2,21,19561919
0.03,0.5,0.321,2,16,19561920
0.03,1.0,0.249,1,15,19561921
0.03,0.25,0.1358,4,15,19561922
0.03,0.25,0.1663,4,24,19561923
0.03,0.5,0.203,2,14,19561924
0.03,0.5,0.206,2,12,19561925
0.03,0.5,0.116,2,12,19561926
0.03,0.5,0.15,2,13,19561927
0.03,0.5,0.191,2,11,19561928
0.03,0.5,0.176,2,13,19561929
0.03,0.5,0.233,2,15,19561930
0.07,0.5,0.231,2,18,19561831
0.07,0.5,0.3005,2,14,19561832
0.07,0.5,0.393,2,12,19561833
0.07,0.5,0.4245,2,15,19561834
0.07,0.25,0.3192,4,15,19561835
0.07,0.5,0.127,2,12,19561836
0.07,0.5,0.2545,2,14,19561837
0.07,0.5,0.2415,2,12,19561838
0.07,0.5,0.354,2,17,19561839
0.07,1.0,0.191,1,9,19561840
0.07,0.5,0.2305,2,15,19561841
0.07,0.5,0.13,2,14,19561842
0.07,0.5,0.3315,2,15,19561843
0.07,0.5,0.2645,2,15,19561844
0.07,1.0,0.393,1,13,19561845
0.07,1.0,0.339,1,10,19561846
0.07,0.5,0.184,2,19,19561847
0.07,1.0,0.151,1,12,19561848
0.07,0.5,0.222,2,18,19561849
