learning distance,stability,morality,cycle length,generation count,seed
1,1.0,0.307,1,14,19561831
1,0.5,0.3405,2,13,19561832
1,1.0,0.148,1,11,19561833
1,0.5,0.5365,2,13,19561834
1,0.25,0.275,4,15,19561835
1,1.0,0.169,1,14,19561836
1,1.0,0.172,1,17,19561837
1,0.5,0.2195,2,18,19561838
1,0.5,0.208,2,12,19561839
1,1.0,0.158,1,13,19561840
1,0.5,0.243,2,15,19561841
1,0.5,0.1405,2,12,19561842
1,0.5,0.322,2,10,19561843
1,0.25,0.1735,4,14,19561844
1,0.25,0.3538,4,17,19561845
1,0.5,0.194,2,12,19561846
1,1.0,0.362,1,14,19561847
1,1.0,0.34,1,16,19561848
1,0.5,0.123,2,17,19561849
1,0.5,0.182,2,12,19561850
1,0.25,0.1445,4,16,19561851
1,1.0,0.136,1,11,19561852
1,1.0,0.166,1,17,19561853
1,0.5,0.2155,2,14,19561854
1,1.0,0.119,1,10,19561855
1,0.5,0.3685,2,13,19561856
1,0.5,0.1665,2,14,19561857
1,0.5,0.289,2,13,19561858
1,1.0,0.33,1,12,19561859
1,0.5,0.1905,2,16,19561860
1,0.5,0.178,2,17,19561861
1,0.5,0.2415,2,11,19561862
1,1.0,0.297,1,13,19561863
1,0.5,0.2285,2,13,19561864
1,1.0,0.2,1,13,19561865
1,0.5,0.174,2,11,19561866
1,1.0,0.069,1,10,19561867
1,0.5,0.159,2,14,19561868
1,0.5,0.1635,2,19,19561869
1,0.5,0.3755,2,14,19561870
1,0.5,0.1505,2,13,19561871
1,0.1667,0.3363,6,21,19561872
1,0.5,0.1755,2,20,19561873
1,1.0,0.18,1,13,19561874
1,0.5,0.1535,2,14,19561875
1,0.5,0.4015,2,21,19561876
1,0.5,0.1905,2,13,19561877
1,0.1667,0.1665,6,15,19561878
1,1.0,0.316,1,12,19561879
1,0.5,0.147,2,13,19561880
1,0.5,0.197,2,10,19561881
1,1.0,0.184,1,13,19561882
1,1.0,0.083,1,12,19561883
1,0.5,0.082,2,12,19561884
1,0.5,0.1225,2,15,19561885
1,0.25,0.2,4,18,19561886
1,1.0,0.277,1,12,19561887
1,1.0,0.227,1,12,19561888
1,0.5,0.25,2,13,19561889
1,1.0,0.24,1,12,19561890
1,0.5,0.104,2,15,19561891
1,0.5,0.275,2,14,19561892
1,0.5,0.222,2,13,19561893
1,0.25,0.3172,4,19,19561894
1,1.0,0.243,1,10,19561895
1,1.0,0.157,1,13,19561896
1,1.0,0.154,1,12,19561897
1,0.5,0.237,2,16,19561898
1,1.0,0.208,1,11,19561899
1,1.0,0.27,1,9,19561900
1,0.5,0.2355,2,12,19561901
1,0.5,0.121,2,11,19561902
1,0.5,0.26,2,15,19561903
1,1.0,0.331,1,10,19561904
1,1.0,0.247,1,11,19561905
1,0.5,0.2425,2,12,19561906
1,0.5,0.241,2,17,19561907
1,0.5,0.257,2,11,19561908
1,1.0,0.062,1,11,19561909
1,0.5,0.352,2,13,19561910
1,0.5,0.148,2,12,19561911
1,0.5,0.34,2,14,19561912
1,0.5,0.2945,2,13,19561913
1,1.0,0.181,1,12,19561914
1,0.1667,0.1358,6,16,19561915
1,0.5,0.2945,2,13,19561916
1,0.125,0.3279,8,19,19561917
1,1.0,0.152,1,12,19561918
1,0.5,0.159,2,17,19561919
1,0.5,0.1185,2,14,19561920
1,0.5,0.119,2,12,19561921
1,0.5,0.2255,2,16,19561922
1,0.5,0.1455,2,16,19561923
1,0.5,0.4415,2,13,19561924
1,1.0,0.176,1,11,19561925
1,0.5,0.349,2,16,19561926
1,0.5,0.125,2,15,19561927
1,1.0,0.225,1,16,19561928
1,0.5,0.06,2,11,19561929
1,0.5,0.1315,2,10,19561930
2,1.0,0.011,1,14,19561831
2,0.5,0.155,2,10,19561832
2,1.0,0.0,1,10,19561833
2,1.0,0.351,1,11,19561834
2,1.0,0.0,1,6,19561835
2,1.0,0.045,1,11,19561836
2,1.0,0.102,1,9,19561837
2,1.0,0.047,1,8,19561838
2,1.0,0.108,1,9,19561839
2,1.0,0.022,1,7,19561840
2,0.5,0.0855,2,13,19561841
2,1.0,0.033,1,9,19561842
2,1.0,0.142,1,9,19561843
2,1.0,0.012,1,8,19561844
2,1.0,0.081,1,13,19561845
2,1.0,0.117,1,11,19561846
2,1.0,0.038,1,7,19561847
2,1.0,0.0,1,9,19561848
2,1.0,0.01,1,8,19561849
2,1.0,0.033,1,9,19561850
2,1.0,0.037,1,9,19561851
2,1.0,0.02,1,7,19561852
2,1.0,0.0,1,6,19561853
2,1.0,0.055,1,8,19561854
2,1.0,0.0,1,7,19561855
2,1.0,0.088,1,9,19561856
2,1.0,0.0,1,8,19561857
2,1.0,0.013,1,9,19561858
2,1.0,0.171,1,11,19561859
2,1.0,0.026,1,9,19561860
2,1.0,0.0,1,8,19561861
2,1.0,0.071,1,10,19561862
2,1.0,0.207,1,9,19561863
2,1.0,0.042,1,8,19561864
2,1.0,0.0,1,6,19561865
2,1.0,0.058,1,9,19561866
2,1.0,0.012,1,6,19561867
2,1.0,0.013,1,7,19561868
2,1.0,0.028,1,8,19561869
2,1.0,0.127,1,10,19561870
2,1.0,0.067,1,9,19561871
2,1.0,0.069,1,10,19561872
2,1.0,0.093,1,8,19561873
2,1.0,0.004,1,6,19561874
2,1.0,0.02,1,10,19561875
2,1.0,0.056,1,10,19561876
2,1.0,0.035,1,9,19561877
2,1.0,0.0,1,8,19561878
2,1.0,0.013,1,10,19561879
2,1.0,0.013,1,9,19561880
2,1.0,0.011,1,8,19561881
2,1.0,0.163,1,8,19561882
2,1.0,0.0,1,7,19561883
2,1.0,0.0,1,6,19561884
2,1.0,0.009,1,9,19561885
2,1.0,0.044,1,9,19561886
2,1.0,0.061,1,11,19561887
2,1.0,0.03,1,7,19561888
2,1.0,0.022,1,9,19561889
2,1.0,0.054,1,7,19561890
2,0.5,0.081,2,10,19561891
2,0.5,0.27,2,11,19561892
2,1.0,0.164,1,12,19561893
2,1.0,0.084,1,9,19561894
2,1.0,0.0,1,10,19561895
2,1.0,0.014,1,10,19561896
2,1.0,0.013,1,8,19561897
2,1.0,0.027,1,8,19561898
2,0.5,0.1005,2,10,19561899
2,1.0,0.044,1,7,19561900
2,1.0,0.056,1,8,19561901
2,1.0,0.0,1,7,19561902
2,1.0,0.047,1,10,19561903
2,0.5,0.196,2,13,19561904
2,1.0,0.03,1,8,19561905
2,1.0,0.0,1,8,19561906
2,1.0,0.02,1,8,19561907
2,0.5,0.0855,2,10,19561908
2,1.0,0.0,1,6,19561909
2,1.0,0.172,1,10,19561910
2,1.0,0.054,1,8,19561911
2,1.0,0.113,1,9,19561912
2,1.0,0.048,1,8,19561913
2,1.0,0.015,1,7,19561914
2,1.0,0.045,1,7,19561915
2,1.0,0.0,1,8,19561916
2,1.0,0.025,1,11,19561917
2,1.0,0.008,1,10,19561918
2,1.0,0.0,1,9,19561919
2,1.0,0.0,1,6,19561920
2,1.0,0.049,1,12,19561921
2,0.25,0.0833,4,15,19561922
2,1.0,0.028,1,7,19561923
2,1.0,0.071,1,10,19561924
2,1.0,0.078,1,10,19561925
2,1.0,0.0,1,8,19561926
2,1.0,0.01,1,10,19561927
2,1.0,0.031,1,8,19561928
2,0.5,0.0275,2,10,19561929
2,1.0,0.01,1,6,19561930
3,1.0,0.0,1,5,19561831
3,1.0,0.078,1,9,19561832
3,1.0,0.0,1,6,19561833
3,1.0,0.0,1,7,19561834
3,1.0,0.0,1,6,19561835
3,1.0,0.0,1,4,19561836
3,1.0,0.0,1,7,19561837
3,1.0,0.0,1,5,19561838
3,1.0,0.0,1,7,19561839
3,1.0,0.0,1,5,19561840
3,1.0,0.0,1,6,19561841
3,1.0,0.0,1,5,19561842
3,1.0,0.0,1,5,19561843
3,1.0,0.0,1,5,19561844
3,1.0,0.148,1,7,19561845
3,1.0,0.0,1,6,19561846
3,1.0,0.038,1,8,19561847
3,1.0,0.138,1,9,19561848
3,1.0,0.0,1,5,19561849
3,1.0,0.0,1,6,19561850
3,1.0,0.0,1,6,19561851
3,1.0,0.0,1,6,19561852
3,1.0,0.0,1,8,19561853
3,1.0,0.0,1,6,19561854
3,1.0,0.0,1,5,19561855
3,1.0,0.064,1,5,19561856
3,0.1667,0.062,6,11,19561857
3,1.0,0.071,1,6,19561858
3,1.0,0.0,1,7,19561859
3,1.0,0.0,1,5,19561860
3,1.0,0.0,1,6,19561861
3,1.0,0.0,1,6,19561862
3,0.5,0.1135,2,8,19561863
3,1.0,0.191,1,9,19561864
3,1.0,0.0,1,6,19561865
3,1.0,0.0,1,6,19561866
3,1.0,0.0,1,5,19561867
3,1.0,0.0,1,5,19561868
3,0.5,0.0735,2,6,19561869
3,1.0,0.063,1,8,19561870
3,1.0,0.0,1,7,19561871
3,1.0,0.0,1,6,19561872
3,1.0,0.095,1,7,19561873
3,1.0,0.0,1,5,19561874
3,1.0,0.0,1,6,19561875
3,1.0,0.096,1,7,19561876
3,1.0,0.031,1,6,19561877
