learning rule,stability,morality,cycle length,generation count,seed
IBest,0.5,0.242,2,13,19561831
IBest,0.5,0.408,2,10,19561832
IBest,1.0,0.137,1,14,19561833
IBest,1.0,0.538,1,14,19561834
IBest,0.5,0.1705,2,12,19561835
IBest,0.5,0.2035,2,14,19561836
IBest,0.5,0.109,2,12,19561837
IBest,0.5,0.1985,2,13,19561838
IBest,0.5,0.307,2,15,19561839
IBest,1.0,0.122,1,12,19561840
IBest,1.0,0.176,1,15,19561841
IBest,1.0,0.117,1,16,19561842
IBest,1.0,0.373,1,11,19561843
IBest,1.0,0.209,1,12,19561844
IBest,0.5,0.281,2,17,19561845
IBest,0.1667,0.2103,6,18,19561846
IBest,1.0,0.42,1,12,19561847
IBest,1.0,0.127,1,14,19561848
IBest,0.5,0.19,2,15,19561849
IBest,1.0,0.288,1,11,19561850
IBest,1.0,0.129,1,11,19561851
IBest,0.5,0.174,2,14,19561852
IBest,0.5,0.234,2,13,19561853
IBest,0.5,0.3005,2,12,19561854
IBest,1.0,0.087,1,10,19561855
IBest,0.5,0.436,2,13,19561856
IBest,0.5,0.242,2,17,19561857
IBest,0.5,0.2705,2,16,19561858
IBest,0.3333,0.2723,3,23,19561859
IBest,0.5,0.173,2,13,19561860
IBest,0.5,0.1695,2,22,19561861
IBest,0.5,0.2805,2,14,19561862
IBest,0.5,0.369,2,16,19561863
IBest,0.5,0.208,2,12,19561864
IBest,0.1667,0.1037,6,18,19561865
IBest,1.0,0.135,1,12,19561866
IBest,0.5,0.1045,2,10,19561867
IBest,1.0,0.127,1,13,19561868
IBest,0.5,0.144,2,19,19561869
IBest,0.25,0.2888,4,17,19561870
IBest,0.5,0.1285,2,16,19561871
IBest,0.5,0.164,2,19,19561872
IBest,0.5,0.177,2,16,19561873
IBest,0.5,0.197,2,14,19561874
IBest,1.0,0.102,1,20,19561875
IBest,1.0,0.434,1,14,19561876
IBest,0.5,0.13,2,11,19561877
IBest,1.0,0.082,1,14,19561878
IBest,0.5,0.252,2,15,19561879
IBest,0.5,0.18,2,11,19561880
IBest,0.5,0.277,2,11,19561881
IBest,0.5,0.209,2,10,19561882
IBest,1.0,0.117,1,10,19561883
IBest,1.0,0.073,1,11,19561884
IBest,1.0,0.189,1,12,19561885
IBest,0.5,0.1325,2,11,19561886
IBest,1.0,0.273,1,11,19561887
IBest,0.5,0.224,2,17,19561888
