mutation probability,stability,morality,cycle length,generation count,seed
0.0,1.0,0.286,1,12,19561831
0.0,0.5,0.4985,2,15,19561832
0.0,0.5,0.1755,2,15,19561833
0.0,1.0,0.467,1,14,19561834
0.0,1.0,0.204,1,12,19561835
0.0,1.0,0.211,1,14,19561836
0.0,0.5,0.17,2,13,19561837
0.0,0.5,0.129,2,18,19561838
0.0,0.5,0.303,2,15,19561839
0.0,0.5,0.1615,2,13,19561840
0.0,0.5,0.194,2,15,19561841
0.0,0.5,0.052,2,14,19561842
0.0,1.0,0.446,1,18,19561843
0.0,0.5,0.2,2,10,19561844
0.0,0.5,0.338,2,13,19561845
0.0,0.5,0.231,2,13,19561846
0.0,0.5,0.3785,2,15,19561847
0.0,0.5,0.215,2,15,19561848
0.0,1.0,0.248,1,10,19561849
0.0,0.5,0.234,2,12,19561850
0.0,0.5,0.1645,2,13,19561851
0.0,0.5,0.165,2,14,19561852
0.0,1.0,0.18,1,13,19561853
0.0,0.5,0.2315,2,14,19561854
0.0,1.0,0.097,1,14,19561855
0.0,1.0,0.289,1,14,19561856
0.0,0.5,0.222,2,11,19561857
0.0,0.5,0.2445,2,15,19561858
0.0,1.0,0.18,1,17,19561859
0.0,1.0,0.221,1,10,19561860
0.0,1.0,0.206,1,18,19561861
0.0,1.0,0.271,1,11,19561862
0.0,1.0,0.355,1,12,19561863
0.0,1.0,0.185,1,12,19561864
0.0,0.5,0.232,2,15,19561865
0.0,0.5,0.088,2,13,19561866
0.0,1.0,0.098,1,9,19561867
0.0,1.0,0.222,1,18,19561868
0.0,0.5,0.1435,2,12,19561869
0.0,0.5,0.382,2,14,19561870
0.0,0.5,0.124,2,16,19561871
0.0,0.5,0.217,2,13,19561872
0.0,0.5,0.183,2,13,19561873
0.0,0.25,0.191,4,15,19561874
0.0,1.0,0.117,1,11,19561875
0.0,0.5,0.302,2,13,19561876
0.0,0.5,0.262,2,12,19561877
0.0,0.5,0.049,2,12,19561878
0.0,0.5,0.235,2,13,19561879
0.0,0.5,0.196,2,13,19561880
0.0,1.0,0.266,1,13,19561881
0.0,0.5,0.149,2,15,19561882
0.0,1.0,0.076,1,25,19561883
0.0,1.0,0.09,1,12,19561884
0.0,1.0,0.14,1,12,19561885
