neighborhood,stability,morality,cycle length,generation count,seed
2,1.0,0.265,1,18,19561831
2,0.5,0.411,2,15,19561832
2,1.0,0.18,1,10,19561833
2,0.5,0.474,2,18,19561834
2,0.5,0.218,2,11,19561835
2,0.5,0.1565,2,18,19561836
2,0.5,0.172,2,15,19561837
2,0.25,0.1482,4,12,19561838
2,0.5,0.268,2,16,19561839
2,0.1667,0.1393,6,20,19561840
2,0.5,0.2425,2,15,19561841
2,0.25,0.1182,4,14,19561842
2,0.5,0.3835,2,15,19561843
2,1.0,0.135,1,11,19561844
2,1.0,0.258,1,16,19561845
2,0.5,0.165,2,14,19561846
2,0.5,0.3235,2,16,19561847
2,0.0833,0.2192,12,35,19561848
2,0.5,0.254,2,19,19561849
2,1.0,0.211,1,11,19561850
2,0.5,0.178,2,14,19561851
2,1.0,0.112,1,12,19561852
2,0.5,0.1965,2,16,19561853
2,0.5,0.1935,2,19,19561854
2,0.5,0.104,2,13,19561855
2,0.5,0.327,2,13,19561856
2,0.25,0.202,4,18,19561857
2,0.5,0.2795,2,15,19561858
2,1.0,0.283,1,11,19561859
2,0.5,0.2685,2,13,19561860
2,1.0,0.151,1,15,19561861
2,1.0,0.331,1,11,19561862
2,0.5,0.322,2,13,19561863
2,0.5,0.212,2,16,19561864
2,0.5,0.238,2,13,19561865
2,1.0,0.073,1,13,19561866
2,1.0,0.12,1,13,19561867
2,0.5,0.2455,2,11,19561868
2,0.25,0.1765,4,17,19561869
2,0.5,0.2365,2,15,19561870
2,0.5,0.171,2,13,19561871
2,0.5,0.1745,2,15,19561872
2,1.0,0.23,1,13,19561873
2,1.0,0.18,1,17,19561874
2,0.5,0.146,2,12,19561875
2,0.5,0.361,2,19,19561876
2,0.0714,0.2799,14,28,19561877
2,0.5,0.087,2,11,19561878
2,1.0,0.256,1,11,19561879
2,0.5,0.128,2,14,19561880
2,0.25,0.1445,4,18,19561881
2,0.5,0.24,2,11,19561882
2,0.5,0.06,2,14,19561883
2,0.5,0.0625,2,11,19561884
2,0.5,0.166,2,15,19561885
2,1.0,0.153,1,17,19561886
2,0.5,0.201,2,13,19561887
2,0.5,0.154,2,16,19561888
2,0.5,0.1935,2,18,19561889
2,1.0,0.207,1,13,19561890
2,1.0,0.161,1,21,19561891
2,0.5,0.262,2,19,19561892
2,0.5,0.218,2,14,19561893
2,1.0,0.199,1,18,19561894
2,1.0,0.184,1,10,19561895
2,1.0,0.159,1,10,19561896
2,0.5,0.1385,2,14,19561897
2,1.0,0.401,1,14,19561898
2,0.5,0.1805,2,13,19561899
2,1.0,0.214,1,10,19561900
2,0.5,0.2365,2,18,19561901
2,1.0,0.113,1,14,19561902
2,0.25,0.1725,4,16,19561903
