population size,stability,morality,cycle length,generation count,seed
100,1.0,0.06,1,13,19561831
100,0.5,0.185,2,9,19561832
100,1.0,0.16,1,5,19561833
100,1.0,0.5,1,10,19561834
100,1.0,0.13,1,7,19561835
100,0.5,0.54,2,9,19561836
100,1.0,0.07,1,7,19561837
100,1.0,0.32,1,7,19561838
100,1.0,0.06,1,6,19561839
100,1.0,0.16,1,7,19561840
100,1.0,0.28,1,6,19561841
100,1.0,0.38,1,9,19561842
100,1.0,0.19,1,10,19561843
100,1.0,0.0,1,9,19561844
100,1.0,0.36,1,12,19561845
100,1.0,0.41,1,8,19561846
100,1.0,0.08,1,6,19561847
100,1.0,0.0,1,10,19561848
100,1.0,0.33,1,11,19561849
100,1.0,0.18,1,7,19561850
100,1.0,0.26,1,8,19561851
100,1.0,0.05,1,7,19561852
100,0.5,0.15,2,16,19561853
100,1.0,0.61,1,7,19561854
100,1.0,0.1,1,7,19561855
100,1.0,0.0,1,7,19561856
100,1.0,0.24,1,9,19561857
100,1.0,0.11,1,9,19561858
100,1.0,0.43,1,8,19561859
100,1.0,0.28,1,9,19561860
100,1.0,0.21,1,8,19561861
100,1.0,0.19,1,10,19561862
100,1.0,0.25,1,6,19561863
100,0.5,0.0,2,11,19561864
100,1.0,0.25,1,10,19561865
100,1.0,0.0,1,9,19561866
100,1.0,0.38,1,9,19561867
100,1.0,0.45,1,7,19561868
100,1.0,0.1,1,8,19561869
100,1.0,0.17,1,9,19561870
100,1.0,0.44,1,7,19561871
100,1.0,0.08,1,10,19561872
100,1.0,0.73,1,8,19561873
100,1.0,0.09,1,9,19561874
100,0.5,0.565,2,13,19561875
100,1.0,0.24,1,10,19561876
100,1.0,0.06,1,9,19561877
100,1.0,0.2,1,11,19561878
100,1.0,0.0,1,7,19561879
100,1.0,0.03,1,8,19561880
100,1.0,0.65,1,9,19561881
100,1.0,0.12,1,7,19561882
100,1.0,0.0,1,6,19561883
100,1.0,0.17,1,8,19561884
100,1.0,0.28,1,11,19561885
100,1.0,0.2,1,8,19561886
100,1.0,0.04,1,10,19561887
100,1.0,0.05,1,8,19561888
100,1.0,0.0,1,12,19561889
100,0.5,0.15,2,10,19561890
100,1.0,0.18,1,5,19561891
100,1.0,0.33,1,9,19561892
100,1.0,0.2,1,8,19561893
100,1.0,0.0,1,8,19561894
100,1.0,0.15,1,12,19561895
100,1.0,0.48,1,10,19561896
100,1.0,0.08,1,6,19561897
100,1.0,0.1,1,7,19561898
100,1.0,0.26,1,12,19561899
100,1.0,0.59,1,11,19561900
100,1.0,0.0,1,8,19561901
100,1.0,0.46,1,9,19561902
100,1.0,0.17,1,9,19561903
100,0.5,0.495,2,12,19561904
100,1.0,0.38,1,8,19561905
100,1.0,0.0,1,9,19561906
100,1.0,0.47,1,11,19561907
100,1.0,0.14,1,9,19561908
100,0.25,0.785,4,18,19561909
100,1.0,0.08,1,10,19561910
100,1.0,0.08,1,11,19561911
100,1.0,0.17,1,9,19561912
100,1.0,0.48,1,6,19561913
100,1.0,0.07,1,8,19561914
100,1.0,0.0,1,7,19561915
100,1.0,0.21,1,9,19561916
100,1.0,0.25,1,11,19561917
100,0.25,0.21,4,19,19561918
100,0.5,0.06,2,8,19561919
100,1.0,0.07,1,12,19561920
100,1.0,0.0,1,8,19561921
100,1.0,0.09,1,9,19561922
100,1.0,0.22,1,6,19561923
100,0.5,0.195,2,11,19561924
100,1.0,0.44,1,7,19561925
100,1.0,0.1,1,8,19561926
100,0.5,0.63,2,12,19561927
100,1.0,0.07,1,8,19561928
100,1.0,0.0,1,10,19561929
100,1.0,0.0,1,16,19561930
1000,0.5,0.2415,2,15,19561831
1000,1.0,0.405,1,18,19561832
1000,0.5,0.105,2,15,19561833
1000,0.5,0.518,2,22,19561834
1000,1.0,0.183,1,10,19561835
1000,1.0,0.173,1,11,19561836
1000,0.5,0.2035,2,15,19561837
1000,0.5,0.161,2,12,19561838
1000,0.5,0.298,2,15,19561839
1000,0.5,0.162,2,11,19561840
1000,0.25,0.2112,4,16,19561841
1000,0.5,0.0835,2,13,19561842
1000,1.0,0.303,1,13,19561843
1000,0.25,0.1862,4,13,19561844
1000,1.0,0.382,1,16,19561845
1000,0.5,0.109,2,10,19561846
1000,1.0,0.343,1,16,19561847
1000,0.5,0.2915,2,16,19561848
1000,1.0,0.254,1,12,19561849
1000,0.5,0.32,2,12,19561850
1000,0.5,0.1415,2,20,19561851
1000,1.0,0.159,1,12,19561852
1000,0.1667,0.145,6,18,19561853
1000,0.5,0.2295,2,12,19561854
1000,0.5,0.118,2,15,19561855
1000,0.1667,0.3008,6,17,19561856
1000,1.0,0.244,1,15,19561857
1000,0.5,0.1645,2,20,19561858
1000,1.0,0.235,1,12,19561859
1000,0.5,0.3815,2,19,19561860
1000,0.25,0.202,4,20,19561861
1000,1.0,0.234,1,15,19561862
1000,1.0,0.345,1,11,19561863
1000,0.5,0.257,2,12,19561864
1000,1.0,0.179,1,16,19561865
1000,0.5,0.21,2,16,19561866
1000,0.5,0.1355,2,12,19561867
1000,0.5,0.1065,2,10,19561868
1000,0.5,0.12,2,14,19561869
1000,0.5,0.2705,2,19,19561870
1000,1.0,0.14,1,14,19561871
1000,0.5,0.255,2,17,19561872
1000,0.5,0.176,2,15,19561873
1000,0.5,0.239,2,12,19561874
1000,0.5,0.09,2,11,19561875
