wrap around,stability,morality,cycle length,generation count,seed
true,1.0,0.201,1,12,19561831
true,0.5,0.398,2,11,19561832
true,0.5,0.155,2,14,19561833
true,0.0833,0.5029,12,24,19561834
true,0.5,0.226,2,11,19561835
true,0.5,0.172,2,13,19561836
true,0.1667,0.1535,6,19,19561837
true,1.0,0.125,1,13,19561838
true,0.25,0.191,4,15,19561839
true,1.0,0.084,1,11,19561840
true,0.5,0.1705,2,14,19561841
true,0.5,0.104,2,10,19561842
true,0.5,0.204,2,17,19561843
true,1.0,0.162,1,13,19561844
true,1.0,0.326,1,14,19561845
true,1.0,0.121,1,10,19561846
true,1.0,0.368,1,15,19561847
true,0.25,0.2345,4,16,19561848
true,1.0,0.343,1,10,19561849
true,0.5,0.298,2,12,19561850
true,1.0,0.132,1,12,19561851
true,0.5,0.2175,2,12,19561852
true,0.5,0.168,2,17,19561853
true,1.0,0.205,1,14,19561854
true,0.5,0.0955,2,11,19561855
true,0.5,0.245,2,14,19561856
true,0.5,0.1525,2,13,19561857
true,0.5,0.192,2,16,19561858
true,0.5,0.1985,2,13,19561859
true,0.5,0.213,2,17,19561860
true,0.5,0.265,2,10,19561861
true,0.5,0.2745,2,10,19561862
true,1.0,0.252,1,12,19561863
true,0.5,0.2185,2,14,19561864
true,0.25,0.1432,4,20,19561865
true,1.0,0.125,1,13,19561866
true,0.25,0.0935,4,13,19561867
true,1.0,0.109,1,15,19561868
true,0.25,0.1308,4,15,19561869
true,0.5,0.3035,2,12,19561870
true,0.5,0.126,2,19,19561871
true,0.5,0.2665,2,15,19561872
true,1.0,0.146,1,13,19561873
true,1.0,0.201,1,10,19561874
true,0.5,0.096,2,14,19561875
true,0.3333,0.3657,3,16,19561876
true,1.0,0.288,1,11,19561877
true,0.5,0.11,2,22,19561878
true,1.0,0.27,1,14,19561879
true,0.5,0.114,2,12,19561880
true,0.5,0.23,2,12,19561881
true,0.5,0.296,2,14,19561882
true,1.0,0.144,1,12,19561883
true,0.5,0.0545,2,12,19561884
true,1.0,0.16,1,15,19561885
true,1.0,0.163,1,12,19561886
true,1.0,0.197,1,10,19561887
true,1.0,0.18,1,15,19561888
true,0.5,0.142,2,14,19561889
true,0.5,0.179,2,12,19561890
true,0.1667,0.2108,6,15,19561891
true,0.5,0.2155,2,12,19561892
true,0.5,0.1835,2,15,19561893
true,1.0,0.263,1,14,19561894
true,0.5,0.1295,2,11,19561895
true,1.0,0.141,1,12,19561896
true,0.5,0.18,2,13,19561897
true,0.5,0.3245,2,14,19561898
true,1.0,0.194,1,14,19561899
true,1.0,0.283,1,11,19561900
true,0.5,0.1935,2,16,19561901
true,0.5,0.1255,2,14,19561902
true,0.5,0.125,2,14,19561903
true,0.1667,0.2923,6,17,19561904
true,0.25,0.2455,4,15,19561905
true,1.0,0.211,1,11,19561906
true,0.5,0.2885,2,23,19561907
true,0.5,0.4135,2,12,19561908
true,1.0,0.033,1,10,19561909
true,1.0,0.33,1,13,19561910
true,0.5,0.196,2,16,19561911
true,0.5,0.261,2,13,19561912
true,1.0,0.221,1,15,19561913
true,1.0,0.21,1,9,19561914
true,0.5,0.165,2,13,19561915
true,0.5,0.1985,2,15,19561916
true,0.5,0.27,2,14,19561917
true,0.5,0.122,2,11,19561918
true,0.5,0.2465,2,13,19561919
true,1.0,0.05,1,10,19561920
true,0.5,0.0985,2,16,19561921
true,0.5,0.174,2,18,19561922
true,0.25,0.1615,4,12,19561923
true,0.5,0.351,2,14,19561924
true,0.5,0.1725,2,15,19561925
true,0.5,0.1635,2,14,19561926
true,0.5,0.241,2,16,19561927
true,0.5,0.198,2,13,19561928
true,0.25,0.1432,4,16,19561929
true,0.25,0.1422,4,17,19561930
false,0.5,0.084,2,13,19561831
false,0.5,0.1475,2,13,19561832
false,0.25,0.2285,4,15,19561833
false,1.0,0.077,1,14,19561834
false,0.5,0.2315,2,14,19561835
false,0.5,0.1465,2,15,19561836
false,1.0,0.173,1,14,19561837
false,0.5,0.1195,2,11,19561838
false,1.0,0.26,1,13,19561839
false,0.5,0.1545,2,14,19561840
false,1.0,0.193,1,14,19561841
false,1.0,0.143,1,13,19561842
false,0.5,0.156,2,15,19561843
false,0.5,0.402,2,18,19561844
false,1.0,0.146,1,12,19561845
false,0.5,0.375,2,17,19561846
false,1.0,0.221,1,12,19561847
false,0.5,0.1325,2,15,19561848
false,0.5,0.3135,2,13,19561849
false,0.5,0.047,2,12,19561850
false,0.5,0.193,2,16,19561851
false,1.0,0.084,1,11,19561852
false,1.0,0.117,1,10,19561853
false,0.25,0.277,4,18,19561854
false,0.5,0.109,2,13,19561855
false,0.5,0.4655,2,17,19561856
false,0.5,0.17,2,16,19561857
false,0.5,0.1605,2,12,19561858
false,1.0,0.324,1,15,19561859
false,0.5,0.3295,2,12,19561860
false,0.5,0.1355,2,19,19561861
false,0.5,0.2375,2,10,19561862
false,0.5,0.2065,2,14,19561863
false,0.5,0.1875,2,14,19561864
false,1.0,0.082,1,13,19561865
false,1.0,0.217,1,14,19561866
false,0.5,0.117,2,11,19561867
false,0.5,0.141,2,15,19561868
false,1.0,0.182,1,14,19561869
false,0.5,0.133,2,13,19561870
false,1.0,0.234,1,13,19561871
false,1.0,0.184,1,10,19561872
false,0.5,0.294,2,13,19561873
false,1.0,0.156,1,12,19561874
false,0.5,0.021,2,20,19561875
false,1.0,0.232,1,11,19561876
false,1.0,0.242,1,13,19561877
false,1.0,0.159,1,12,19561878
false,0.5,0.3305,2,18,19561879
false,1.0,0.248,1,12,19561880
false,0.5,0.2345,2,12,19561881
false,0.5,0.196,2,14,19561882
false,0.5,0.1425,2,11,19561883
false,0.25,0.1288,4,15,19561884
false,0.25,0.1535,4,20,19561885
false,1.0,0.27,1,13,19561886
false,0.5,0.1955,2,14,19561887
false,0.5,0.137,2,14,19561888
false,1.0,0.207,1,16,19561889
false,0.5,0.279,2,12,19561890
false,0.5,0.1325,2,12,19561891
false,1.0,0.258,1,17,19561892
false,0.5,0.2325,2,13,19561893
false,1.0,0.252,1,13,19561894
false,0.5,0.0865,2,12,19561895
false,1.0,0.193,1,10,19561896
false,0.5,0.2405,2,17,19561897
false,0.5,0.157,2,12,19561898
false,1.0,0.219,1,14,19561899
false,0.5,0.4585,2,19,19561900
false,1.0,0.209,1,21,19561901
false,0.5,0.2585,2,12,19561902
false,0.5,0.0775,2,16,19561903
false,0.5,0.1825,2,17,19561904
false,1.0,0.102,1,9,19561905
false,0.5,0.276,2,14,19561906
false,0.5,0.094,2,12,19561907
false,1.0,0.201,1,11,19561908
false,0.5,0.0515,2,13,19561909
false,0.5,0.2095,2,14,19561910
false,1.0,0.22,1,15,19561911
false,0.5,0.172,2,24,19561912
false,0.5,0.0805,2,14,19561913
false,0.5,0.08,2,14,19561914
false,0.5,0.287,2,16,19561915
false,0.5,0.31,2,12,19561916
false,0.5,0.1985,2,13,19561917
false,1.0,0.132,1,14,19561918
false,1.0,0.202,1,12,19561919
false,0.25,0.097,4,18,19561920
false,1.0,0.124,1,17,19561921
false,0.5,0.257,2,18,19561922
false,0.5,0.4435,2,11,19561923
false,0.5,0.299,2,12,19561924
false,1.0,0.255,1,16,19561925
false,0.5,0.2,2,13,19561926
false,1.0,0.139,1,12,19561927
false,0.5,0.4895,2,13,19561928
false,0.3333,0.1717,3,18,19561929
false,1.0,0.257,1,11,19561930
