initial moral mean,stability,morality,cycle length,generation count,seed
0.25,0.5,0.0,2,10,19561831
0.25,1.0,0.0332,1,10,19561832
0.25,1.0,0.0,1,8,19561833
0.25,1.0,0.0,1,8,19561834
0.25,1.0,0.0,1,8,19561835
0.25,1.0,0.0146,1,11,19561836
0.25,1.0,0.0176,1,8,19561837
0.25,1.0,0.0,1,7,19561838
0.25,1.0,0.0,1,7,19561839
0.25,1.0,0.0,1,8,19561840
0.25,1.0,0.0,1,10,19561841
0.25,1.0,0.0,1,8,19561842
0.25,0.5,0.0,2,11,19561843
0.25,1.0,0.0166,1,8,19561844
0.25,1.0,0.0117,1,9,19561845
0.25,1.0,0.0537,1,11,19561846
0.25,1.0,0.0,1,8,19561847
0.25,1.0,0.0,1,7,19561848
0.25,1.0,0.0615,1,9,19561849
0.25,1.0,0.0,1,7,19561850
0.25,1.0,0.0,1,7,19561851
0.25,0.5,0.0,2,10,19561852
0.25,1.0,0.0107,1,13,19561853
0.25,1.0,0.0,1,8,19561854
0.25,1.0,0.0,1,6,19561855
0.25,0.5,0.0098,2,9,19561856
0.25,1.0,0.0,1,12,19561857
0.25,1.0,0.0,1,9,19561858
0.25,1.0,0.0,1,11,19561859
0.25,1.0,0.0,1,8,19561860
0.25,1.0,0.0,1,8,19561861
0.25,0.5,0.0132,2,8,19561862
0.25,1.0,0.0,1,12,19561863
0.25,1.0,0.0,1,9,19561864
0.25,1.0,0.0,1,7,19561865
0.25,1.0,0.0,1,9,19561866
0.25,1.0,0.0,1,8,19561867
0.25,1.0,0.0,1,6,19561868
0.25,1.0,0.0,1,9,19561869
0.25,1.0,0.0098,1,9,19561870
0.25,1.0,0.0,1,10,19561871
0.25,1.0,0.0,1,7,19561872
0.25,1.0,0.0,1,8,19561873
0.25,0.5,0.0,2,9,19561874
0.25,1.0,0.0,1,8,19561875
0.25,1.0,0.0,1,9,19561876
0.25,1.0,0.0,1,8,19561877
0.25,1.0,0.0,1,8,19561878
0.25,1.0,0.0098,1,9,19561879
0.25,1.0,0.0,1,7,19561880
0.25,1.0,0.0146,1,8,19561881
0.25,1.0,0.0,1,8,19561882
0.25,1.0,0.0,1,8,19561883
0.25,1.0,0.0,1,9,19561884
0.25,1.0,0.0,1,10,19561885
0.25,1.0,0.0,1,9,19561886
0.25,1.0,0.0117,1,8,19561887
0.25,1.0,0.0,1,8,19561888
0.25,1.0,0.0,1,7,19561889
0.25,0.5,0.0,2,9,19561890
0.25,1.0,0.0,1,8,19561891
0.25,1.0,0.0,1,7,19561892
0.25,1.0,0.0,1,9,19561893
0.25,1.0,0.0,1,9,19561894
0.25,1.0,0.0,1,7,19561895
0.25,1.0,0.0,1,8,19561896
0.25,1.0,0.0322,1,11,19561897
0.25,1.0,0.0,1,8,19561898
0.25,0.5,0.0,2,14,19561899
0.25,1.0,0.0,1,8,19561900
0.25,1.0,0.0,1,11,19561901
0.25,1.0,0.0176,1,7,19561902
0.25,1.0,0.0,1,8,19561903
0.25,1.0,0.0,1,8,19561904
0.25,1.0,0.0,1,7,19561905
0.25,1.0,0.0,1,8,19561906
0.25,1.0,0.0,1,8,19561907
0.25,1.0,0.0,1,9,19561908
0.25,0.5,0.0,2,10,19561909
0.25,1.0,0.0,1,8,19561910
0.25,1.0,0.0,1,10,19561911
0.25,1.0,0.0215,1,8,19561912
0.25,1.0,0.0088,1,7,19561913
0.25,1.0,0.0352,1,9,19561914
0.25,1.0,0.0,1,10,19561915
0.25,0.5,0.0,2,10,19561916
0.25,1.0,0.0,1,9,19561917
0.25,1.0,0.0,1,8,19561918
0.25,1.0,0.0,1,7,19561919
0.25,1.0,0.0,1,9,19561920
0.25,1.0,0.0088,1,10,19561921
0.25,1.0,0.0,1,9,19561922
0.25,1.0,0.0,1,7,19561923
0.25,0.5,0.0,2,11,19561924
0.25,1.0,0.0,1,7,19561925
0.25,1.0,0.0,1,8,19561926
0.25,1.0,0.0068,1,8,19561927
0.25,1.0,0.0,1,9,19561928
0.25,1.0,0.0,1,11,19561929
0.25,1.0,0.0,1,8,19561930
0.5,1.0,0.0,1,9,19561831
0.5,1.0,0.0254,1,12,19561832
0.5,1.0,0.0,1,7,19561833
0.5,1.0,0.0303,1,17,19561834
0.5,1.0,0.0,1,9,19561835
0.5,1.0,0.0557,1,10,19561836
0.5,1.0,0.0459,1,13,19561837
0.5,1.0,0.0,1,9,19561838
0.5,1.0,0.0,1,8,19561839
